==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,153,600.00
  RMP Relaxed Value (Root): 154,000.00
  Integrality Gap       : 1298.4416 %
  MIP Best Bound (Final)  : 2,153,600.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 157.8309 sec
  Iterations      : 335
  RMP Time  : 99.9630 s
  MIP Time  : 0.9968 s
  Pool Search Time: 0.0013 s
  Graph Search Time: 56.6189 s
  MIP Decision Variables: 238 (Columns used in Final MIP)
  MIP Filtered Columns  : 1229 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1467
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 1457
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  190 / Total Gen:  190
       -> Avg Length of Unique Patterns: 43.7 hours
  Type: TypeB  | Unique Patterns:  335 / Total Gen:  670
       -> Avg Length of Unique Patterns: 31.6 hours
  Type: TypeC  | Unique Patterns:  301 / Total Gen:  602
       -> Avg Length of Unique Patterns: 19.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 32 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 16 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 0          | 5         
2     | 34,131,700.00   | 0          | 5         
3     | 12,193,500.00   | 0          | 5         
4     | 7,182,300.00    | 0          | 5         
5     | 5,576,400.00    | 0          | 5         
6     | 4,673,000.00    | 0          | 5         
7     | 3,672,600.00    | 0          | 5         
8     | 3,672,600.00    | 0          | 5         
9     | 3,298,975.00    | 0          | 5         
10    | 2,658,368.97    | 0          | 5         
11    | 2,304,670.69    | 0          | 5         
12    | 2,113,313.71    | 0          | 5         
13    | 1,754,314.72    | 0          | 5         
14    | 1,680,173.87    | 0          | 5         
15    | 1,553,237.65    | 0          | 5         
16    | 1,456,886.17    | 0          | 5         
17    | 1,366,137.50    | 0          | 5         
18    | 1,209,652.02    | 0          | 5         
19    | 1,132,124.65    | 0          | 5         
20    | 1,059,227.74    | 0          | 5         
21    | 1,007,947.07    | 0          | 5         
22    | 938,063.37      | 0          | 5         
23    | 864,501.33      | 0          | 5         
24    | 807,814.17      | 0          | 5         
25    | 780,386.92      | 0          | 5         
26    | 703,965.25      | 0          | 5         
27    | 656,514.88      | 0          | 5         
28    | 587,889.19      | 0          | 5         
29    | 515,887.37      | 0          | 5         
30    | 455,531.01      | 0          | 5         
31    | 407,433.91      | 0          | 5         
32    | 347,411.03      | 0          | 5         
33    | 271,670.63      | 0          | 5         
34    | 236,091.71      | 0          | 5         
35    | 209,616.67      | 0          | 5         
36    | 193,179.57      | 0          | 5         
37    | 174,947.07      | 0          | 5         
38    | 174,260.28      | 0          | 5         
