==========================================================
 ANALYSIS REPORT: Week 20
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,354,000.00
  Execution Time  : 88.1366 sec
  Iterations      : 70
  RMP Time (LP)   : 34.4971 s
  RMP Time (MIP)  : 30.3095 s
  Pool Search Time: 19.2277 s
  Graph Search Time: 3.9601 s
  MIP Decision Variables: 398 (Columns used in Final MIP)
  MIP Filtered Columns  : 916 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 10194
  Pool Hits (Reused from History)   : 1234
  Graph Gen (Newly Created)         : 60
  Pool Hit Rate                     : 95.4%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 1016 / Total Gen: 2032
       -> Avg Length of Unique Patterns: 44.3 hours
  Type: TypeB  | Unique Patterns: 1019 / Total Gen: 4076
       -> Avg Length of Unique Patterns: 31.6 hours
  Type: TypeC  | Unique Patterns: 1019 / Total Gen: 4076
       -> Avg Length of Unique Patterns: 21.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeA): 45 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeB): 37 hours worked
  Emp 4  (TypeB): 38 hours worked
  Emp 5  (TypeB): 34 hours worked
  Emp 6  (TypeC): 21 hours worked
  Emp 7  (TypeC): 25 hours worked
  Emp 8  (TypeC): 25 hours worked
  Emp 9  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 234,028,000.00  | 20         | 0         
2     | 147,121,300.00  | 20         | 0         
3     | 57,278,900.00   | 20         | 0         
4     | 24,376,266.69   | 20         | 0         
5     | 13,201,478.23   | 20         | 0         
6     | 9,710,695.70    | 20         | 0         
7     | 6,847,985.11    | 20         | 0         
8     | 4,508,069.78    | 20         | 0         
9     | 2,545,421.97    | 20         | 0         
10    | 1,826,516.46    | 20         | 0         
11    | 1,505,843.87    | 20         | 0         
12    | 1,154,532.70    | 20         | 0         
13    | 948,653.76      | 20         | 0         
14    | 848,075.52      | 20         | 0         
15    | 508,665.80      | 20         | 0         
16    | 379,270.29      | 20         | 0         
17    | 376,454.25      | 20         | 0         
18    | 373,615.17      | 20         | 0         
19    | 369,578.72      | 20         | 0         
20    | 367,668.66      | 20         | 0         
21    | 366,451.35      | 20         | 0         
22    | 365,188.79      | 20         | 0         
23    | 364,394.44      | 20         | 0         
24    | 363,639.96      | 20         | 0         
25    | 361,351.87      | 20         | 0         
26    | 360,752.39      | 20         | 0         
27    | 358,909.57      | 20         | 0         
28    | 356,678.21      | 20         | 0         
29    | 356,066.14      | 20         | 0         
30    | 355,691.53      | 20         | 0         
31    | 355,410.88      | 16         | 0         
32    | 355,353.41      | 14         | 0         
33    | 355,348.77      | 0          | 10        
34    | 346,146.39      | 20         | 0         
35    | 342,782.13      | 20         | 0         
36    | 340,491.58      | 20         | 0         
37    | 339,165.50      | 20         | 0         
38    | 339,041.92      | 20         | 0         
39    | 338,804.17      | 20         | 0         
40    | 338,417.43      | 20         | 0         
41    | 337,968.44      | 20         | 0         
42    | 337,696.89      | 20         | 0         
43    | 337,492.45      | 20         | 0         
44    | 337,308.76      | 20         | 0         
45    | 337,262.15      | 14         | 0         
46    | 337,261.05      | 12         | 0         
47    | 337,261.03      | 0          | 10        
48    | 331,308.34      | 20         | 0         
49    | 330,872.56      | 20         | 0         
50    | 330,526.52      | 20         | 0         
51    | 330,481.87      | 14         | 0         
52    | 330,473.11      | 0          | 10        
53    | 326,115.23      | 20         | 0         
54    | 325,589.91      | 20         | 0         
55    | 325,279.45      | 20         | 0         
56    | 325,065.04      | 20         | 0         
57    | 325,003.94      | 20         | 0         
58    | 324,969.01      | 20         | 0         
59    | 324,953.08      | 4          | 10        
60    | 322,598.40      | 20         | 0         
61    | 322,462.54      | 20         | 0         
62    | 322,261.78      | 20         | 0         
63    | 322,226.41      | 20         | 0         
64    | 322,142.83      | 8          | 0         
65    | 322,140.86      | 2          | 10        
66    | 321,305.57      | 20         | 0         
67    | 321,122.41      | 20         | 0         
68    | 321,109.52      | 20         | 0         
69    | 321,094.82      | 8          | 0         
70    | 321,094.67      | 2          | 10        
