col_id,emp_id,emp_type,cost,schedule_pattern
0,5,TypeB,36000,000000001111110000000000001111111000000000011111110000000000000000000000000000000000000000111111110000000000111111110000000000000000000000000000000000000000000000000000
1,6,TypeB,36000,000000001111110000000000001111111000000000011111110000000000000000000000000000000000000000111111110000000000111111110000000000000000000000000000000000000000000000000000
2,7,TypeB,36000,000000001111110000000000001111111000000000011111110000000000000000000000000000000000000000111111110000000000111111110000000000000000000000000000000000000000000000000000
3,8,TypeB,36000,000000001111110000000000001111111000000000011111110000000000000000000000000000000000000000111111110000000000111111110000000000000000000000000000000000000000000000000000
4,9,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
5,10,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
6,11,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
7,12,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
8,13,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
9,14,TypeC,25900,000000000000000000111111000000000000000111111000000000000000000000000000000000000000000000000000000001111000000000000000000000111100000000000000000111110000000000000000
10,0,TypeA,53500,000000000000000000000000000001111111110000000000000000000000000000000000000000011111111110000000000000011111111110000000000001111111111000000000000000111111111100000000
11,1,TypeA,53500,000000000000000000000000000001111111110000000000000000000000000000000000000000011111111110000000000000011111111110000000000001111111111000000000000000111111111100000000
12,2,TypeA,53500,000000000000000000000000000001111111110000000000000000000000000000000000000000011111111110000000000000011111111110000000000001111111111000000000000000111111111100000000
13,3,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
14,4,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
15,5,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
16,6,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
17,7,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
18,8,TypeB,33000,000000001111110000000000001111111000000000000000000000000000000111110000000000000000000111111100000000001111111100000000000000000000000000000000000000000000000000000000
19,9,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
20,10,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
21,11,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
22,12,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
23,13,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
24,14,TypeC,26600,000000000000000000000000000001111000000000000000000000000000000111110000000000000000000000000000000111111000000000000000111111000000000000000000000111110000000000000000
25,0,TypeA,50000,000000000000000000000000000000011111111100000000000000011111111110000000000000000000000000000000000000011111111110000000000000011111111110000000000000011111111000000000
26,1,TypeA,50000,000000000000000000000000000000011111111100000000000000011111111110000000000000000000000000000000000000011111111110000000000000011111111110000000000000011111111000000000
27,2,TypeA,50000,000000000000000000000000000000011111111100000000000000011111111110000000000000000000000000000000000000011111111110000000000000011111111110000000000000011111111000000000
28,3,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
29,4,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
30,5,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
31,6,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
32,7,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
33,8,TypeB,34400,000000000000000000000000000000011111100000000000000000011110000000000000000000000000011111100000000000000000111111110000000000011111111000000000000000000000000000000000
34,9,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
35,10,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
36,11,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
37,12,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
38,13,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
39,14,TypeC,21800,000000000000000000000000000000000000000000000000000000011110000000000000000000111000000000000000000000000000000000000000000000000000011110000000000111110000000000001111
40,0,TypeA,50300,000000001111111111000000000000000000000000000000000000000000000000000000000000011111111110000000000000111111111100000000000000111111111000000000000000011111111000000000
41,1,TypeA,50300,000000001111111111000000000000000000000000000000000000000000000000000000000000011111111110000000000000111111111100000000000000111111111000000000000000011111111000000000
42,2,TypeA,50300,000000001111111111000000000000000000000000000000000000000000000000000000000000011111111110000000000000111111111100000000000000111111111000000000000000011111111000000000
43,3,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
44,4,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
45,5,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
46,6,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
47,7,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
48,8,TypeB,40400,000000000000111111100000000000001111111100000000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000000000000011111111000000000
49,9,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
50,10,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
51,11,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
52,12,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
53,13,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
54,14,TypeC,32900,000000000000000000000000000000000000000000000000011111000000000000000000000000000000000011111100000000000011111100000000001111110000000000000000000000000111111000000000
55,0,TypeA,50800,000000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000011111111110000000000000000000111111111000
56,1,TypeA,50800,000000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000011111111110000000000000000000111111111000
57,2,TypeA,50800,000000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000011111111110000000000000000000111111111000
58,3,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
59,4,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
60,5,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
61,6,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
62,7,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
63,8,TypeB,38000,000000000000000111111110000000000000000000111111110000000000011111110000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000000
64,9,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
65,10,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
66,11,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
67,12,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
68,13,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
69,14,TypeC,26800,000000000000000000000000001111110000000000000000011111000000000000000000011100000000000000000000000000000000000000000000000001111100000000000000000000000000111111000000
70,0,TypeA,48200,000000000000111111111000000000000000000000000000000000000000000000000000000000000011111111100000000000000011111111110000000000001111111111000000000000000111111111000000
71,1,TypeA,48200,000000000000111111111000000000000000000000000000000000000000000000000000000000000011111111100000000000000011111111110000000000001111111111000000000000000111111111000000
72,2,TypeA,48200,000000000000111111111000000000000000000000000000000000000000000000000000000000000011111111100000000000000011111111110000000000001111111111000000000000000111111111000000
73,3,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
74,4,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
75,5,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
76,6,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
77,7,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
78,8,TypeB,41100,000001111111100000000000000001111111100000000000000000011111111000000000000000000000000000000000011111111000000000000000000000000000000000000000000111111100000000000000
79,9,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
80,10,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
81,11,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
82,12,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
83,13,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
84,14,TypeC,30700,000000000000000000000000001111110000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000001111110000000000000000000000000111111000000
85,0,TypeA,47700,000001111111110000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000011111111110000000000011111111000000000000000000111111111100000
86,1,TypeA,47700,000001111111110000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000011111111110000000000011111111000000000000000000111111111100000
87,2,TypeA,47700,000001111111110000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000011111111110000000000011111111000000000000000000111111111100000
