==========================================================
 ANALYSIS REPORT: Week 6
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 6,188,800.00
  Execution Time  : 51.4123 sec
  Iterations      : 146
  RMP Time (LP)   : 29.4305 s
  RMP Time (MIP)  : 1.2264 s
  Pool Search Time: 3.9521 s
  Graph Search Time: 16.7021 s
  MIP Decision Variables: 131 (Columns used in Final MIP)
  MIP Filtered Columns  : 801 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2762
  Pool Hits (Reused from History)   : 352
  Graph Gen (Newly Created)         : 570
  Pool Hit Rate                     : 38.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  551 / Total Gen:  551
       -> Avg Length of Unique Patterns: 47.6 hours
  Type: TypeB  | Unique Patterns:  552 / Total Gen: 1104
       -> Avg Length of Unique Patterns: 36.4 hours
  Type: TypeC  | Unique Patterns:  551 / Total Gen: 1102
       -> Avg Length of Unique Patterns: 25.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 36 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 108,016,000.00  | 10         | 0         
2     | 76,060,600.00   | 10         | 0         
3     | 36,137,900.00   | 10         | 0         
4     | 16,692,950.00   | 10         | 0         
5     | 15,863,633.31   | 10         | 0         
6     | 13,859,576.69   | 10         | 0         
7     | 13,061,484.45   | 10         | 0         
8     | 11,600,453.24   | 10         | 0         
9     | 10,976,678.79   | 10         | 0         
10    | 10,449,716.85   | 10         | 0         
11    | 10,314,827.09   | 10         | 0         
12    | 9,958,262.33    | 10         | 0         
13    | 9,673,233.10    | 10         | 0         
14    | 9,553,654.09    | 10         | 0         
15    | 9,528,626.91    | 10         | 0         
16    | 9,508,434.52    | 10         | 0         
17    | 9,477,258.69    | 8          | 0         
18    | 9,475,379.93    | 3          | 5         
19    | 8,324,558.33    | 10         | 0         
20    | 8,142,091.18    | 7          | 0         
21    | 8,137,546.81    | 1          | 5         
22    | 6,738,922.01    | 10         | 0         
23    | 6,589,604.78    | 10         | 0         
24    | 6,563,366.64    | 10         | 0         
25    | 6,524,293.77    | 10         | 0         
26    | 6,507,448.32    | 6          | 0         
27    | 6,505,707.31    | 4          | 5         
28    | 5,748,492.47    | 10         | 0         
29    | 5,708,711.62    | 2          | 5         
30    | 5,169,661.64    | 10         | 0         
31    | 5,116,294.29    | 6          | 0         
32    | 5,115,684.60    | 2          | 5         
33    | 4,459,592.77    | 10         | 0         
34    | 4,401,365.57    | 5          | 5         
35    | 4,314,793.38    | 3          | 5         
36    | 4,121,761.10    | 10         | 0         
37    | 4,109,155.07    | 8          | 0         
38    | 4,108,281.61    | 0          | 5         
39    | 3,869,225.77    | 10         | 0         
40    | 3,848,667.54    | 4          | 5         
41    | 3,567,247.18    | 3          | 5         
42    | 3,441,049.13    | 3          | 5         
43    | 3,355,660.71    | 2          | 5         
44    | 3,278,342.27    | 2          | 5         
45    | 3,074,595.75    | 0          | 5         
46    | 2,997,604.51    | 8          | 0         
47    | 2,990,229.42    | 2          | 5         
48    | 2,844,256.02    | 0          | 5         
49    | 2,821,463.84    | 0          | 5         
50    | 2,772,124.59    | 2          | 5         
51    | 2,703,379.02    | 4          | 5         
52    | 2,641,349.40    | 0          | 5         
53    | 2,585,469.34    | 2          | 5         
54    | 2,444,625.92    | 0          | 5         
55    | 2,397,964.05    | 4          | 5         
56    | 2,349,885.94    | 0          | 5         
57    | 2,313,708.79    | 0          | 5         
58    | 2,269,763.82    | 0          | 5         
59    | 2,255,797.21    | 0          | 5         
60    | 2,214,214.20    | 1          | 5         
61    | 2,183,350.42    | 0          | 5         
62    | 2,169,042.61    | 0          | 5         
63    | 2,135,021.62    | 0          | 5         
64    | 2,119,085.13    | 0          | 5         
65    | 2,091,256.43    | 0          | 5         
66    | 2,056,954.24    | 0          | 5         
67    | 2,051,083.67    | 0          | 5         
68    | 2,011,742.54    | 0          | 5         
69    | 1,988,485.10    | 0          | 5         
70    | 1,962,862.68    | 0          | 5         
71    | 1,952,515.32    | 0          | 5         
72    | 1,931,026.13    | 0          | 5         
73    | 1,917,887.09    | 0          | 5         
74    | 1,890,077.19    | 0          | 5         
75    | 1,876,587.07    | 0          | 5         
76    | 1,875,985.97    | 0          | 5         
77    | 1,858,505.75    | 0          | 5         
78    | 1,852,530.38    | 0          | 5         
79    | 1,848,728.61    | 0          | 5         
80    | 1,834,046.23    | 0          | 5         
81    | 1,809,883.35    | 0          | 5         
82    | 1,788,999.36    | 0          | 5         
83    | 1,780,049.59    | 0          | 5         
84    | 1,769,299.64    | 0          | 5         
85    | 1,762,590.47    | 0          | 5         
86    | 1,748,415.22    | 0          | 5         
87    | 1,739,216.78    | 0          | 5         
88    | 1,728,960.92    | 0          | 5         
89    | 1,714,172.75    | 0          | 5         
90    | 1,698,884.51    | 0          | 5         
91    | 1,695,609.32    | 0          | 5         
92    | 1,694,933.20    | 0          | 5         
93    | 1,673,694.64    | 0          | 5         
94    | 1,671,013.96    | 0          | 5         
95    | 1,660,516.69    | 0          | 5         
96    | 1,649,079.36    | 0          | 5         
97    | 1,646,892.55    | 0          | 5         
98    | 1,644,860.08    | 0          | 5         
99    | 1,642,062.99    | 0          | 5         
100   | 1,632,854.33    | 0          | 5         
101   | 1,629,649.79    | 0          | 5         
102   | 1,626,356.12    | 0          | 5         
103   | 1,625,638.01    | 0          | 5         
104   | 1,620,063.66    | 0          | 5         
105   | 1,611,445.45    | 0          | 5         
106   | 1,609,937.03    | 0          | 5         
107   | 1,604,798.04    | 0          | 5         
108   | 1,599,392.80    | 0          | 5         
109   | 1,598,982.59    | 0          | 5         
110   | 1,597,394.14    | 0          | 5         
111   | 1,595,219.22    | 0          | 5         
112   | 1,593,380.63    | 0          | 5         
113   | 1,590,064.22    | 0          | 5         
114   | 1,587,327.63    | 0          | 5         
115   | 1,586,141.59    | 0          | 5         
116   | 1,586,141.59    | 0          | 5         
117   | 1,584,180.25    | 0          | 5         
118   | 1,577,640.97    | 0          | 5         
119   | 1,569,444.71    | 0          | 5         
120   | 1,567,714.24    | 0          | 5         
121   | 1,566,573.75    | 0          | 5         
122   | 1,566,573.75    | 0          | 5         
123   | 1,565,709.31    | 0          | 5         
124   | 1,564,244.37    | 0          | 5         
125   | 1,563,566.24    | 0          | 5         
126   | 1,560,505.96    | 0          | 5         
127   | 1,559,930.72    | 0          | 5         
128   | 1,558,351.82    | 0          | 5         
129   | 1,555,156.17    | 0          | 5         
130   | 1,554,365.41    | 0          | 5         
131   | 1,553,643.72    | 0          | 5         
132   | 1,552,727.89    | 0          | 5         
133   | 1,552,392.85    | 0          | 5         
134   | 1,551,828.26    | 0          | 5         
135   | 1,551,121.40    | 0          | 5         
136   | 1,551,121.40    | 0          | 5         
137   | 1,550,109.59    | 0          | 5         
138   | 1,548,599.58    | 0          | 5         
139   | 1,547,796.73    | 0          | 5         
140   | 1,547,461.62    | 0          | 5         
141   | 1,543,082.14    | 0          | 5         
142   | 1,539,575.03    | 0          | 5         
143   | 1,539,287.00    | 0          | 5         
144   | 1,539,287.00    | 0          | 5         
145   | 1,539,270.25    | 0          | 5         
146   | 1,539,270.25    | 0          | 5         
