==========================================================
 ANALYSIS REPORT: Week 7
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 1,177,400.00
  RMP Relaxed Value (Root): 185,125.00
  Integrality Gap       : 536.0027 %
  MIP Best Bound (Final)  : 1,177,400.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 169.1121 sec
  Iterations      : 338
  RMP Time  : 88.1684 s
  MIP Time  : 4.5654 s
  Pool Search Time: 40.8325 s
  Graph Search Time: 35.3576 s
  MIP Decision Variables: 1529 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 9273
  Pool Hits (Reused from History)   : 388
  Graph Gen (Newly Created)         : 1131
  Pool Hit Rate                     : 25.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 1782 / Total Gen: 1782
       -> Avg Length of Unique Patterns: 47.3 hours
  Type: TypeB  | Unique Patterns: 1756 / Total Gen: 3512
       -> Avg Length of Unique Patterns: 36.0 hours
  Type: TypeC  | Unique Patterns: 1987 / Total Gen: 3974
       -> Avg Length of Unique Patterns: 24.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 19 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 111,012,000.00  | 5          | 0         
2     | 48,175,100.00   | 5          | 0         
3     | 26,202,400.00   | 5          | 0         
4     | 18,200,700.00   | 5          | 0         
5     | 13,799,240.00   | 5          | 0         
6     | 12,532,888.85   | 5          | 0         
7     | 11,833,013.33   | 5          | 0         
8     | 11,349,225.00   | 5          | 0         
9     | 11,074,682.03   | 5          | 0         
10    | 10,637,572.92   | 5          | 0         
11    | 10,400,210.01   | 5          | 0         
12    | 9,851,934.85    | 5          | 0         
13    | 9,418,003.47    | 5          | 0         
14    | 9,097,107.82    | 5          | 0         
15    | 8,983,726.97    | 5          | 0         
16    | 8,873,062.88    | 5          | 0         
17    | 8,683,015.52    | 5          | 0         
18    | 8,573,500.23    | 5          | 0         
19    | 8,498,038.01    | 5          | 0         
20    | 8,335,727.47    | 5          | 0         
21    | 8,269,280.79    | 5          | 0         
22    | 8,246,136.44    | 5          | 0         
23    | 8,228,528.51    | 5          | 0         
24    | 8,220,405.55    | 5          | 0         
25    | 8,200,282.41    | 5          | 0         
26    | 8,198,802.43    | 4          | 1         
27    | 7,472,311.94    | 5          | 0         
28    | 7,355,978.47    | 5          | 0         
29    | 7,172,925.42    | 5          | 0         
30    | 7,082,467.10    | 5          | 0         
31    | 7,048,100.47    | 4          | 1         
32    | 6,860,922.17    | 5          | 0         
33    | 6,825,215.07    | 5          | 0         
34    | 6,809,301.53    | 2          | 3         
35    | 6,347,076.67    | 5          | 0         
36    | 6,347,076.67    | 4          | 1         
37    | 6,249,989.50    | 4          | 1         
38    | 6,083,425.29    | 4          | 1         
39    | 5,953,926.73    | 4          | 1         
40    | 5,945,060.14    | 4          | 1         
41    | 5,906,089.35    | 5          | 0         
42    | 5,891,340.94    | 2          | 3         
43    | 5,556,663.99    | 5          | 0         
44    | 5,524,294.23    | 4          | 1         
45    | 5,493,962.08    | 4          | 1         
46    | 5,462,252.02    | 5          | 0         
47    | 5,460,309.57    | 2          | 3         
48    | 5,254,074.60    | 4          | 1         
49    | 5,227,827.31    | 3          | 2         
50    | 4,906,489.18    | 5          | 0         
51    | 4,905,600.29    | 5          | 0         
52    | 4,896,829.76    | 5          | 0         
53    | 4,896,533.97    | 3          | 2         
54    | 4,618,112.89    | 3          | 2         
55    | 4,314,801.40    | 5          | 0         
56    | 4,293,518.27    | 5          | 0         
57    | 4,289,255.47    | 3          | 2         
58    | 3,987,394.03    | 5          | 0         
59    | 3,969,079.08    | 5          | 0         
60    | 3,965,384.75    | 5          | 0         
61    | 3,964,659.19    | 0          | 5         
62    | 3,520,574.23    | 4          | 1         
63    | 3,428,524.39    | 3          | 2         
64    | 3,311,449.48    | 5          | 0         
65    | 3,306,458.63    | 2          | 3         
66    | 3,231,463.83    | 3          | 2         
67    | 3,126,149.99    | 3          | 2         
68    | 2,998,515.15    | 1          | 4         
69    | 2,453,238.03    | 3          | 2         
70    | 2,095,686.67    | 3          | 2         
71    | 2,035,692.63    | 3          | 2         
72    | 1,893,886.81    | 3          | 2         
73    | 1,855,254.77    | 2          | 3         
74    | 1,766,924.93    | 2          | 3         
75    | 1,718,865.90    | 5          | 0         
76    | 1,718,865.90    | 0          | 5         
77    | 1,673,698.42    | 3          | 2         
78    | 1,577,591.87    | 3          | 2         
79    | 1,487,411.72    | 5          | 0         
80    | 1,486,304.40    | 2          | 3         
81    | 1,377,454.64    | 5          | 0         
82    | 1,372,342.13    | 3          | 2         
83    | 1,372,342.13    | 0          | 5         
84    | 1,345,384.27    | 3          | 2         
85    | 1,275,677.83    | 0          | 5         
86    | 1,208,782.75    | 1          | 4         
87    | 1,008,697.46    | 2          | 3         
88    | 932,980.28      | 3          | 2         
89    | 925,736.30      | 3          | 2         
90    | 885,112.40      | 1          | 4         
91    | 787,519.74      | 1          | 4         
92    | 691,017.81      | 2          | 3         
93    | 668,578.49      | 3          | 2         
94    | 638,909.66      | 2          | 3         
95    | 623,788.69      | 0          | 5         
96    | 580,915.20      | 3          | 2         
97    | 580,915.20      | 3          | 2         
98    | 580,915.20      | 1          | 4         
99    | 536,650.80      | 0          | 5         
100   | 536,650.80      | 0          | 5         
101   | 471,472.71      | 0          | 5         
102   | 470,441.09      | 0          | 5         
103   | 465,234.38      | 0          | 5         
104   | 448,992.76      | 0          | 5         
105   | 433,103.15      | 3          | 2         
106   | 432,045.43      | 1          | 4         
107   | 399,993.41      | 0          | 5         
108   | 380,576.72      | 0          | 5         
109   | 375,004.79      | 0          | 5         
110   | 372,497.65      | 0          | 5         
111   | 357,353.33      | 0          | 5         
112   | 323,153.68      | 3          | 2         
113   | 323,153.68      | 3          | 2         
114   | 297,540.27      | 0          | 5         
115   | 297,540.27      | 0          | 5         
116   | 265,154.80      | 2          | 3         
117   | 265,154.80      | 0          | 5         
118   | 250,293.53      | 2          | 3         
119   | 239,019.09      | 5          | 0         
120   | 239,019.09      | 1          | 4         
121   | 230,947.49      | 0          | 5         
122   | 209,293.97      | 0          | 5         
123   | 193,959.69      | 2          | 3         
124   | 193,083.05      | 0          | 5         
125   | 192,320.29      | 0          | 5         
126   | 192,050.58      | 2          | 3         
127   | 192,023.53      | 0          | 5         
128   | 191,707.70      | 0          | 5         
129   | 191,620.62      | 0          | 5         
130   | 191,587.37      | 0          | 5         
131   | 191,545.90      | 0          | 5         
132   | 190,774.34      | 0          | 5         
133   | 190,771.38      | 0          | 5         
134   | 190,579.11      | 0          | 5         
135   | 190,341.02      | 0          | 5         
136   | 190,233.31      | 0          | 5         
137   | 190,233.31      | 0          | 5         
138   | 190,073.80      | 0          | 5         
139   | 189,967.05      | 0          | 5         
140   | 189,967.04      | 0          | 5         
141   | 189,916.40      | 0          | 5         
142   | 189,678.10      | 0          | 5         
143   | 189,678.10      | 0          | 5         
144   | 189,518.85      | 0          | 5         
145   | 189,342.63      | 0          | 5         
146   | 189,340.58      | 0          | 5         
147   | 189,321.39      | 0          | 5         
148   | 189,298.70      | 0          | 5         
149   | 189,158.68      | 0          | 5         
150   | 188,648.94      | 0          | 5         
151   | 188,384.77      | 0          | 5         
152   | 188,384.77      | 0          | 5         
153   | 188,094.07      | 0          | 5         
154   | 188,017.21      | 0          | 5         
155   | 187,877.19      | 0          | 5         
156   | 187,877.19      | 0          | 5         
157   | 187,807.18      | 0          | 5         
158   | 187,807.18      | 0          | 5         
159   | 187,759.43      | 0          | 5         
160   | 187,725.21      | 0          | 5         
161   | 187,725.21      | 0          | 5         
162   | 187,632.39      | 0          | 5         
163   | 187,632.33      | 0          | 5         
164   | 187,539.92      | 0          | 5         
165   | 187,479.30      | 0          | 5         
166   | 187,479.30      | 0          | 5         
167   | 187,396.15      | 0          | 5         
168   | 187,396.15      | 0          | 5         
169   | 187,396.15      | 0          | 3         
170   | 187,396.15      | 0          | 3         
171   | 187,396.15      | 0          | 5         
172   | 187,396.15      | 0          | 5         
173   | 187,396.15      | 0          | 5         
174   | 187,396.15      | 0          | 5         
175   | 187,396.15      | 0          | 5         
176   | 187,396.15      | 0          | 5         
177   | 187,396.15      | 0          | 5         
178   | 187,396.15      | 0          | 4         
179   | 187,396.15      | 0          | 5         
180   | 187,361.49      | 0          | 5         
181   | 187,361.49      | 0          | 5         
182   | 187,344.90      | 0          | 5         
183   | 187,048.75      | 0          | 5         
184   | 186,959.85      | 0          | 5         
185   | 186,959.85      | 0          | 4         
186   | 186,620.59      | 0          | 5         
187   | 186,620.59      | 0          | 5         
188   | 186,495.90      | 0          | 5         
189   | 186,338.36      | 0          | 4         
190   | 186,196.68      | 0          | 5         
191   | 186,162.93      | 0          | 5         
192   | 186,162.93      | 0          | 5         
193   | 186,162.93      | 0          | 5         
194   | 186,162.93      | 0          | 4         
195   | 186,162.93      | 0          | 4         
196   | 186,137.85      | 0          | 5         
197   | 185,986.04      | 0          | 4         
198   | 185,977.14      | 0          | 4         
199   | 185,977.14      | 0          | 5         
200   | 185,977.14      | 0          | 5         
201   | 185,977.14      | 0          | 5         
202   | 185,977.14      | 0          | 5         
203   | 185,977.14      | 0          | 5         
204   | 185,977.14      | 0          | 5         
205   | 185,977.14      | 0          | 5         
206   | 185,977.14      | 0          | 4         
207   | 185,977.14      | 0          | 4         
208   | 185,977.14      | 0          | 2         
209   | 185,977.14      | 0          | 4         
210   | 185,977.14      | 0          | 5         
211   | 185,977.14      | 0          | 5         
212   | 185,977.14      | 0          | 4         
213   | 185,977.14      | 0          | 4         
214   | 185,977.14      | 0          | 5         
215   | 185,977.14      | 0          | 5         
216   | 185,977.14      | 0          | 4         
217   | 185,977.14      | 0          | 5         
