==========================================================
 ANALYSIS REPORT: Week 10
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 10
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 2,189,200.00
  RMP Relaxed Value (Root): 529,100.00
  Integrality Gap       : 313.7592 %
  MIP Best Bound (Final)  : 2,189,200.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 64.3461 sec
  Iterations      : 212
  RMP Time  : 37.2863 s
  MIP Time  : 3.1461 s
  Pool Search Time: 4.2402 s
  Graph Search Time: 19.5834 s
  MIP Decision Variables: 1054 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2377
  Pool Hits (Reused from History)   : 340
  Graph Gen (Newly Created)         : 704
  Pool Hit Rate                     : 32.6%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  492 / Total Gen:  492
       -> Avg Length of Unique Patterns: 46.5 hours
  Type: TypeB  | Unique Patterns:  438 / Total Gen:  876
       -> Avg Length of Unique Patterns: 36.9 hours
  Type: TypeC  | Unique Patterns:  502 / Total Gen: 1004
       -> Avg Length of Unique Patterns: 24.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 105,011,900.00  | 5          | 0         
2     | 57,155,800.00   | 5          | 0         
3     | 28,189,700.00   | 5          | 0         
4     | 18,193,800.00   | 5          | 0         
5     | 17,193,100.00   | 5          | 0         
6     | 17,193,100.00   | 5          | 0         
7     | 16,191,849.99   | 5          | 0         
8     | 14,969,844.33   | 5          | 0         
9     | 14,604,282.29   | 5          | 0         
10    | 13,953,215.25   | 5          | 0         
11    | 13,693,394.24   | 5          | 0         
12    | 13,251,017.17   | 5          | 0         
13    | 13,004,561.64   | 5          | 0         
14    | 12,723,724.78   | 5          | 0         
15    | 12,449,334.85   | 5          | 0         
16    | 12,262,301.75   | 5          | 0         
17    | 12,194,711.63   | 5          | 0         
18    | 12,002,322.97   | 5          | 0         
19    | 11,926,214.46   | 5          | 0         
20    | 11,716,180.82   | 5          | 0         
21    | 11,682,535.97   | 5          | 0         
22    | 11,654,430.88   | 5          | 0         
23    | 11,627,706.62   | 5          | 0         
24    | 11,621,385.14   | 3          | 2         
25    | 10,975,809.51   | 5          | 0         
26    | 10,770,379.51   | 5          | 0         
27    | 10,658,745.30   | 5          | 0         
28    | 10,604,221.33   | 5          | 0         
29    | 10,560,642.23   | 5          | 0         
30    | 10,454,585.92   | 5          | 0         
31    | 10,315,928.10   | 5          | 0         
32    | 10,291,148.74   | 5          | 0         
33    | 10,214,297.24   | 5          | 0         
34    | 10,176,137.36   | 5          | 0         
35    | 10,167,449.37   | 5          | 0         
36    | 10,166,207.02   | 4          | 1         
37    | 9,615,849.28    | 5          | 0         
38    | 9,571,738.98    | 5          | 0         
39    | 9,522,634.94    | 5          | 0         
40    | 9,511,152.75    | 5          | 0         
41    | 9,510,793.39    | 3          | 2         
42    | 8,743,113.84    | 5          | 0         
43    | 8,650,167.05    | 3          | 2         
44    | 8,123,737.13    | 3          | 2         
45    | 7,819,758.12    | 5          | 0         
46    | 7,778,128.34    | 3          | 2         
47    | 7,651,736.40    | 3          | 2         
48    | 7,391,474.25    | 3          | 2         
49    | 7,108,970.50    | 3          | 2         
50    | 7,055,685.28    | 3          | 2         
51    | 7,029,781.94    | 2          | 3         
52    | 6,764,603.21    | 1          | 4         
53    | 5,897,326.91    | 3          | 2         
54    | 5,854,284.53    | 3          | 2         
55    | 5,770,743.23    | 3          | 2         
56    | 5,655,819.96    | 2          | 3         
57    | 5,334,745.22    | 3          | 2         
58    | 5,238,048.08    | 2          | 3         
59    | 5,153,206.67    | 2          | 3         
60    | 4,767,038.59    | 5          | 0         
61    | 4,743,313.48    | 5          | 0         
62    | 4,743,313.49    | 4          | 1         
63    | 4,681,828.25    | 4          | 1         
64    | 4,589,204.65    | 4          | 1         
65    | 4,552,032.54    | 2          | 3         
66    | 4,164,565.30    | 2          | 3         
67    | 3,976,199.36    | 3          | 2         
68    | 3,921,455.79    | 2          | 3         
69    | 3,788,406.40    | 5          | 0         
70    | 3,760,866.59    | 0          | 5         
71    | 3,453,323.61    | 0          | 5         
72    | 3,292,961.01    | 3          | 2         
73    | 3,238,293.80    | 3          | 2         
74    | 3,184,552.53    | 3          | 2         
75    | 3,051,589.25    | 3          | 2         
76    | 3,016,939.17    | 2          | 3         
77    | 2,945,679.38    | 3          | 2         
78    | 2,773,280.96    | 5          | 0         
79    | 2,760,592.14    | 2          | 3         
80    | 2,551,244.89    | 2          | 3         
81    | 2,469,617.54    | 4          | 1         
82    | 2,464,014.34    | 4          | 1         
83    | 2,431,386.55    | 2          | 3         
84    | 2,387,752.78    | 0          | 5         
85    | 2,307,306.39    | 0          | 5         
86    | 2,255,979.75    | 2          | 3         
87    | 2,205,831.45    | 0          | 5         
88    | 2,168,739.17    | 4          | 1         
89    | 2,157,344.23    | 2          | 3         
90    | 2,137,367.12    | 0          | 5         
91    | 2,054,111.43    | 0          | 5         
92    | 1,988,789.98    | 0          | 5         
93    | 1,955,303.07    | 2          | 3         
94    | 1,932,467.00    | 0          | 5         
95    | 1,890,528.10    | 0          | 5         
96    | 1,880,379.00    | 0          | 5         
97    | 1,863,286.91    | 0          | 5         
98    | 1,830,085.91    | 0          | 5         
99    | 1,805,541.76    | 0          | 5         
100   | 1,784,378.53    | 0          | 5         
101   | 1,761,442.90    | 2          | 3         
102   | 1,742,690.40    | 0          | 5         
103   | 1,734,859.83    | 0          | 5         
104   | 1,697,591.76    | 0          | 5         
105   | 1,661,261.79    | 2          | 3         
106   | 1,641,270.50    | 0          | 5         
107   | 1,630,285.10    | 0          | 5         
108   | 1,571,063.16    | 0          | 5         
109   | 1,551,858.02    | 0          | 5         
110   | 1,531,126.12    | 0          | 5         
111   | 1,505,254.91    | 0          | 5         
112   | 1,459,092.72    | 2          | 3         
113   | 1,433,364.03    | 0          | 5         
114   | 1,333,834.31    | 0          | 5         
115   | 1,297,827.48    | 0          | 5         
116   | 1,286,581.64    | 0          | 5         
117   | 1,267,645.48    | 0          | 5         
118   | 1,254,938.00    | 0          | 5         
119   | 1,203,674.53    | 0          | 5         
120   | 1,139,019.86    | 0          | 5         
121   | 1,114,571.32    | 0          | 5         
122   | 1,100,051.85    | 0          | 5         
123   | 1,054,595.41    | 0          | 5         
124   | 1,041,044.59    | 0          | 5         
125   | 1,031,321.01    | 0          | 5         
126   | 1,002,516.12    | 0          | 5         
127   | 978,989.76      | 0          | 5         
128   | 956,515.52      | 0          | 5         
129   | 954,966.48      | 0          | 5         
130   | 950,827.61      | 0          | 5         
131   | 948,936.41      | 0          | 5         
132   | 948,545.13      | 0          | 5         
133   | 945,580.08      | 0          | 5         
134   | 927,186.90      | 0          | 5         
135   | 903,314.40      | 0          | 5         
136   | 896,670.77      | 0          | 5         
137   | 890,942.01      | 0          | 5         
138   | 882,874.25      | 0          | 5         
139   | 874,337.45      | 0          | 5         
140   | 850,869.10      | 0          | 5         
141   | 814,754.96      | 0          | 5         
142   | 814,749.73      | 0          | 5         
143   | 811,713.05      | 0          | 5         
144   | 790,273.40      | 0          | 5         
145   | 787,637.53      | 0          | 5         
146   | 747,203.22      | 0          | 5         
147   | 745,340.00      | 0          | 5         
148   | 729,494.88      | 0          | 5         
149   | 721,291.45      | 0          | 5         
150   | 703,774.68      | 0          | 5         
151   | 703,774.68      | 0          | 5         
152   | 695,231.79      | 0          | 5         
153   | 683,882.59      | 0          | 5         
154   | 675,142.39      | 0          | 5         
155   | 672,062.01      | 0          | 5         
156   | 669,450.74      | 0          | 5         
157   | 666,052.08      | 0          | 5         
158   | 665,022.64      | 0          | 5         
159   | 640,491.33      | 0          | 5         
160   | 640,491.33      | 0          | 5         
161   | 636,174.67      | 0          | 5         
162   | 636,174.67      | 0          | 5         
163   | 634,945.95      | 0          | 5         
164   | 632,085.68      | 0          | 5         
165   | 627,599.93      | 0          | 5         
166   | 624,996.14      | 0          | 5         
167   | 620,100.93      | 0          | 5         
168   | 610,813.00      | 0          | 5         
169   | 595,421.58      | 0          | 5         
170   | 595,421.58      | 0          | 5         
171   | 595,421.58      | 0          | 5         
172   | 584,329.86      | 0          | 5         
173   | 584,329.86      | 0          | 5         
174   | 584,329.86      | 0          | 5         
175   | 584,329.86      | 0          | 5         
176   | 583,441.93      | 0          | 5         
177   | 577,714.65      | 0          | 5         
178   | 569,606.90      | 0          | 5         
179   | 549,348.45      | 0          | 5         
180   | 549,348.45      | 0          | 5         
181   | 541,182.81      | 0          | 5         
182   | 541,182.81      | 0          | 5         
183   | 541,182.81      | 0          | 5         
184   | 541,182.81      | 0          | 5         
185   | 539,978.05      | 0          | 5         
186   | 539,978.05      | 0          | 5         
187   | 539,978.05      | 0          | 5         
188   | 539,918.37      | 0          | 5         
189   | 539,918.37      | 0          | 5         
190   | 539,918.37      | 0          | 5         
191   | 539,918.37      | 0          | 5         
192   | 539,918.37      | 0          | 5         
193   | 539,918.37      | 0          | 5         
194   | 529,211.11      | 0          | 5         
195   | 529,211.11      | 0          | 5         
196   | 529,211.11      | 0          | 5         
197   | 529,211.11      | 0          | 5         
198   | 529,211.11      | 0          | 5         
199   | 529,211.11      | 0          | 5         
200   | 529,211.11      | 0          | 5         
201   | 529,211.11      | 0          | 5         
202   | 529,100.00      | 0          | 5         
203   | 529,100.00      | 0          | 3         
204   | 529,100.00      | 0          | 3         
205   | 529,100.00      | 0          | 3         
206   | 529,100.00      | 0          | 3         
207   | 529,100.00      | 0          | 3         
208   | 529,100.00      | 0          | 3         
209   | 529,100.00      | 0          | 3         
210   | 529,100.00      | 0          | 5         
211   | 529,100.00      | 0          | 5         
212   | 529,100.00      | 0          | 3         
