==========================================================
 ANALYSIS REPORT: Week 12
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 15
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 5,192,100.00
  RMP Relaxed Value (Root): 2,193,487.50
  Integrality Gap       : 136.7052 %
  MIP Best Bound (Final)  : 5,192,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 62.6588 sec
  Iterations      : 163
  RMP Time  : 22.5018 s
  MIP Time  : 6.4643 s
  Pool Search Time: 20.7554 s
  Graph Search Time: 12.8644 s
  MIP Decision Variables: 814 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 10302
  Pool Hits (Reused from History)   : 358
  Graph Gen (Newly Created)         : 446
  Pool Hit Rate                     : 44.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 2171 / Total Gen: 2171
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns: 1905 / Total Gen: 3810
       -> Avg Length of Unique Patterns: 36.2 hours
  Type: TypeC  | Unique Patterns: 2158 / Total Gen: 4316
       -> Avg Length of Unique Patterns: 24.4 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 50 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 114,011,900.00  | 5          | 0         
2     | 40,209,200.00   | 5          | 0         
3     | 22,205,000.00   | 5          | 0         
4     | 20,199,200.00   | 5          | 0         
5     | 18,868,566.62   | 5          | 0         
6     | 15,701,550.00   | 5          | 0         
7     | 15,485,507.16   | 5          | 0         
8     | 13,570,408.38   | 5          | 0         
9     | 12,274,629.37   | 5          | 0         
10    | 11,001,120.00   | 5          | 0         
11    | 10,600,580.00   | 5          | 0         
12    | 10,485,597.40   | 5          | 0         
13    | 10,281,579.60   | 5          | 0         
14    | 9,968,174.85    | 5          | 0         
15    | 9,739,879.44    | 5          | 0         
16    | 9,549,511.91    | 5          | 0         
17    | 9,482,908.31    | 5          | 0         
18    | 9,298,663.21    | 5          | 0         
19    | 9,153,885.89    | 5          | 0         
20    | 9,114,132.31    | 5          | 0         
21    | 9,067,552.81    | 5          | 0         
22    | 8,814,464.50    | 5          | 0         
23    | 8,676,120.18    | 5          | 0         
24    | 8,637,113.21    | 5          | 0         
25    | 8,611,131.67    | 5          | 0         
26    | 8,575,185.44    | 5          | 0         
27    | 8,553,890.15    | 4          | 1         
28    | 8,204,862.36    | 5          | 0         
29    | 8,083,675.03    | 5          | 0         
30    | 7,989,600.19    | 5          | 0         
31    | 7,907,149.01    | 4          | 1         
32    | 7,665,135.44    | 4          | 1         
33    | 7,541,852.92    | 4          | 1         
34    | 7,368,391.26    | 4          | 1         
35    | 7,277,888.15    | 4          | 1         
36    | 7,199,423.19    | 4          | 1         
37    | 7,165,411.59    | 4          | 1         
38    | 7,153,723.10    | 4          | 1         
39    | 7,123,293.55    | 4          | 1         
40    | 7,101,502.05    | 4          | 1         
41    | 7,100,371.57    | 4          | 1         
42    | 7,097,542.57    | 2          | 3         
43    | 6,824,393.24    | 4          | 1         
44    | 6,789,787.39    | 4          | 1         
45    | 6,782,140.01    | 4          | 1         
46    | 6,749,271.63    | 4          | 1         
47    | 6,747,617.69    | 4          | 1         
48    | 6,738,020.78    | 0          | 5         
49    | 6,094,416.72    | 5          | 0         
50    | 6,065,875.72    | 5          | 0         
51    | 6,060,494.16    | 4          | 1         
52    | 5,904,310.24    | 5          | 0         
53    | 5,862,950.69    | 4          | 1         
54    | 5,807,632.98    | 4          | 1         
55    | 5,788,239.66    | 4          | 1         
56    | 5,766,196.63    | 4          | 1         
57    | 5,753,215.37    | 2          | 3         
58    | 5,574,931.29    | 4          | 1         
59    | 5,519,981.41    | 4          | 1         
60    | 5,471,691.49    | 4          | 1         
61    | 5,444,526.01    | 4          | 1         
62    | 5,405,331.59    | 2          | 3         
63    | 4,994,854.58    | 4          | 1         
64    | 4,924,037.98    | 4          | 1         
65    | 4,905,917.61    | 4          | 1         
66    | 4,889,596.72    | 2          | 3         
67    | 4,647,857.07    | 4          | 1         
68    | 4,630,831.25    | 2          | 3         
69    | 4,356,589.43    | 3          | 2         
70    | 4,130,436.33    | 2          | 3         
71    | 3,945,719.97    | 2          | 3         
72    | 3,770,662.09    | 2          | 3         
73    | 3,663,774.77    | 4          | 1         
74    | 3,637,365.87    | 3          | 2         
75    | 3,630,439.47    | 2          | 3         
76    | 3,579,173.64    | 2          | 3         
77    | 3,517,435.59    | 2          | 3         
78    | 3,462,592.38    | 2          | 3         
79    | 3,432,175.31    | 2          | 3         
80    | 3,404,170.77    | 0          | 5         
81    | 3,350,040.69    | 0          | 5         
82    | 3,227,976.60    | 4          | 1         
83    | 3,219,166.15    | 4          | 1         
84    | 3,206,628.64    | 2          | 3         
85    | 3,049,301.57    | 2          | 3         
86    | 3,011,802.46    | 2          | 3         
