==========================================================
 ANALYSIS REPORT: Week 12
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 15
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 3,191,500.00
  RMP Relaxed Value (Root): 2,189,957.14
  Integrality Gap       : 45.7334 %
  MIP Best Bound (Final)  : 3,191,500.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 65.2321 sec
  Iterations      : 208
  RMP Time  : 36.0267 s
  MIP Time  : 2.7009 s
  Pool Search Time: 4.9679 s
  Graph Search Time: 21.4536 s
  MIP Decision Variables: 1014 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2659
  Pool Hits (Reused from History)   : 232
  Graph Gen (Newly Created)         : 772
  Pool Hit Rate                     : 23.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  535 / Total Gen:  535
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  494 / Total Gen:  987
       -> Avg Length of Unique Patterns: 37.0 hours
  Type: TypeC  | Unique Patterns:  566 / Total Gen: 1132
       -> Avg Length of Unique Patterns: 25.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 30 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 114,011,900.00  | 5          | 0         
2     | 45,196,900.00   | 5          | 0         
3     | 25,194,800.00   | 5          | 0         
4     | 20,195,800.00   | 5          | 0         
5     | 19,994,760.00   | 5          | 0         
6     | 19,083,344.41   | 5          | 0         
7     | 18,809,792.30   | 5          | 0         
8     | 18,442,475.00   | 5          | 0         
9     | 17,854,058.70   | 5          | 0         
10    | 17,242,583.02   | 5          | 0         
11    | 16,962,867.21   | 5          | 0         
12    | 16,755,284.91   | 5          | 0         
13    | 16,437,879.28   | 5          | 0         
14    | 16,052,197.16   | 5          | 0         
15    | 15,728,801.42   | 4          | 1         
16    | 15,075,981.88   | 5          | 0         
17    | 14,407,621.03   | 5          | 0         
18    | 14,241,055.55   | 5          | 0         
19    | 14,171,976.29   | 5          | 0         
20    | 14,104,758.94   | 5          | 0         
21    | 14,072,507.75   | 5          | 0         
22    | 14,067,241.00   | 5          | 0         
23    | 14,057,765.68   | 4          | 1         
24    | 13,446,386.38   | 4          | 1         
25    | 12,927,695.68   | 4          | 1         
26    | 12,451,803.25   | 4          | 1         
27    | 12,235,542.70   | 4          | 1         
28    | 12,168,055.05   | 2          | 3         
29    | 9,973,065.55    | 5          | 0         
30    | 9,733,966.78    | 4          | 1         
31    | 9,581,729.74    | 4          | 1         
32    | 9,352,681.94    | 4          | 1         
33    | 9,276,099.33    | 4          | 1         
34    | 9,212,225.83    | 4          | 1         
35    | 9,197,176.20    | 4          | 1         
36    | 9,128,871.27    | 2          | 3         
37    | 8,712,443.16    | 4          | 1         
38    | 8,567,769.34    | 2          | 3         
39    | 7,982,307.62    | 4          | 1         
40    | 7,590,563.42    | 2          | 3         
41    | 7,176,975.55    | 2          | 3         
42    | 7,007,232.67    | 2          | 3         
43    | 6,928,373.18    | 2          | 3         
44    | 6,854,420.41    | 2          | 3         
45    | 6,801,436.21    | 2          | 3         
46    | 6,751,162.55    | 2          | 3         
47    | 6,674,450.29    | 2          | 3         
48    | 6,653,398.04    | 0          | 5         
49    | 6,125,506.12    | 4          | 1         
50    | 5,834,302.94    | 2          | 3         
51    | 5,689,056.30    | 2          | 3         
52    | 5,585,892.63    | 4          | 1         
53    | 5,532,164.41    | 0          | 5         
54    | 5,200,185.50    | 2          | 3         
55    | 5,100,140.82    | 4          | 1         
56    | 5,086,531.31    | 0          | 5         
57    | 4,790,674.35    | 2          | 3         
58    | 4,611,833.33    | 0          | 5         
59    | 4,406,631.31    | 2          | 3         
60    | 4,378,021.51    | 0          | 5         
61    | 4,237,450.62    | 2          | 3         
62    | 4,172,803.16    | 0          | 5         
63    | 4,012,827.23    | 2          | 3         
64    | 3,932,930.46    | 2          | 3         
65    | 3,813,547.65    | 2          | 3         
66    | 3,717,111.66    | 2          | 3         
67    | 3,550,732.88    | 0          | 5         
68    | 3,427,028.62    | 2          | 3         
69    | 3,380,877.86    | 2          | 3         
70    | 3,308,262.95    | 0          | 5         
71    | 3,247,169.67    | 2          | 3         
72    | 3,242,197.20    | 0          | 5         
73    | 3,159,487.69    | 2          | 3         
74    | 3,111,587.32    | 0          | 5         
75    | 3,045,980.71    | 0          | 5         
76    | 2,991,438.07    | 0          | 5         
77    | 2,966,471.29    | 0          | 5         
78    | 2,945,107.54    | 0          | 5         
79    | 2,935,233.47    | 0          | 5         
80    | 2,828,139.95    | 0          | 5         
81    | 2,708,423.22    | 0          | 5         
82    | 2,652,768.88    | 2          | 3         
83    | 2,651,847.79    | 0          | 5         
84    | 2,646,509.39    | 2          | 3         
85    | 2,635,492.42    | 0          | 5         
86    | 2,620,400.06    | 0          | 5         
