==========================================================
 ANALYSIS REPORT: Week 12
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 5
  mip_rc_threshold     : inf
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 4,192,700.00
  RMP Relaxed Value (Root): 2,193,012.50
  Integrality Gap       : 91.1845 %
  MIP Best Bound (Final)  : 4,192,700.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 35.8937 sec
  Iterations      : 88
  RMP Time  : 11.9063 s
  MIP Time  : 5.0382 s
  Pool Search Time: 0.0000 s
  Graph Search Time: 18.9090 s
  MIP Decision Variables: 443 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 443
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 433
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:   82 / Total Gen:   82
       -> Avg Length of Unique Patterns: 46.9 hours
  Type: TypeB  | Unique Patterns:   89 / Total Gen:  178
       -> Avg Length of Unique Patterns: 36.3 hours
  Type: TypeC  | Unique Patterns:   89 / Total Gen:  178
       -> Avg Length of Unique Patterns: 25.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 114,011,900.00  | 0          | 5         
2     | 48,170,600.00   | 0          | 5         
3     | 21,192,100.00   | 0          | 5         
4     | 14,182,200.00   | 0          | 5         
5     | 12,185,800.00   | 0          | 5         
6     | 9,935,183.37    | 0          | 5         
7     | 9,042,942.82    | 0          | 5         
8     | 8,043,257.15    | 0          | 5         
9     | 7,465,556.00    | 0          | 5         
10    | 7,186,199.97    | 0          | 5         
11    | 6,954,967.58    | 0          | 5         
12    | 6,665,880.46    | 0          | 5         
13    | 6,358,747.62    | 0          | 5         
14    | 6,055,746.82    | 0          | 5         
15    | 5,865,847.40    | 0          | 5         
16    | 5,617,001.36    | 0          | 5         
17    | 5,432,681.66    | 0          | 5         
18    | 5,188,396.65    | 0          | 5         
19    | 4,939,059.15    | 0          | 5         
20    | 4,854,381.99    | 0          | 5         
21    | 4,671,561.66    | 0          | 5         
22    | 4,545,234.02    | 0          | 5         
23    | 4,462,470.27    | 0          | 5         
24    | 4,384,300.84    | 0          | 5         
25    | 4,271,893.82    | 0          | 5         
26    | 4,095,732.16    | 0          | 5         
27    | 3,987,109.53    | 0          | 5         
28    | 3,931,613.46    | 0          | 5         
29    | 3,819,179.07    | 0          | 5         
30    | 3,673,720.50    | 0          | 5         
31    | 3,510,025.47    | 0          | 5         
32    | 3,412,391.85    | 0          | 5         
33    | 3,296,805.58    | 0          | 5         
34    | 3,277,831.55    | 0          | 5         
35    | 3,265,353.92    | 0          | 5         
36    | 3,248,076.25    | 0          | 5         
37    | 3,236,748.00    | 0          | 5         
38    | 3,211,454.63    | 0          | 5         
39    | 3,144,673.82    | 0          | 5         
40    | 3,106,507.16    | 0          | 5         
41    | 2,998,070.88    | 0          | 5         
42    | 2,994,966.03    | 0          | 5         
43    | 2,954,901.11    | 0          | 5         
44    | 2,927,792.94    | 0          | 5         
45    | 2,887,795.21    | 0          | 5         
46    | 2,869,995.50    | 0          | 5         
47    | 2,865,340.21    | 0          | 5         
48    | 2,842,290.72    | 0          | 5         
49    | 2,736,510.30    | 0          | 5         
50    | 2,736,510.30    | 0          | 5         
51    | 2,707,307.23    | 0          | 5         
52    | 2,662,446.21    | 0          | 5         
53    | 2,644,733.29    | 0          | 5         
54    | 2,610,574.37    | 0          | 5         
55    | 2,547,183.97    | 0          | 5         
56    | 2,532,033.22    | 0          | 5         
57    | 2,484,324.29    | 0          | 5         
58    | 2,458,830.90    | 0          | 5         
59    | 2,448,123.07    | 0          | 5         
60    | 2,406,171.82    | 0          | 5         
61    | 2,384,553.46    | 0          | 5         
62    | 2,375,461.13    | 0          | 5         
63    | 2,362,671.34    | 0          | 5         
64    | 2,362,671.34    | 0          | 5         
65    | 2,359,301.14    | 0          | 5         
66    | 2,341,989.92    | 0          | 5         
67    | 2,329,346.96    | 0          | 5         
68    | 2,315,123.68    | 0          | 5         
69    | 2,315,123.68    | 0          | 5         
70    | 2,309,727.28    | 0          | 4         
71    | 2,298,462.48    | 0          | 5         
72    | 2,285,532.03    | 0          | 5         
73    | 2,280,409.74    | 0          | 5         
74    | 2,259,888.14    | 0          | 5         
75    | 2,217,057.94    | 0          | 5         
76    | 2,217,057.94    | 0          | 5         
77    | 2,217,057.94    | 0          | 5         
78    | 2,217,057.94    | 0          | 5         
79    | 2,214,056.23    | 0          | 5         
80    | 2,211,182.80    | 0          | 4         
81    | 2,207,089.53    | 0          | 5         
82    | 2,201,331.31    | 0          | 4         
83    | 2,193,012.50    | 0          | 5         
84    | 2,193,012.50    | 0          | 4         
85    | 2,193,012.50    | 0          | 5         
86    | 2,193,012.50    | 0          | 4         
87    | 2,193,012.50    | 0          | 4         
88    | 2,193,012.50    | 0          | 4         
