==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1
  mip_gap              : 0

1. Performance Metrics
----------------------
  Objective Value : 3,188,900.00
  RMP Relaxed Value (Root): 1,191,380.00
  Integrality Gap       : 167.6644 %
  MIP Best Bound (Final)  : 3,188,900.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 187.3218 sec
  Iterations      : 303
  RMP Time  : 122.3846 s
  MIP Time  : 1.2559 s
  Pool Search Time: 0.0001 s
  Graph Search Time: 63.4797 s
  MIP Decision Variables: 135 (Columns used in Final MIP)
  MIP Filtered Columns  : 1280 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1415
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 1405
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  260 / Total Gen:  260
       -> Avg Length of Unique Patterns: 47.8 hours
  Type: TypeB  | Unique Patterns:  271 / Total Gen:  542
       -> Avg Length of Unique Patterns: 36.0 hours
  Type: TypeC  | Unique Patterns:  304 / Total Gen:  608
       -> Avg Length of Unique Patterns: 24.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 0          | 5         
2     | 55,136,900.00   | 0          | 5         
3     | 25,189,900.00   | 0          | 5         
4     | 15,175,300.00   | 0          | 5         
5     | 13,179,650.00   | 0          | 5         
6     | 12,429,025.10   | 0          | 5         
7     | 11,479,540.00   | 0          | 5         
8     | 9,958,744.44    | 0          | 5         
9     | 9,861,836.37    | 0          | 5         
10    | 9,141,038.37    | 0          | 5         
11    | 8,632,663.18    | 0          | 5         
12    | 7,999,883.70    | 0          | 5         
13    | 7,399,796.99    | 0          | 5         
14    | 6,969,113.86    | 0          | 5         
15    | 6,311,532.46    | 0          | 5         
16    | 6,011,636.78    | 0          | 5         
17    | 5,795,888.49    | 0          | 5         
18    | 5,264,336.31    | 0          | 5         
19    | 5,075,083.38    | 0          | 5         
20    | 4,973,020.38    | 0          | 5         
21    | 4,569,092.23    | 0          | 5         
22    | 4,415,218.28    | 0          | 5         
23    | 4,222,302.60    | 0          | 5         
24    | 4,042,411.69    | 0          | 5         
25    | 3,916,527.57    | 0          | 5         
26    | 3,823,682.18    | 0          | 5         
27    | 3,708,447.37    | 0          | 5         
28    | 3,624,000.67    | 0          | 5         
29    | 3,596,815.29    | 0          | 5         
30    | 3,589,663.48    | 0          | 5         
31    | 3,478,064.22    | 0          | 5         
32    | 3,340,557.56    | 0          | 5         
33    | 3,312,183.25    | 0          | 5         
34    | 3,157,365.38    | 0          | 5         
35    | 2,984,008.67    | 0          | 5         
36    | 2,934,861.71    | 0          | 5         
37    | 2,888,202.81    | 0          | 5         
38    | 2,844,737.65    | 0          | 5         
39    | 2,795,511.37    | 0          | 5         
40    | 2,723,679.85    | 0          | 5         
41    | 2,636,155.61    | 0          | 5         
42    | 2,629,166.85    | 0          | 5         
43    | 2,587,459.26    | 0          | 5         
44    | 2,581,532.59    | 0          | 5         
45    | 2,506,771.59    | 0          | 5         
46    | 2,474,455.48    | 0          | 5         
47    | 2,443,076.69    | 0          | 5         
48    | 2,409,719.24    | 0          | 5         
49    | 2,286,776.06    | 0          | 5         
50    | 2,150,694.87    | 0          | 5         
51    | 2,074,729.84    | 0          | 5         
52    | 2,033,564.94    | 0          | 5         
53    | 1,979,008.13    | 0          | 5         
54    | 1,924,146.68    | 0          | 5         
55    | 1,851,594.01    | 0          | 5         
56    | 1,844,131.37    | 0          | 5         
57    | 1,773,208.30    | 0          | 5         
58    | 1,755,561.74    | 0          | 5         
59    | 1,693,075.78    | 0          | 5         
60    | 1,614,407.98    | 0          | 5         
61    | 1,614,010.01    | 0          | 5         
62    | 1,602,101.13    | 0          | 5         
63    | 1,596,806.36    | 0          | 5         
64    | 1,583,478.63    | 0          | 5         
65    | 1,573,309.03    | 0          | 5         
66    | 1,561,498.05    | 0          | 5         
67    | 1,559,117.83    | 0          | 5         
68    | 1,556,982.18    | 0          | 5         
69    | 1,542,847.59    | 0          | 5         
70    | 1,542,847.59    | 0          | 5         
71    | 1,540,539.30    | 0          | 5         
72    | 1,487,728.41    | 0          | 5         
73    | 1,487,547.03    | 0          | 5         
74    | 1,487,547.03    | 0          | 5         
75    | 1,484,487.63    | 0          | 5         
76    | 1,444,416.13    | 0          | 5         
77    | 1,411,914.73    | 0          | 5         
78    | 1,381,693.84    | 0          | 5         
79    | 1,381,693.84    | 0          | 5         
80    | 1,381,693.84    | 0          | 5         
81    | 1,370,459.42    | 0          | 5         
82    | 1,361,017.03    | 0          | 5         
83    | 1,360,864.98    | 0          | 5         
84    | 1,359,290.70    | 0          | 5         
85    | 1,340,026.57    | 0          | 5         
86    | 1,340,026.57    | 0          | 5         
87    | 1,340,026.57    | 0          | 5         
88    | 1,325,580.01    | 0          | 5         
89    | 1,325,580.01    | 0          | 5         
90    | 1,323,533.80    | 0          | 5         
91    | 1,323,533.80    | 0          | 5         
92    | 1,295,161.66    | 0          | 5         
93    | 1,283,185.71    | 0          | 5         
94    | 1,283,185.71    | 0          | 5         
95    | 1,283,185.71    | 0          | 5         
96    | 1,261,213.29    | 0          | 5         
97    | 1,261,213.29    | 0          | 5         
98    | 1,261,213.29    | 0          | 5         
99    | 1,254,668.72    | 0          | 5         
100   | 1,254,668.72    | 0          | 5         
101   | 1,238,842.86    | 0          | 5         
102   | 1,224,493.42    | 0          | 5         
103   | 1,224,493.42    | 0          | 5         
104   | 1,212,008.45    | 0          | 5         
105   | 1,197,634.29    | 0          | 5         
106   | 1,197,634.29    | 0          | 5         
107   | 1,197,414.29    | 0          | 5         
108   | 1,197,063.64    | 0          | 5         
109   | 1,197,063.64    | 0          | 5         
110   | 1,197,063.64    | 0          | 5         
111   | 1,196,708.26    | 0          | 5         
112   | 1,196,414.29    | 0          | 5         
113   | 1,196,414.29    | 0          | 5         
114   | 1,196,414.29    | 0          | 5         
115   | 1,195,683.33    | 0          | 5         
116   | 1,195,668.42    | 0          | 5         
117   | 1,195,668.42    | 0          | 5         
118   | 1,195,668.42    | 0          | 5         
119   | 1,195,668.42    | 0          | 5         
120   | 1,195,668.42    | 0          | 5         
121   | 1,195,668.42    | 0          | 5         
122   | 1,195,668.42    | 0          | 5         
123   | 1,195,668.42    | 0          | 5         
124   | 1,195,668.42    | 0          | 5         
125   | 1,195,668.42    | 0          | 5         
126   | 1,195,668.42    | 0          | 5         
127   | 1,195,520.00    | 0          | 5         
128   | 1,195,520.00    | 0          | 5         
129   | 1,195,110.10    | 0          | 5         
130   | 1,194,888.23    | 0          | 5         
131   | 1,194,888.23    | 0          | 5         
132   | 1,194,888.23    | 0          | 5         
133   | 1,192,600.00    | 0          | 5         
134   | 1,192,600.00    | 0          | 5         
135   | 1,192,600.00    | 0          | 5         
136   | 1,192,600.00    | 0          | 5         
137   | 1,192,600.00    | 0          | 5         
138   | 1,192,600.00    | 0          | 5         
139   | 1,192,600.00    | 0          | 5         
140   | 1,192,600.00    | 0          | 5         
141   | 1,192,600.00    | 0          | 5         
142   | 1,192,600.00    | 0          | 5         
143   | 1,192,600.00    | 0          | 5         
144   | 1,192,600.00    | 0          | 5         
145   | 1,192,600.00    | 0          | 5         
146   | 1,192,600.00    | 0          | 5         
147   | 1,192,600.00    | 0          | 5         
148   | 1,192,600.00    | 0          | 5         
149   | 1,192,600.00    | 0          | 5         
150   | 1,192,600.00    | 0          | 5         
151   | 1,192,600.00    | 0          | 5         
152   | 1,192,600.00    | 0          | 5         
153   | 1,192,600.00    | 0          | 5         
154   | 1,192,600.00    | 0          | 5         
155   | 1,192,600.00    | 0          | 5         
156   | 1,192,600.00    | 0          | 5         
157   | 1,192,600.00    | 0          | 5         
158   | 1,192,600.00    | 0          | 5         
159   | 1,192,600.00    | 0          | 5         
160   | 1,192,600.00    | 0          | 5         
161   | 1,192,600.00    | 0          | 5         
162   | 1,192,600.00    | 0          | 5         
163   | 1,192,600.00    | 0          | 5         
164   | 1,192,600.00    | 0          | 5         
165   | 1,192,600.00    | 0          | 5         
166   | 1,192,600.00    | 0          | 5         
167   | 1,192,600.00    | 0          | 5         
168   | 1,192,600.00    | 0          | 5         
169   | 1,192,000.00    | 0          | 5         
170   | 1,192,000.00    | 0          | 5         
171   | 1,192,000.00    | 0          | 5         
172   | 1,192,000.00    | 0          | 5         
173   | 1,192,000.00    | 0          | 5         
174   | 1,192,000.00    | 0          | 5         
175   | 1,192,000.00    | 0          | 5         
176   | 1,192,000.00    | 0          | 5         
177   | 1,192,000.00    | 0          | 5         
178   | 1,192,000.00    | 0          | 5         
179   | 1,192,000.00    | 0          | 5         
180   | 1,192,000.00    | 0          | 5         
181   | 1,192,000.00    | 0          | 5         
182   | 1,192,000.00    | 0          | 5         
183   | 1,192,000.00    | 0          | 5         
184   | 1,192,000.00    | 0          | 5         
185   | 1,192,000.00    | 0          | 5         
186   | 1,191,875.00    | 0          | 5         
187   | 1,191,875.00    | 0          | 5         
188   | 1,191,875.00    | 0          | 5         
189   | 1,191,875.00    | 0          | 5         
190   | 1,191,875.00    | 0          | 5         
191   | 1,191,875.00    | 0          | 4         
192   | 1,191,726.32    | 0          | 4         
193   | 1,191,726.32    | 0          | 5         
194   | 1,191,550.00    | 0          | 5         
195   | 1,191,550.00    | 0          | 5         
196   | 1,191,550.00    | 0          | 5         
197   | 1,191,550.00    | 0          | 5         
198   | 1,191,550.00    | 0          | 5         
199   | 1,191,550.00    | 0          | 4         
200   | 1,191,550.00    | 0          | 5         
201   | 1,191,550.00    | 0          | 4         
202   | 1,191,550.00    | 0          | 5         
203   | 1,191,380.00    | 0          | 5         
204   | 1,191,380.00    | 0          | 5         
205   | 1,191,380.00    | 0          | 5         
206   | 1,191,380.00    | 0          | 4         
207   | 1,191,380.00    | 0          | 5         
208   | 1,191,380.00    | 0          | 5         
209   | 1,191,380.00    | 0          | 5         
210   | 1,191,380.00    | 0          | 5         
211   | 1,191,380.00    | 0          | 5         
212   | 1,191,380.00    | 0          | 4         
213   | 1,191,380.00    | 0          | 5         
214   | 1,191,380.00    | 0          | 5         
215   | 1,191,380.00    | 0          | 5         
216   | 1,191,380.00    | 0          | 5         
217   | 1,191,380.00    | 0          | 5         
218   | 1,191,380.00    | 0          | 4         
219   | 1,191,380.00    | 0          | 5         
220   | 1,191,380.00    | 0          | 4         
221   | 1,191,380.00    | 0          | 4         
222   | 1,191,380.00    | 0          | 4         
223   | 1,191,380.00    | 0          | 5         
224   | 1,191,380.00    | 0          | 4         
225   | 1,191,380.00    | 0          | 4         
226   | 1,191,380.00    | 0          | 5         
227   | 1,191,380.00    | 0          | 4         
228   | 1,191,380.00    | 0          | 5         
229   | 1,191,380.00    | 0          | 5         
230   | 1,191,380.00    | 0          | 5         
231   | 1,191,380.00    | 0          | 5         
232   | 1,191,380.00    | 0          | 5         
233   | 1,191,380.00    | 0          | 4         
234   | 1,191,380.00    | 0          | 5         
235   | 1,191,380.00    | 0          | 5         
236   | 1,191,380.00    | 0          | 4         
237   | 1,191,380.00    | 0          | 4         
