==========================================================
 ANALYSIS REPORT: Week 10
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1000
  mip_gap              : 0

1. Performance Metrics
----------------------
  Objective Value : 2,187,400.00
  RMP Relaxed Value (Root): 525,033.33
  Integrality Gap       : 316.6212 %
  MIP Best Bound (Final)  : 2,187,400.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 199.4970 sec
  Iterations      : 309
  RMP Time  : 130.0793 s
  MIP Time  : 1.8398 s
  Pool Search Time: 0.0001 s
  Graph Search Time: 67.3740 s
  MIP Decision Variables: 338 (Columns used in Final MIP)
  MIP Filtered Columns  : 1118 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1456
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 1446
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  301 / Total Gen:  301
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns:  270 / Total Gen:  540
       -> Avg Length of Unique Patterns: 37.5 hours
  Type: TypeC  | Unique Patterns:  305 / Total Gen:  610
       -> Avg Length of Unique Patterns: 25.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 36 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 22 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 105,011,900.00  | 0          | 5         
2     | 48,143,800.00   | 0          | 5         
3     | 29,187,300.00   | 0          | 5         
4     | 15,187,600.00   | 0          | 5         
5     | 10,174,600.00   | 0          | 5         
6     | 10,174,600.00   | 0          | 5         
7     | 10,174,600.00   | 0          | 5         
8     | 9,362,509.07    | 0          | 5         
9     | 8,678,450.00    | 0          | 5         
10    | 8,000,136.37    | 0          | 5         
11    | 7,058,275.00    | 0          | 5         
12    | 6,625,668.00    | 0          | 5         
13    | 6,108,861.86    | 0          | 5         
14    | 5,578,834.65    | 0          | 5         
15    | 5,015,501.70    | 0          | 5         
16    | 4,621,477.17    | 0          | 5         
17    | 4,313,920.90    | 0          | 5         
18    | 4,137,663.71    | 0          | 5         
19    | 3,910,769.06    | 0          | 5         
20    | 3,507,296.68    | 0          | 5         
21    | 3,430,563.06    | 0          | 5         
22    | 3,297,622.38    | 0          | 5         
23    | 3,216,739.39    | 0          | 5         
24    | 3,124,597.26    | 0          | 5         
25    | 2,911,369.80    | 0          | 5         
26    | 2,791,388.61    | 0          | 5         
27    | 2,723,363.97    | 0          | 5         
28    | 2,589,365.82    | 0          | 5         
29    | 2,559,368.91    | 0          | 5         
30    | 2,532,115.44    | 0          | 5         
31    | 2,469,451.47    | 0          | 5         
32    | 2,359,688.58    | 0          | 5         
33    | 2,290,000.13    | 0          | 5         
34    | 2,246,667.37    | 0          | 5         
35    | 2,229,290.14    | 0          | 5         
36    | 2,131,249.36    | 0          | 5         
37    | 2,116,129.99    | 0          | 5         
38    | 2,076,421.14    | 0          | 5         
39    | 2,043,593.87    | 0          | 5         
40    | 1,997,303.42    | 0          | 5         
