==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1000
  mip_gap              : 0

1. Performance Metrics
----------------------
  Objective Value : 158,100.00
  RMP Relaxed Value (Root): 154,000.00
  Integrality Gap       : 2.6623 %
  MIP Best Bound (Final)  : 158,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 175.0403 sec
  Iterations      : 296
  RMP Time  : 110.3257 s
  MIP Time  : 0.7811 s
  Pool Search Time: 0.0001 s
  Graph Search Time: 63.7357 s
  MIP Decision Variables: 473 (Columns used in Final MIP)
  MIP Filtered Columns  : 891 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1364
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 1354
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  177 / Total Gen:  177
       -> Avg Length of Unique Patterns: 43.9 hours
  Type: TypeB  | Unique Patterns:  296 / Total Gen:  592
       -> Avg Length of Unique Patterns: 31.4 hours
  Type: TypeC  | Unique Patterns:  295 / Total Gen:  590
       -> Avg Length of Unique Patterns: 19.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeB): 33 hours worked
  Emp 2  (TypeB): 32 hours worked
  Emp 3  (TypeC): 17 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 0          | 5         
2     | 34,131,700.00   | 0          | 5         
3     | 12,193,500.00   | 0          | 5         
4     | 7,181,000.00    | 0          | 5         
5     | 6,173,100.00    | 0          | 5         
6     | 5,374,320.00    | 0          | 5         
7     | 4,424,706.25    | 0          | 5         
8     | 4,230,944.44    | 0          | 5         
9     | 3,688,948.72    | 0          | 5         
10    | 3,052,100.00    | 0          | 5         
11    | 2,912,516.80    | 0          | 5         
12    | 2,522,347.81    | 0          | 5         
13    | 2,303,138.46    | 0          | 5         
14    | 2,137,021.36    | 0          | 5         
15    | 2,060,185.59    | 0          | 5         
16    | 1,770,761.42    | 0          | 5         
17    | 1,671,470.56    | 0          | 5         
18    | 1,460,601.26    | 0          | 5         
19    | 1,381,433.06    | 0          | 5         
20    | 1,246,185.24    | 0          | 5         
21    | 1,202,342.65    | 0          | 5         
22    | 1,166,828.08    | 0          | 5         
23    | 1,108,960.82    | 0          | 5         
24    | 1,071,066.98    | 0          | 5         
25    | 963,990.83      | 0          | 5         
26    | 939,368.31      | 0          | 5         
27    | 935,364.89      | 0          | 5         
28    | 906,654.50      | 0          | 5         
29    | 846,075.31      | 0          | 5         
30    | 778,069.14      | 0          | 5         
31    | 698,851.33      | 0          | 5         
32    | 637,762.82      | 0          | 5         
33    | 553,815.76      | 0          | 5         
34    | 473,732.38      | 0          | 5         
35    | 396,364.36      | 0          | 5         
36    | 290,905.57      | 0          | 5         
37    | 289,273.06      | 0          | 5         
38    | 189,713.31      | 0          | 5         
39    | 175,763.65      | 0          | 5         
40    | 174,393.52      | 0          | 5         
41    | 173,941.64      | 0          | 5         
