==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 100000
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 160,100.00
  RMP Relaxed Value (Root): 154,000.00
  Integrality Gap       : 3.9610 %
  MIP Best Bound (Final)  : 160,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 183.2557 sec
  Iterations      : 307
  RMP Time  : 117.4492 s
  MIP Time  : 3.0600 s
  Pool Search Time: 7.1235 s
  Graph Search Time: 55.3951 s
  MIP Decision Variables: 1395 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2176
  Pool Hits (Reused from History)   : 219
  Graph Gen (Newly Created)         : 1166
  Pool Hit Rate                     : 15.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  363 / Total Gen:  363
       -> Avg Length of Unique Patterns: 45.5 hours
  Type: TypeB  | Unique Patterns:  429 / Total Gen:  858
       -> Avg Length of Unique Patterns: 34.2 hours
  Type: TypeC  | Unique Patterns:  475 / Total Gen:  950
       -> Avg Length of Unique Patterns: 22.1 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 31 hours worked
  Emp 2  (TypeB): 34 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 5          | 0         
2     | 31,172,700.00   | 5          | 0         
3     | 18,199,100.00   | 5          | 0         
4     | 17,194,440.00   | 5          | 0         
5     | 15,496,260.00   | 5          | 0         
6     | 13,800,260.00   | 5          | 0         
7     | 12,383,577.79   | 5          | 0         
8     | 11,699,558.88   | 5          | 0         
9     | 10,438,742.85   | 5          | 0         
10    | 10,096,293.76   | 5          | 0         
11    | 9,911,428.79    | 5          | 0         
12    | 9,817,085.32    | 5          | 0         
13    | 9,496,516.11    | 4          | 1         
14    | 8,545,647.76    | 5          | 0         
15    | 8,309,748.72    | 5          | 0         
16    | 8,081,186.81    | 4          | 1         
17    | 7,190,780.00    | 5          | 0         
18    | 7,050,042.84    | 3          | 2         
19    | 5,191,200.01    | 5          | 0         
20    | 4,984,848.26    | 5          | 0         
21    | 4,858,147.22    | 5          | 0         
22    | 4,823,371.96    | 4          | 1         
23    | 4,479,181.42    | 3          | 2         
24    | 3,980,552.63    | 4          | 1         
25    | 3,765,140.57    | 2          | 3         
26    | 3,455,763.95    | 4          | 1         
27    | 3,358,866.68    | 2          | 3         
28    | 2,943,014.28    | 4          | 1         
29    | 2,794,818.62    | 4          | 1         
30    | 2,676,009.66    | 4          | 1         
31    | 2,653,801.88    | 4          | 1         
32    | 2,634,604.25    | 2          | 3         
33    | 2,529,937.56    | 3          | 2         
34    | 2,303,807.80    | 4          | 1         
35    | 2,294,285.06    | 5          | 0         
36    | 2,294,136.65    | 3          | 2         
37    | 1,752,326.95    | 3          | 2         
38    | 1,605,737.26    | 5          | 0         
39    | 1,604,001.14    | 3          | 2         
40    | 1,518,191.59    | 5          | 0         
