==========================================================
 ANALYSIS REPORT: Week 9
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 100000
  mip_gap              : 0.01

1. Performance Metrics
----------------------
  Objective Value : 2,184,000.00
  RMP Relaxed Value (Root): 1,680,150.00
  Integrality Gap       : 29.9884 %
  MIP Best Bound (Final)  : 2,184,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 147.4447 sec
  Iterations      : 261
  RMP Time  : 89.8701 s
  MIP Time  : 4.3135 s
  Pool Search Time: 5.9189 s
  Graph Search Time: 47.1582 s
  MIP Decision Variables: 868 (Columns used in Final MIP)
  MIP Filtered Columns  : 352 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2038
  Pool Hits (Reused from History)   : 182
  Graph Gen (Newly Created)         : 1028
  Pool Hit Rate                     : 15.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  409 / Total Gen:  409
       -> Avg Length of Unique Patterns: 46.4 hours
  Type: TypeB  | Unique Patterns:  352 / Total Gen:  704
       -> Avg Length of Unique Patterns: 36.7 hours
  Type: TypeC  | Unique Patterns:  460 / Total Gen:  920
       -> Avg Length of Unique Patterns: 23.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 26 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 102,012,000.00  | 5          | 0         
2     | 36,177,500.00   | 5          | 0         
3     | 23,192,600.00   | 5          | 0         
4     | 22,194,899.89   | 5          | 0         
5     | 18,596,000.00   | 5          | 0         
6     | 17,697,450.00   | 5          | 0         
7     | 17,340,585.74   | 5          | 0         
8     | 16,973,157.50   | 5          | 0         
9     | 16,483,057.04   | 5          | 0         
10    | 16,188,552.82   | 4          | 1         
11    | 15,402,185.46   | 5          | 0         
12    | 14,880,392.00   | 5          | 0         
13    | 14,739,223.00   | 5          | 0         
14    | 14,557,298.22   | 5          | 0         
15    | 14,557,298.22   | 5          | 0         
16    | 14,417,655.63   | 2          | 3         
17    | 11,698,850.00   | 5          | 0         
18    | 11,375,364.65   | 5          | 0         
19    | 11,197,240.00   | 5          | 0         
20    | 11,197,240.00   | 5          | 0         
21    | 11,197,240.00   | 3          | 2         
22    | 10,872,850.76   | 5          | 0         
23    | 10,485,198.52   | 5          | 0         
24    | 10,309,741.13   | 3          | 2         
25    | 9,749,047.82    | 2          | 3         
26    | 9,256,305.59    | 4          | 1         
27    | 8,781,299.96    | 4          | 1         
28    | 8,165,663.24    | 2          | 3         
29    | 7,336,918.19    | 2          | 3         
30    | 7,143,990.28    | 4          | 1         
31    | 6,853,471.55    | 2          | 3         
32    | 6,642,970.24    | 2          | 3         
33    | 6,392,958.34    | 2          | 3         
34    | 6,243,821.12    | 3          | 2         
35    | 6,230,479.64    | 2          | 3         
36    | 6,163,247.44    | 2          | 3         
37    | 6,047,295.31    | 2          | 3         
38    | 5,984,900.96    | 2          | 3         
39    | 5,926,714.99    | 2          | 3         
40    | 5,885,118.36    | 2          | 3         
