==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 10
  mip_rc_threshold     : 100000
  mip_gap              : 0.05

1. Performance Metrics
----------------------
  Objective Value : 415,167,300.00
  RMP Relaxed Value (Root): 626,666.67
  Integrality Gap       : 66150.1010 %
  MIP Best Bound (Final)  : 626,666.67
  Final MIP Gap           : 66150.1010 %
  Execution Time  : 832.7155 sec
  Iterations      : 279
  RMP Time  : 544.5668 s
  MIP Time  : 6.4518 s
  Pool Search Time: 0.0001 s
  Graph Search Time: 281.0091 s
  MIP Decision Variables: 5588 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 5588
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 5548
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  276 / Total Gen: 1104
       -> Avg Length of Unique Patterns: 44.4 hours
  Type: TypeB  | Unique Patterns:  279 / Total Gen: 2232
       -> Avg Length of Unique Patterns: 32.5 hours
  Type: TypeC  | Unique Patterns:  279 / Total Gen: 2232
       -> Avg Length of Unique Patterns: 22.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 0 hours worked
  Emp 1  (TypeA): 0 hours worked
  Emp 2  (TypeA): 0 hours worked
  Emp 3  (TypeA): 44 hours worked
  Emp 4  (TypeB): 0 hours worked
  Emp 5  (TypeB): 30 hours worked
  Emp 6  (TypeB): 0 hours worked
  Emp 7  (TypeB): 0 hours worked
  Emp 8  (TypeB): 0 hours worked
  Emp 9  (TypeB): 0 hours worked
  Emp 10 (TypeB): 30 hours worked
  Emp 11 (TypeB): 0 hours worked
  Emp 12 (TypeC): 0 hours worked
  Emp 13 (TypeC): 21 hours worked
  Emp 14 (TypeC): 0 hours worked
  Emp 15 (TypeC): 0 hours worked
  Emp 16 (TypeC): 0 hours worked
  Emp 17 (TypeC): 20 hours worked
  Emp 18 (TypeC): 16 hours worked
  Emp 19 (TypeC): 0 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 534,052,000.00  | 0          | 20        
2     | 263,565,600.00  | 0          | 20        
3     | 133,769,200.00  | 0          | 20        
4     | 59,772,300.00   | 0          | 20        
5     | 34,758,900.00   | 0          | 20        
6     | 23,548,280.00   | 0          | 20        
7     | 19,076,099.95   | 0          | 20        
8     | 12,495,979.24   | 0          | 20        
9     | 10,087,628.54   | 0          | 20        
10    | 8,745,770.65    | 0          | 20        
11    | 6,925,707.68    | 0          | 20        
12    | 4,127,925.51    | 0          | 20        
13    | 2,583,015.62    | 0          | 20        
14    | 1,774,617.27    | 0          | 20        
15    | 990,552.84      | 0          | 20        
16    | 734,377.70      | 0          | 20        
17    | 729,606.11      | 0          | 20        
18    | 724,474.55      | 0          | 20        
19    | 721,837.46      | 0          | 20        
20    | 717,720.00      | 0          | 20        
21    | 714,825.81      | 0          | 20        
22    | 712,863.05      | 0          | 20        
23    | 710,872.36      | 0          | 20        
24    | 709,059.56      | 0          | 20        
25    | 706,323.77      | 0          | 20        
26    | 703,942.88      | 0          | 20        
27    | 702,015.21      | 0          | 20        
28    | 698,788.70      | 0          | 20        
29    | 697,112.17      | 0          | 20        
30    | 696,541.33      | 0          | 20        
31    | 695,173.90      | 0          | 20        
32    | 693,883.61      | 0          | 20        
33    | 691,734.52      | 0          | 20        
34    | 689,057.34      | 0          | 20        
35    | 687,938.76      | 0          | 20        
36    | 685,984.07      | 0          | 20        
37    | 684,715.76      | 0          | 20        
38    | 682,944.12      | 0          | 20        
39    | 681,742.91      | 0          | 20        
40    | 680,370.44      | 0          | 20        
41    | 679,165.39      | 0          | 20        
42    | 678,330.93      | 0          | 20        
43    | 677,340.47      | 0          | 20        
44    | 676,455.19      | 0          | 20        
45    | 675,896.36      | 0          | 20        
46    | 674,643.55      | 0          | 20        
47    | 673,323.27      | 0          | 20        
48    | 672,626.71      | 0          | 20        
49    | 671,536.66      | 0          | 20        
50    | 669,433.85      | 0          | 20        
51    | 668,550.86      | 0          | 20        
52    | 667,442.89      | 0          | 20        
53    | 666,262.47      | 0          | 20        
54    | 665,271.76      | 0          | 20        
55    | 664,389.10      | 0          | 20        
56    | 663,994.17      | 0          | 20        
57    | 663,700.28      | 0          | 20        
58    | 663,260.93      | 0          | 20        
59    | 662,972.80      | 0          | 20        
60    | 662,318.06      | 0          | 20        
61    | 661,701.55      | 0          | 20        
62    | 661,170.26      | 0          | 20        
63    | 661,055.31      | 0          | 20        
64    | 660,914.79      | 0          | 20        
65    | 660,658.74      | 0          | 20        
66    | 660,068.48      | 0          | 20        
67    | 659,561.14      | 0          | 20        
68    | 659,057.06      | 0          | 20        
69    | 658,574.39      | 0          | 20        
70    | 657,648.43      | 0          | 20        
71    | 656,438.16      | 0          | 20        
72    | 655,663.68      | 0          | 20        
73    | 655,094.06      | 0          | 20        
74    | 654,591.17      | 0          | 20        
75    | 654,207.29      | 0          | 20        
76    | 653,707.06      | 0          | 20        
77    | 653,425.36      | 0          | 20        
78    | 652,678.30      | 0          | 20        
79    | 651,976.48      | 0          | 20        
80    | 651,252.80      | 0          | 20        
81    | 650,746.16      | 0          | 20        
82    | 650,467.56      | 0          | 20        
83    | 649,931.28      | 0          | 20        
84    | 649,262.21      | 0          | 20        
85    | 648,798.26      | 0          | 20        
86    | 648,178.38      | 0          | 20        
87    | 647,875.12      | 0          | 20        
88    | 647,440.09      | 0          | 20        
89    | 646,985.88      | 0          | 20        
90    | 646,502.78      | 0          | 20        
91    | 646,099.15      | 0          | 20        
92    | 645,862.96      | 0          | 20        
93    | 645,310.17      | 0          | 20        
94    | 644,605.88      | 0          | 20        
95    | 644,181.57      | 0          | 20        
96    | 643,729.11      | 0          | 20        
97    | 643,434.39      | 0          | 20        
98    | 643,211.53      | 0          | 20        
99    | 642,590.03      | 0          | 20        
100   | 642,102.95      | 0          | 20        
101   | 641,846.01      | 0          | 20        
102   | 641,295.77      | 0          | 20        
103   | 640,909.61      | 0          | 20        
104   | 640,636.91      | 0          | 20        
105   | 640,246.97      | 0          | 20        
106   | 639,773.43      | 0          | 20        
