col_id,emp_id,emp_type,cost,schedule_pattern
0,4,TypeB,32800,000000000000111110000000000000000011111000000000000000000111111100000000000000000000000000000000000001111111100000000000000000000000000000000000000000000111111000000000
1,5,TypeB,32800,000000000000111110000000000000000011111000000000000000000111111100000000000000000000000000000000000001111111100000000000000000000000000000000000000000000111111000000000
2,6,TypeC,23200,000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000001111000000000000000000000000000001111110000000000111100000000001110
3,7,TypeC,23200,000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000001111000000000000000000000000000001111110000000000111100000000001110
4,8,TypeC,23200,000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000001111000000000000000000000000000001111110000000000111100000000001110
5,9,TypeC,23200,000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000001111000000000000000000000000000001111110000000000111100000000001110
6,0,TypeA,45800,000000000000111111110000000000000000000000000000000000000111111111000000000000000000000000000000000000011111111110000000000000001111111110000000000000000000011111111000
7,1,TypeA,45800,000000000000111111110000000000000000000000000000000000000111111111000000000000000000000000000000000000011111111110000000000000001111111110000000000000000000011111111000
8,2,TypeB,27500,000000001111111000000000000000000000000000000000000000111110000000000000000000000000011110000000000000000000000011111000000000000000111110000000000000000000000000000000
9,3,TypeB,27500,000000001111111000000000000000000000000000000000000000111110000000000000000000000000011110000000000000000000000011111000000000000000111110000000000000000000000000000000
10,4,TypeB,27500,000000001111111000000000000000000000000000000000000000111110000000000000000000000000011110000000000000000000000011111000000000000000111110000000000000000000000000000000
11,5,TypeB,27500,000000001111111000000000000000000000000000000000000000111110000000000000000000000000011110000000000000000000000011111000000000000000111110000000000000000000000000000000
12,6,TypeC,18800,000000111000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000111110000000000000000000000000111000
13,7,TypeC,18800,000000111000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000111110000000000000000000000000111000
14,8,TypeC,18800,000000111000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000111110000000000000000000000000111000
15,9,TypeC,18800,000000111000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000111110000000000000000000000000111000
16,0,TypeA,47700,000000000000000000000000000000000011111111110000000000000000000000000000000000111111111000000000000000001111111110000000000000001111111110000000000000111111110000000000
17,1,TypeA,47700,000000000000000000000000000000000011111111110000000000000000000000000000000000111111111000000000000000001111111110000000000000001111111110000000000000111111110000000000
18,2,TypeB,32000,000111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000001111111100000000000000000000000000000000000000000000000000000000000
19,3,TypeB,32000,000111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000001111111100000000000000000000000000000000000000000000000000000000000
20,4,TypeB,32000,000111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000001111111100000000000000000000000000000000000000000000000000000000000
21,5,TypeB,32000,000111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000001111111100000000000000000000000000000000000000000000000000000000000
22,6,TypeC,21200,000111111000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000001111000000000000000000000000000000011110000000000000000011100000000
23,7,TypeC,21200,000111111000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000001111000000000000000000000000000000011110000000000000000011100000000
24,8,TypeC,21200,000111111000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000001111000000000000000000000000000000011110000000000000000011100000000
25,9,TypeC,21200,000111111000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000001111000000000000000000000000000000011110000000000000000011100000000
26,0,TypeA,46500,000000000000000000000000000000011111111110000000000000000000000000000000000000000011111111100000000000001111111110000000000000000011111111100000000000011111111000000000
27,1,TypeA,46500,000000000000000000000000000000011111111110000000000000000000000000000000000000000011111111100000000000001111111110000000000000000011111111100000000000011111111000000000
28,2,TypeB,30100,000000000000000000000000000000011110000000000000000000000000011111110000000000000011111000000000000000000000111110000000000000000000111111100000000000000000000000000000
29,3,TypeB,30100,000000000000000000000000000000011110000000000000000000000000011111110000000000000011111000000000000000000000111110000000000000000000111111100000000000000000000000000000
30,4,TypeB,30100,000000000000000000000000000000011110000000000000000000000000011111110000000000000011111000000000000000000000111110000000000000000000111111100000000000000000000000000000
31,5,TypeB,30100,000000000000000000000000000000011110000000000000000000000000011111110000000000000011111000000000000000000000111110000000000000000000111111100000000000000000000000000000
32,6,TypeC,21400,000000000000000000000000000000011110000000000000000000111100000000000000000000000000000000000000000000000000000011111000000000000000000011100000000000000000011100000000
33,7,TypeC,21400,000000000000000000000000000000011110000000000000000000111100000000000000000000000000000000000000000000000000000011111000000000000000000011100000000000000000011100000000
34,8,TypeC,21400,000000000000000000000000000000011110000000000000000000111100000000000000000000000000000000000000000000000000000011111000000000000000000011100000000000000000011100000000
35,9,TypeC,21400,000000000000000000000000000000011110000000000000000000111100000000000000000000000000000000000000000000000000000011111000000000000000000011100000000000000000011100000000
36,0,TypeA,46500,000000000000000000000000000000001111111110000000000000000000000000000000000000000011111111100000000000001111111110000000000000000011111111110000000000011111111000000000
37,1,TypeA,46500,000000000000000000000000000000001111111110000000000000000000000000000000000000000011111111100000000000001111111110000000000000000011111111110000000000011111111000000000
38,2,TypeB,32000,000000000000011111110000000000001111111000000000000000111110000000000000000000111111110000000000000000000000111110000000000000000000000000000000000000000000000000000000
39,3,TypeB,32000,000000000000011111110000000000001111111000000000000000111110000000000000000000111111110000000000000000000000111110000000000000000000000000000000000000000000000000000000
40,4,TypeB,32000,000000000000011111110000000000001111111000000000000000111110000000000000000000111111110000000000000000000000111110000000000000000000000000000000000000000000000000000000
41,5,TypeB,32000,000000000000011111110000000000001111111000000000000000111110000000000000000000111111110000000000000000000000111110000000000000000000000000000000000000000000000000000000
42,6,TypeC,19900,000000000000000000000000000000001110000000000000000000111100000000000000000000000000000000000000000000000000000000000000011111000000000000000000001110000000000000011110
43,7,TypeC,19900,000000000000000000000000000000001110000000000000000000111100000000000000000000000000000000000000000000000000000000000000011111000000000000000000001110000000000000011110
44,8,TypeC,19900,000000000000000000000000000000001110000000000000000000111100000000000000000000000000000000000000000000000000000000000000011111000000000000000000001110000000000000011110
45,9,TypeC,19900,000000000000000000000000000000001110000000000000000000111100000000000000000000000000000000000000000000000000000000000000011111000000000000000000001110000000000000011110
46,0,TypeA,44500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111111100000000000011111111110000000000000000111111110000000000000011111111000000000
47,1,TypeA,44500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111111100000000000011111111110000000000000000111111110000000000000011111111000000000
48,2,TypeB,38500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111000000000000000011111100000000000000000000111111110000000000000011111110000000000
49,3,TypeB,38500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111000000000000000011111100000000000000000000111111110000000000000011111110000000000
50,4,TypeB,38500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111000000000000000011111100000000000000000000111111110000000000000011111110000000000
51,5,TypeB,38500,000000000000000000000000000000000000000000000000000000000000111111110000000000000011111000000000000000011111100000000000000000000111111110000000000000011111110000000000
52,6,TypeC,23400,000000000000000000000000000000000000000000000000000000000000000001110000000000000000111000000000000000011111100000000000011111100000000000000000000000011100000000000000
53,7,TypeC,23400,000000000000000000000000000000000000000000000000000000000000000001110000000000000000111000000000000000011111100000000000011111100000000000000000000000011100000000000000
54,8,TypeC,23400,000000000000000000000000000000000000000000000000000000000000000001110000000000000000111000000000000000011111100000000000011111100000000000000000000000011100000000000000
55,9,TypeC,23400,000000000000000000000000000000000000000000000000000000000000000001110000000000000000111000000000000000011111100000000000011111100000000000000000000000011100000000000000
56,0,TypeA,45900,000000000001111111110000000000000000000000000000000000000011111111110000000000001111111110000000000000000000000000000000000000000011111111100000000000000111111110000000
57,1,TypeA,45900,000000000001111111110000000000000000000000000000000000000011111111110000000000001111111110000000000000000000000000000000000000000011111111100000000000000111111110000000
58,2,TypeB,38800,000000000000111111110000000000000000000000000000000000111111110000000000000000001111111000000000000001111111100000000000000000000000000000000000000000000111111000000000
