col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
0,0,TypeA,45400.0,000000000000000000000000000000111111111100000000000000000000000000000000000000011111111000000000000000000000111111110000000000011111111000000000000000000111111111000000,1,1,1,0
1,1,TypeA,47900.0,000000000111111111100000000000000000000000000000000000001111111110000000000000000000000000000000000000000011111111110000000000000000111111110000000000000111111111100000,1,1,1,0
2,2,TypeB,31000.0,000000000000111110000000000000000011111110000000000000000000011111110000000000000000011110000000000000001111111100000000000000000000000000000000000000000000000000000000,1,1,1,0
3,3,TypeB,29000.0,000000000000000111111110000000000011111100000000000000011110000000000000000000000000011110000000000000011111110000000000000000000000000000000000000000000000000000000000,1,1,1,0
4,4,TypeB,37800.0,000000111111110000000000000001111110000000000000000000000000000000000000000000111111110000000000011111111000000000000000000000001111110000000000000000000000000000000000,1,1,1,0
5,5,TypeB,31200.0,000000001111110000000000000000000000000000000000000000001111111100000000000000000000011111100000000001111110000000000000000000000000011110000000000000000000000000000000,1,1,1,0
6,6,TypeC,22800.0,000000000000000000000000000000000000000000000000000001111100000000000000000000111000000000000000000000000000000000000000000000000000011111000000000000111100000000001111,1,1,1,0
7,7,TypeC,20300.0,000001111000000000000000000000000000000000000001110000000000000000000000000000000000000000111000000000000000000000000000000001111100000000000000000111110000000000000000,1,1,1,0
8,8,TypeC,27100.0,011111100000000000000000000000000000000000111100000000000000000000000001110000000000000000000000000000000000000000000000000000001111110000000000000001111110000000000000,1,1,1,0
9,9,TypeC,18900.0,000000000000000000000000001111100000000000000000000000000000000001110000000000000000000000000000000000000000000000000000111100000000000000000111000000000000111000000000,1,1,1,0
