==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 3
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 4,693,700.00
  RMP Relaxed Value (Root): 664,364.60
  Integrality Gap       : 606.4946 %
  MIP Best Bound (Final)  : 664,364.60
  Final MIP Gap           : 606.4946 %
  Execution Time  : 990.8255 sec
  Iterations      : 249
  RMP Time  : 728.3754 s
  MIP Time  : 30.7236 s
  Pool Search Time: 52.1294 s
  Graph Search Time: 178.6718 s
  MIP Decision Variables: 1507 (Columns used in Final MIP)
  MIP Filtered Columns  : 6029 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 7536
  Pool Hits (Reused from History)   : 3248
  Graph Gen (Newly Created)         : 3556
  Pool Hit Rate                     : 47.7%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  359 / Total Gen: 1436
       -> Avg Length of Unique Patterns: 45.6 hours
  Type: TypeB  | Unique Patterns:  376 / Total Gen: 3008
       -> Avg Length of Unique Patterns: 33.6 hours
  Type: TypeC  | Unique Patterns:  384 / Total Gen: 3072
       -> Avg Length of Unique Patterns: 22.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeA): 49 hours worked
  Emp 2  (TypeA): 48 hours worked
  Emp 3  (TypeA): 47 hours worked
  Emp 4  (TypeB): 35 hours worked
  Emp 5  (TypeB): 38 hours worked
  Emp 6  (TypeB): 30 hours worked
  Emp 7  (TypeB): 37 hours worked
  Emp 8  (TypeB): 39 hours worked
  Emp 9  (TypeB): 37 hours worked
  Emp 10 (TypeB): 31 hours worked
  Emp 11 (TypeB): 32 hours worked
  Emp 12 (TypeC): 22 hours worked
  Emp 13 (TypeC): 21 hours worked
  Emp 14 (TypeC): 24 hours worked
  Emp 15 (TypeC): 25 hours worked
  Emp 16 (TypeC): 26 hours worked
  Emp 17 (TypeC): 24 hours worked
  Emp 18 (TypeC): 27 hours worked
  Emp 19 (TypeC): 21 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 573,048,000.00  | 60         | 0         
2     | 144,787,500.00  | 60         | 0         
3     | 61,759,800.00   | 60         | 0         
4     | 31,393,984.31   | 60         | 0         
5     | 25,403,929.17   | 60         | 0         
6     | 17,506,336.18   | 60         | 0         
7     | 12,611,421.25   | 60         | 0         
8     | 9,638,515.52    | 60         | 0         
9     | 7,901,515.81    | 60         | 0         
10    | 5,606,810.82    | 60         | 0         
11    | 5,041,515.36    | 60         | 0         
12    | 4,251,209.06    | 60         | 0         
13    | 3,994,894.81    | 60         | 0         
14    | 3,863,591.25    | 56         | 0         
15    | 3,820,633.46    | 0          | 20        
16    | 2,049,397.36    | 60         | 0         
17    | 1,633,958.04    | 60         | 0         
18    | 1,461,271.85    | 56         | 0         
19    | 1,317,395.47    | 56         | 0         
20    | 1,238,521.54    | 8          | 12        
21    | 750,606.38      | 60         | 0         
22    | 746,773.69      | 60         | 0         
23    | 745,506.48      | 44         | 0         
24    | 744,625.41      | 44         | 0         
25    | 744,560.33      | 0          | 20        
26    | 732,768.53      | 60         | 0         
27    | 729,506.42      | 60         | 0         
28    | 728,175.00      | 60         | 0         
29    | 727,502.00      | 52         | 0         
30    | 727,299.57      | 36         | 0         
31    | 727,185.30      | 44         | 0         
32    | 727,181.71      | 0          | 20        
33    | 720,205.44      | 60         | 0         
34    | 718,444.52      | 60         | 0         
35    | 717,852.10      | 52         | 0         
36    | 717,662.00      | 48         | 0         
37    | 717,625.75      | 8          | 12        
38    | 713,382.77      | 60         | 0         
39    | 712,361.75      | 56         | 0         
40    | 712,049.62      | 48         | 4         
41    | 709,954.42      | 56         | 0         
42    | 709,635.52      | 52         | 0         
43    | 709,558.83      | 8          | 12        
44    | 707,083.75      | 52         | 0         
45    | 706,613.94      | 32         | 4         
46    | 705,525.82      | 8          | 12        
47    | 704,746.47      | 16         | 12        
48    | 703,038.10      | 60         | 0         
49    | 702,871.66      | 40         | 4         
50    | 702,073.57      | 28         | 0         
51    | 702,052.09      | 8          | 12        
52    | 698,967.09      | 40         | 4         
53    | 697,881.31      | 48         | 4         
54    | 696,806.86      | 32         | 4         
55    | 696,467.08      | 32         | 4         
56    | 696,303.14      | 16         | 12        
57    | 694,330.32      | 48         | 4         
58    | 694,150.08      | 16         | 8         
59    | 693,550.09      | 36         | 0         
60    | 693,487.22      | 12         | 8         
61    | 693,004.76      | 52         | 0         
62    | 692,852.65      | 0          | 20        
63    | 691,672.46      | 32         | 0         
