==========================================================
 ANALYSIS REPORT: Week 6
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 3
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 10,695,700.00
  RMP Relaxed Value (Root): 656,800.00
  Integrality Gap       : 1528.4562 %
  MIP Best Bound (Final)  : 3,918,267.13
  Final MIP Gap           : 172.9702 %
  Execution Time  : 1677.2413 sec
  Iterations      : 342
  RMP Time  : 1317.9510 s
  MIP Time  : 30.8463 s
  Pool Search Time: 78.2198 s
  Graph Search Time: 247.4076 s
  MIP Decision Variables: 1757 (Columns used in Final MIP)
  MIP Filtered Columns  : 7031 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 8788
  Pool Hits (Reused from History)   : 3644
  Graph Gen (Newly Created)         : 5104
  Pool Hit Rate                     : 41.7%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  390 / Total Gen: 1560
       -> Avg Length of Unique Patterns: 45.6 hours
  Type: TypeB  | Unique Patterns:  443 / Total Gen: 3544
       -> Avg Length of Unique Patterns: 34.1 hours
  Type: TypeC  | Unique Patterns:  458 / Total Gen: 3664
       -> Avg Length of Unique Patterns: 23.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeA): 46 hours worked
  Emp 2  (TypeA): 47 hours worked
  Emp 3  (TypeA): 44 hours worked
  Emp 4  (TypeB): 37 hours worked
  Emp 5  (TypeB): 37 hours worked
  Emp 6  (TypeB): 38 hours worked
  Emp 7  (TypeB): 36 hours worked
  Emp 8  (TypeB): 34 hours worked
  Emp 9  (TypeB): 36 hours worked
  Emp 10 (TypeB): 38 hours worked
  Emp 11 (TypeB): 39 hours worked
  Emp 12 (TypeC): 24 hours worked
  Emp 13 (TypeC): 26 hours worked
  Emp 14 (TypeC): 21 hours worked
  Emp 15 (TypeC): 26 hours worked
  Emp 16 (TypeC): 26 hours worked
  Emp 17 (TypeC): 27 hours worked
  Emp 18 (TypeC): 19 hours worked
  Emp 19 (TypeC): 21 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 565,052,000.00  | 60         | 0         
2     | 128,767,400.00  | 60         | 0         
3     | 48,559,550.00   | 60         | 0         
4     | 32,424,275.00   | 60         | 0         
5     | 20,753,599.50   | 60         | 0         
6     | 13,294,080.32   | 60         | 0         
7     | 10,010,538.94   | 60         | 0         
8     | 7,385,668.05    | 60         | 0         
9     | 5,233,192.64    | 60         | 0         
10    | 4,452,325.83    | 60         | 0         
11    | 3,821,902.44    | 60         | 0         
12    | 2,737,008.59    | 60         | 0         
13    | 2,135,859.28    | 60         | 0         
14    | 1,769,894.40    | 60         | 0         
15    | 1,722,353.10    | 60         | 0         
16    | 1,586,303.93    | 60         | 0         
17    | 1,560,086.79    | 60         | 0         
18    | 1,524,687.59    | 60         | 0         
19    | 1,486,886.81    | 8          | 12        
20    | 742,639.73      | 60         | 0         
21    | 731,983.95      | 60         | 0         
22    | 730,407.04      | 60         | 0         
23    | 728,846.31      | 60         | 0         
24    | 727,184.68      | 48         | 4         
25    | 722,968.06      | 60         | 0         
26    | 721,956.77      | 60         | 0         
27    | 721,627.60      | 44         | 0         
28    | 721,492.80      | 24         | 12        
29    | 711,455.21      | 60         | 0         
30    | 709,664.12      | 60         | 0         
31    | 709,221.35      | 56         | 0         
32    | 708,977.87      | 40         | 4         
33    | 707,658.03      | 32         | 4         
34    | 706,385.00      | 48         | 4         
35    | 703,751.52      | 48         | 4         
36    | 703,323.28      | 48         | 4         
37    | 702,268.45      | 32         | 4         
38    | 701,373.20      | 8          | 12        
39    | 697,985.83      | 56         | 0         
40    | 697,289.15      | 32         | 4         
41    | 696,809.86      | 44         | 0         
42    | 696,739.63      | 40         | 4         
43    | 696,438.59      | 40         | 4         
44    | 696,327.42      | 0          | 20        
45    | 689,781.59      | 60         | 0         
46    | 689,072.95      | 60         | 0         
47    | 688,901.53      | 56         | 0         
48    | 688,879.82      | 32         | 4         
49    | 688,283.77      | 48         | 4         
50    | 687,617.15      | 16         | 4         
51    | 687,002.53      | 16         | 8         
52    | 686,555.31      | 52         | 0         
53    | 686,382.35      | 8          | 12        
54    | 685,601.25      | 60         | 0         
55    | 685,449.40      | 40         | 4         
56    | 685,149.80      | 36         | 0         
57    | 685,146.91      | 8          | 12        
58    | 684,378.62      | 32         | 4         
59    | 684,252.32      | 28         | 8         
60    | 684,065.87      | 16         | 4         
