==========================================================
 ANALYSIS REPORT: Week 13
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 6,728,800.00
  RMP Relaxed Value (LP): 695,301.15
  Integrality Gap       : 867.7533 %
  Execution Time  : 3656.6709 sec
  Iterations      : 55
  RMP Time  : 40.8298 s
  MIP Time  : 3600.6402 s
  Pool Search Time: 12.6618 s
  Graph Search Time: 2.3375 s
  MIP Decision Variables: 868 (Columns used in Final MIP)
  MIP Filtered Columns  : 1212 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 8340
  Pool Hits (Reused from History)   : 1980
  Graph Gen (Newly Created)         : 60
  Pool Hit Rate                     : 97.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  416 / Total Gen: 1664
       -> Avg Length of Unique Patterns: 45.4 hours
  Type: TypeB  | Unique Patterns:  416 / Total Gen: 3328
       -> Avg Length of Unique Patterns: 33.5 hours
  Type: TypeC  | Unique Patterns:  416 / Total Gen: 3328
       -> Avg Length of Unique Patterns: 22.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeA): 48 hours worked
  Emp 2  (TypeA): 45 hours worked
  Emp 3  (TypeA): 46 hours worked
  Emp 4  (TypeB): 36 hours worked
  Emp 5  (TypeB): 36 hours worked
  Emp 6  (TypeB): 39 hours worked
  Emp 7  (TypeB): 38 hours worked
  Emp 8  (TypeB): 39 hours worked
  Emp 9  (TypeB): 35 hours worked
  Emp 10 (TypeB): 40 hours worked
  Emp 11 (TypeB): 32 hours worked
  Emp 12 (TypeC): 27 hours worked
  Emp 13 (TypeC): 25 hours worked
  Emp 14 (TypeC): 28 hours worked
  Emp 15 (TypeC): 19 hours worked
  Emp 16 (TypeC): 23 hours worked
  Emp 17 (TypeC): 28 hours worked
  Emp 18 (TypeC): 26 hours worked
  Emp 19 (TypeC): 30 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 558,052,000.00  | 40         | 0         
2     | 376,238,600.00  | 40         | 0         
3     | 153,564,400.00  | 40         | 0         
4     | 65,506,354.72   | 40         | 0         
5     | 34,424,233.38   | 40         | 0         
6     | 19,314,635.00   | 40         | 0         
7     | 15,378,965.55   | 40         | 0         
8     | 12,200,991.23   | 40         | 0         
9     | 7,986,115.27    | 40         | 0         
10    | 6,187,191.17    | 40         | 0         
11    | 4,736,919.86    | 40         | 0         
12    | 3,180,487.35    | 40         | 0         
13    | 2,456,176.42    | 40         | 0         
14    | 1,849,609.66    | 40         | 0         
15    | 1,513,873.15    | 40         | 0         
16    | 916,819.35      | 40         | 0         
17    | 759,679.01      | 40         | 0         
18    | 754,878.69      | 40         | 0         
19    | 749,354.97      | 40         | 0         
20    | 747,208.17      | 40         | 0         
21    | 744,155.82      | 40         | 0         
22    | 741,402.04      | 40         | 0         
23    | 739,898.67      | 40         | 0         
24    | 734,814.14      | 40         | 0         
25    | 731,570.21      | 40         | 0         
26    | 728,618.01      | 40         | 0         
27    | 727,010.94      | 40         | 0         
28    | 726,491.02      | 40         | 0         
29    | 725,360.22      | 40         | 0         
30    | 724,127.08      | 40         | 0         
31    | 723,517.09      | 40         | 0         
32    | 722,523.16      | 40         | 0         
33    | 721,610.96      | 40         | 0         
34    | 720,869.26      | 28         | 0         
35    | 720,780.35      | 40         | 0         
36    | 720,691.74      | 12         | 0         
37    | 720,691.14      | 4          | 20        
38    | 708,466.91      | 40         | 0         
39    | 706,118.83      | 40         | 0         
40    | 705,279.62      | 40         | 0         
41    | 704,706.55      | 40         | 0         
42    | 704,344.11      | 40         | 0         
43    | 703,957.64      | 40         | 0         
44    | 703,678.22      | 40         | 0         
45    | 703,333.43      | 40         | 0         
46    | 703,217.35      | 24         | 0         
47    | 703,168.58      | 12         | 0         
48    | 703,168.25      | 4          | 20        
49    | 696,478.70      | 40         | 0         
50    | 696,119.04      | 40         | 0         
51    | 695,642.04      | 40         | 0         
52    | 695,380.13      | 40         | 0         
53    | 695,335.91      | 24         | 0         
54    | 695,303.34      | 32         | 0         
55    | 695,301.15      | 0          | 20        
