==========================================================
 ANALYSIS REPORT: Week 18
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 7,729,100.00
  RMP Relaxed Value (LP): 691,289.75
  Integrality Gap       : 1018.0695 %
  Execution Time  : 3698.5791 sec
  Iterations      : 74
  RMP Time  : 73.2776 s
  MIP Time  : 3600.6729 s
  Pool Search Time: 18.1070 s
  Graph Search Time: 6.2826 s
  MIP Decision Variables: 964 (Columns used in Final MIP)
  MIP Filtered Columns  : 1624 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 8600
  Pool Hits (Reused from History)   : 2408
  Graph Gen (Newly Created)         : 140
  Pool Hit Rate                     : 94.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  429 / Total Gen: 1716
       -> Avg Length of Unique Patterns: 45.4 hours
  Type: TypeB  | Unique Patterns:  429 / Total Gen: 3432
       -> Avg Length of Unique Patterns: 33.5 hours
  Type: TypeC  | Unique Patterns:  429 / Total Gen: 3432
       -> Avg Length of Unique Patterns: 23.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeA): 45 hours worked
  Emp 2  (TypeA): 46 hours worked
  Emp 3  (TypeA): 47 hours worked
  Emp 4  (TypeB): 37 hours worked
  Emp 5  (TypeB): 38 hours worked
  Emp 6  (TypeB): 40 hours worked
  Emp 7  (TypeB): 39 hours worked
  Emp 8  (TypeB): 37 hours worked
  Emp 9  (TypeB): 36 hours worked
  Emp 10 (TypeB): 37 hours worked
  Emp 11 (TypeB): 38 hours worked
  Emp 12 (TypeC): 23 hours worked
  Emp 13 (TypeC): 25 hours worked
  Emp 14 (TypeC): 29 hours worked
  Emp 15 (TypeC): 23 hours worked
  Emp 16 (TypeC): 27 hours worked
  Emp 17 (TypeC): 24 hours worked
  Emp 18 (TypeC): 26 hours worked
  Emp 19 (TypeC): 26 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 574,048,000.00  | 40         | 0         
2     | 391,243,900.00  | 40         | 0         
3     | 165,574,300.00  | 40         | 0         
4     | 83,778,500.00   | 40         | 0         
5     | 58,672,890.88   | 40         | 0         
6     | 30,528,204.57   | 40         | 0         
7     | 22,691,391.71   | 40         | 0         
8     | 15,099,966.37   | 40         | 0         
9     | 9,571,845.94    | 40         | 0         
10    | 6,738,711.02    | 40         | 0         
11    | 4,050,733.60    | 40         | 0         
12    | 3,023,636.63    | 40         | 0         
13    | 2,079,062.20    | 40         | 0         
14    | 1,319,492.52    | 40         | 0         
15    | 990,318.69      | 40         | 0         
16    | 777,297.66      | 40         | 0         
17    | 765,460.85      | 40         | 0         
18    | 760,974.12      | 40         | 0         
19    | 756,399.91      | 40         | 0         
20    | 746,710.57      | 40         | 0         
21    | 741,809.74      | 40         | 0         
22    | 738,251.12      | 40         | 0         
23    | 736,389.60      | 40         | 0         
24    | 735,494.45      | 40         | 0         
25    | 733,142.20      | 40         | 0         
26    | 731,675.87      | 40         | 0         
27    | 730,184.69      | 40         | 0         
28    | 729,139.54      | 40         | 0         
29    | 728,385.44      | 40         | 0         
30    | 727,491.71      | 40         | 0         
31    | 726,253.43      | 40         | 0         
32    | 725,718.77      | 40         | 0         
33    | 725,281.91      | 40         | 0         
34    | 725,120.13      | 40         | 0         
35    | 724,808.40      | 40         | 0         
36    | 724,597.49      | 32         | 0         
37    | 724,525.04      | 24         | 0         
38    | 724,524.98      | 4          | 20        
39    | 715,218.47      | 40         | 0         
40    | 714,234.12      | 40         | 0         
41    | 713,791.35      | 40         | 0         
42    | 713,091.41      | 40         | 0         
43    | 712,921.52      | 40         | 0         
44    | 712,720.86      | 40         | 0         
45    | 712,690.70      | 4          | 20        
46    | 708,180.93      | 40         | 0         
47    | 707,770.11      | 40         | 0         
48    | 707,465.23      | 40         | 0         
49    | 707,324.94      | 40         | 0         
50    | 707,218.45      | 40         | 0         
51    | 707,138.96      | 20         | 0         
52    | 707,129.39      | 4          | 20        
53    | 702,694.11      | 40         | 0         
54    | 702,112.06      | 40         | 0         
55    | 702,041.78      | 36         | 0         
56    | 702,028.87      | 0          | 20        
57    | 699,143.38      | 40         | 0         
58    | 698,841.04      | 8          | 0         
59    | 698,838.82      | 8          | 0         
60    | 698,838.82      | 0          | 20        
61    | 695,989.39      | 40         | 0         
62    | 695,759.99      | 40         | 0         
63    | 695,681.56      | 12         | 0         
64    | 695,680.31      | 12         | 0         
65    | 695,680.31      | 0          | 20        
66    | 693,506.72      | 40         | 0         
67    | 693,329.80      | 16         | 0         
68    | 693,308.41      | 24         | 0         
69    | 693,308.36      | 0          | 20        
70    | 691,738.02      | 40         | 0         
71    | 691,331.02      | 40         | 0         
72    | 691,292.31      | 24         | 0         
73    | 691,290.63      | 8          | 0         
74    | 691,289.75      | 12         | 0         
