==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,659,900.00
  RMP Relaxed Value (Root): 631,568.35
  Integrality Gap       : 796.1659 %
  MIP Best Bound (Final)  : 636,995.09
  Final MIP Gap           : 788.5312 %
  Execution Time  : 3894.9629 sec
  Iterations      : 158
  RMP Time  : 181.0409 s
  MIP Time  : 3600.6601 s
  Pool Search Time: 3.5541 s
  Graph Search Time: 109.2483 s
  MIP Decision Variables: 1044 (Columns used in Final MIP)
  MIP Filtered Columns  : 2384 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3520
  Pool Hits (Reused from History)   : 908
  Graph Gen (Newly Created)         : 2480
  Pool Hit Rate                     : 26.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  175 / Total Gen:  700
       -> Avg Length of Unique Patterns: 45.2 hours
  Type: TypeB  | Unique Patterns:  175 / Total Gen: 1400
       -> Avg Length of Unique Patterns: 32.5 hours
  Type: TypeC  | Unique Patterns:  175 / Total Gen: 1400
       -> Avg Length of Unique Patterns: 21.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeA): 45 hours worked
  Emp 2  (TypeA): 47 hours worked
  Emp 3  (TypeA): 46 hours worked
  Emp 4  (TypeB): 38 hours worked
  Emp 5  (TypeB): 34 hours worked
  Emp 6  (TypeB): 37 hours worked
  Emp 7  (TypeB): 31 hours worked
  Emp 8  (TypeB): 32 hours worked
  Emp 9  (TypeB): 27 hours worked
  Emp 10 (TypeB): 33 hours worked
  Emp 11 (TypeB): 37 hours worked
  Emp 12 (TypeC): 24 hours worked
  Emp 13 (TypeC): 20 hours worked
  Emp 14 (TypeC): 25 hours worked
  Emp 15 (TypeC): 18 hours worked
  Emp 16 (TypeC): 25 hours worked
  Emp 17 (TypeC): 22 hours worked
  Emp 18 (TypeC): 21 hours worked
  Emp 19 (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 534,052,000.00  | 40         | 0         
2     | 356,234,000.00  | 40         | 0         
3     | 143,551,566.83  | 40         | 0         
4     | 91,479,649.98   | 40         | 0         
5     | 61,209,800.00   | 40         | 0         
6     | 43,219,400.00   | 40         | 0         
7     | 35,598,599.85   | 40         | 0         
8     | 33,120,213.95   | 40         | 0         
9     | 31,044,006.68   | 40         | 0         
10    | 29,648,012.91   | 40         | 0         
11    | 28,771,997.10   | 40         | 0         
12    | 28,667,590.94   | 0          | 20        
13    | 17,409,041.61   | 36         | 0         
14    | 16,884,131.73   | 4          | 20        
15    | 8,664,047.28    | 36         | 0         
16    | 8,532,826.40    | 12         | 0         
17    | 8,456,969.88    | 0          | 20        
18    | 4,128,521.79    | 24         | 0         
19    | 4,031,823.43    | 4          | 20        
20    | 2,289,416.57    | 40         | 0         
21    | 2,063,269.89    | 8          | 0         
22    | 2,053,839.10    | 8          | 0         
23    | 2,053,552.90    | 0          | 20        
24    | 740,982.47      | 24         | 0         
25    | 740,586.03      | 0          | 20        
26    | 727,341.29      | 28         | 0         
27    | 726,506.55      | 0          | 20        
28    | 719,023.24      | 32         | 0         
29    | 718,938.18      | 0          | 20        
30    | 710,442.20      | 4          | 20        
31    | 706,929.45      | 16         | 0         
32    | 706,450.21      | 8          | 0         
33    | 706,449.99      | 0          | 20        
34    | 699,681.53      | 24         | 0         
35    | 699,342.40      | 0          | 20        
36    | 695,856.63      | 28         | 0         
37    | 695,762.65      | 0          | 20        
38    | 692,972.58      | 16         | 0         
39    | 692,791.16      | 8          | 0         
40    | 692,782.30      | 0          | 20        
41    | 690,648.19      | 8          | 0         
42    | 690,599.37      | 0          | 20        
43    | 689,111.76      | 0          | 20        
44    | 687,118.15      | 4          | 20        
45    | 684,584.79      | 0          | 20        
46    | 682,687.46      | 8          | 0         
47    | 682,172.85      | 0          | 20        
48    | 681,179.35      | 4          | 20        
49    | 680,886.96      | 4          | 20        
50    | 679,311.29      | 0          | 20        
51    | 676,493.14      | 0          | 20        
52    | 674,032.53      | 0          | 20        
53    | 672,704.48      | 16         | 0         
54    | 672,651.92      | 0          | 20        
