col_id,emp_id,emp_type,cost,schedule_pattern
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,1,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,1,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,2,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,3,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,3,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,4,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,4,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,5,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,5,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,6,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,6,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,7,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,7,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,8,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,8,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,9,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,9,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,10,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,10,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,11,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,11,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,12,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25,12,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,13,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,13,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28,14,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
29,14,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,15,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31,15,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
32,16,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,16,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
34,17,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35,17,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,18,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37,18,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
38,19,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
39,19,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40,0,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
41,1,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
42,2,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
43,3,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
44,4,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
45,5,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
46,6,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
47,7,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
48,8,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
49,9,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
50,10,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
51,11,TypeB,40000,001111111100000000000000000000000000000011111111000000000000000001111111100000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000
52,12,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
53,13,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
54,14,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
55,15,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
56,16,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
57,17,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
58,18,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
59,19,TypeC,30000,000000000000000000000000001111110000000000111111000000000000000000000000000111111000000000000000000111111000000000000000000000000000000000000000000000000000000001111110
60,0,TypeA,51000,000000000000111111111100000000000111111110000000000000111111111100000000000000000000000000000000000000000000000000000000000000011111111110000000000000011111111110000000
61,1,TypeA,51000,000000000000111111111100000000000111111110000000000000111111111100000000000000000000000000000000000000000000000000000000000000011111111110000000000000011111111110000000
62,2,TypeA,51000,000000000000111111111100000000000111111110000000000000111111111100000000000000000000000000000000000000000000000000000000000000011111111110000000000000011111111110000000
63,3,TypeA,51000,000000000000111111111100000000000111111110000000000000111111111100000000000000000000000000000000000000000000000000000000000000011111111110000000000000011111111110000000
64,4,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
65,5,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
66,6,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
67,7,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
68,8,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
69,9,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
70,10,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
71,11,TypeB,43500,000000000000000111111110000000001111111100000000000000001111111100000000000000000000000000000000000000000000000000000000000000000111111110000000000011111110000000000000
72,12,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
73,13,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
74,14,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
75,15,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
76,16,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
77,17,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
78,18,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
79,19,TypeC,33000,000000000000000000111111000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000001111110000000000000000011111100000000000000
80,0,TypeA,51900,000000111111111000000000000000011111111110000000000000000000000000000000000000011111111000000000000000000000000000000011111111000000000001111111111000000000000000000000
81,1,TypeA,51900,000000111111111000000000000000011111111110000000000000000000000000000000000000011111111000000000000000000000000000000011111111000000000001111111111000000000000000000000
82,2,TypeA,51900,000000111111111000000000000000011111111110000000000000000000000000000000000000011111111000000000000000000000000000000011111111000000000001111111111000000000000000000000
83,3,TypeA,51900,000000111111111000000000000000011111111110000000000000000000000000000000000000011111111000000000000000000000000000000011111111000000000001111111111000000000000000000000
84,4,TypeB,38900,000000011111111000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000011111111000000000111110000000
85,5,TypeB,38900,000000011111111000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000011111111000000000111110000000
86,6,TypeB,38900,000000011111111000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000011111111000000000111110000000
87,7,TypeB,38900,000000011111111000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000011111111000000000111110000000
88,8,TypeB,38900,000000011111111000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000011111111000000000111110000000
