==========================================================
 ANALYSIS REPORT: Week 2
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,729,200.00
  RMP Relaxed Value (Root): 683,550.00
  Integrality Gap       : 738.1538 %
  MIP Best Bound (Final)  : 684,493.00
  Final MIP Gap           : 736.9991 %
  Execution Time  : 4933.7513 sec
  Iterations      : 365
  RMP Time  : 1009.8458 s
  MIP Time  : 3604.7870 s
  Pool Search Time: 0.0024 s
  Graph Search Time: 317.4409 s
  MIP Decision Variables: 7216 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 7216
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 7176
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  341 / Total Gen: 1364
       -> Avg Length of Unique Patterns: 45.8 hours
  Type: TypeB  | Unique Patterns:  364 / Total Gen: 2912
       -> Avg Length of Unique Patterns: 34.7 hours
  Type: TypeC  | Unique Patterns:  365 / Total Gen: 2920
       -> Avg Length of Unique Patterns: 23.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 50 hours worked
  Emp 1  (TypeA): 49 hours worked
  Emp 2  (TypeA): 46 hours worked
  Emp 3  (TypeA): 47 hours worked
  Emp 4  (TypeB): 38 hours worked
  Emp 5  (TypeB): 37 hours worked
  Emp 6  (TypeB): 38 hours worked
  Emp 7  (TypeB): 39 hours worked
  Emp 8  (TypeB): 38 hours worked
  Emp 9  (TypeB): 39 hours worked
  Emp 10 (TypeB): 39 hours worked
  Emp 11 (TypeB): 40 hours worked
  Emp 12 (TypeC): 21 hours worked
  Emp 13 (TypeC): 26 hours worked
  Emp 14 (TypeC): 25 hours worked
  Emp 15 (TypeC): 28 hours worked
  Emp 16 (TypeC): 24 hours worked
  Emp 17 (TypeC): 27 hours worked
  Emp 18 (TypeC): 25 hours worked
  Emp 19 (TypeC): 19 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 594,048,000.00  | 0          | 20        
2     | 279,635,800.00  | 0          | 20        
3     | 139,278,350.00  | 0          | 20        
4     | 74,777,900.00   | 0          | 20        
5     | 57,278,649.98   | 0          | 20        
6     | 42,887,266.60   | 0          | 20        
7     | 33,774,600.00   | 0          | 20        
8     | 22,613,016.69   | 0          | 20        
9     | 17,821,349.27   | 0          | 20        
10    | 13,287,346.94   | 0          | 20        
11    | 11,222,448.49   | 0          | 20        
12    | 7,379,971.32    | 0          | 20        
13    | 5,683,717.97    | 0          | 20        
14    | 4,621,500.37    | 0          | 20        
15    | 3,239,132.08    | 0          | 20        
16    | 1,974,611.86    | 0          | 20        
17    | 1,422,818.85    | 0          | 20        
18    | 1,009,874.42    | 0          | 20        
19    | 784,350.12      | 0          | 20        
20    | 781,133.01      | 0          | 20        
21    | 774,854.29      | 0          | 20        
22    | 771,314.42      | 0          | 20        
23    | 767,085.22      | 0          | 20        
24    | 763,153.22      | 0          | 20        
25    | 761,730.30      | 0          | 20        
26    | 758,997.36      | 0          | 20        
27    | 756,730.73      | 0          | 20        
28    | 752,571.81      | 0          | 20        
29    | 750,725.84      | 0          | 20        
30    | 749,037.70      | 0          | 20        
31    | 747,833.90      | 0          | 20        
32    | 746,755.51      | 0          | 20        
33    | 745,367.03      | 0          | 20        
34    | 743,666.14      | 0          | 20        
35    | 741,055.83      | 0          | 20        
36    | 739,412.01      | 0          | 20        
37    | 737,506.22      | 0          | 20        
38    | 735,540.27      | 0          | 20        
39    | 733,598.90      | 0          | 20        
40    | 732,236.97      | 0          | 20        
41    | 730,674.11      | 0          | 20        
42    | 729,759.57      | 0          | 20        
43    | 728,841.78      | 0          | 20        
44    | 728,029.29      | 0          | 20        
45    | 727,085.58      | 0          | 20        
46    | 726,214.91      | 0          | 20        
47    | 725,549.61      | 0          | 20        
48    | 724,408.31      | 0          | 20        
49    | 723,237.76      | 0          | 20        
50    | 722,329.49      | 0          | 20        
51    | 720,748.77      | 0          | 20        
52    | 720,273.71      | 0          | 20        
53    | 719,402.47      | 0          | 20        
54    | 718,645.51      | 0          | 20        
55    | 717,681.23      | 0          | 20        
