==========================================================
 ANALYSIS REPORT: Week 7
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,714,400.00
  RMP Relaxed Value (LP): 654,794.19
  Integrality Gap       : 467.2622 %
  Execution Time  : 3902.3777 sec
  Iterations      : 157
  RMP Time  : 158.9933 s
  MIP Time  : 3600.7503 s
  Pool Search Time: 0.0008 s
  Graph Search Time: 142.2964 s
  MIP Decision Variables: 1192 (Columns used in Final MIP)
  MIP Filtered Columns  : 1988 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3180
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 3140
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  158 / Total Gen:  632
       -> Avg Length of Unique Patterns: 44.9 hours
  Type: TypeB  | Unique Patterns:  158 / Total Gen: 1264
       -> Avg Length of Unique Patterns: 32.0 hours
  Type: TypeC  | Unique Patterns:  158 / Total Gen: 1264
       -> Avg Length of Unique Patterns: 22.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeA): 47 hours worked
  Emp 2  (TypeA): 45 hours worked
  Emp 3  (TypeA): 47 hours worked
  Emp 4  (TypeB): 36 hours worked
  Emp 5  (TypeB): 38 hours worked
  Emp 6  (TypeB): 39 hours worked
  Emp 7  (TypeB): 35 hours worked
  Emp 8  (TypeB): 32 hours worked
  Emp 9  (TypeB): 37 hours worked
  Emp 10 (TypeB): 35 hours worked
  Emp 11 (TypeB): 38 hours worked
  Emp 12 (TypeC): 28 hours worked
  Emp 13 (TypeC): 26 hours worked
  Emp 14 (TypeC): 26 hours worked
  Emp 15 (TypeC): 23 hours worked
  Emp 16 (TypeC): 30 hours worked
  Emp 17 (TypeC): 25 hours worked
  Emp 18 (TypeC): 21 hours worked
  Emp 19 (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 574,048,000.00  | 0          | 20        
2     | 275,553,900.00  | 0          | 20        
3     | 121,796,000.00  | 0          | 20        
4     | 52,287,350.00   | 0          | 20        
5     | 37,784,500.00   | 0          | 20        
6     | 28,273,700.00   | 0          | 20        
7     | 25,607,199.96   | 0          | 20        
8     | 20,270,108.30   | 0          | 20        
9     | 15,152,992.46   | 0          | 20        
10    | 12,660,491.42   | 0          | 20        
11    | 8,336,645.91    | 0          | 20        
12    | 6,363,796.38    | 0          | 20        
13    | 4,637,407.96    | 0          | 20        
14    | 3,624,813.37    | 0          | 20        
15    | 2,219,775.60    | 0          | 20        
16    | 1,935,669.83    | 0          | 20        
17    | 1,393,585.04    | 0          | 20        
18    | 1,200,395.89    | 0          | 20        
19    | 862,085.23      | 0          | 20        
20    | 762,849.04      | 0          | 20        
21    | 755,631.35      | 0          | 20        
22    | 750,610.85      | 0          | 20        
23    | 747,595.87      | 0          | 20        
24    | 743,790.52      | 0          | 20        
25    | 740,974.95      | 0          | 20        
26    | 731,497.72      | 0          | 20        
27    | 728,141.86      | 0          | 20        
28    | 720,514.90      | 0          | 20        
29    | 716,891.67      | 0          | 20        
30    | 716,176.77      | 0          | 20        
31    | 714,761.25      | 0          | 20        
32    | 713,413.89      | 0          | 20        
33    | 712,114.53      | 0          | 20        
34    | 710,561.25      | 0          | 20        
35    | 709,935.51      | 0          | 20        
36    | 708,534.67      | 0          | 20        
37    | 707,550.15      | 0          | 20        
38    | 706,839.90      | 0          | 20        
39    | 705,665.47      | 0          | 20        
40    | 704,809.21      | 0          | 20        
41    | 703,225.38      | 0          | 20        
42    | 701,733.50      | 0          | 20        
43    | 699,108.75      | 0          | 20        
44    | 696,835.30      | 0          | 20        
45    | 695,503.71      | 0          | 20        
46    | 693,760.97      | 0          | 20        
47    | 693,138.85      | 0          | 20        
48    | 691,783.76      | 0          | 20        
49    | 690,621.61      | 0          | 20        
50    | 689,379.24      | 0          | 20        
51    | 688,375.15      | 0          | 20        
52    | 687,660.19      | 0          | 20        
53    | 686,946.54      | 0          | 20        
54    | 686,390.69      | 0          | 20        
55    | 685,808.19      | 0          | 20        
56    | 685,185.89      | 0          | 20        
57    | 684,354.35      | 0          | 20        
58    | 683,349.30      | 0          | 20        
59    | 682,887.55      | 0          | 20        
60    | 682,061.03      | 0          | 20        
61    | 681,489.72      | 0          | 20        
62    | 681,319.83      | 0          | 20        
63    | 681,099.54      | 0          | 20        
64    | 680,993.87      | 0          | 20        
65    | 680,733.47      | 0          | 20        
66    | 679,967.87      | 0          | 20        
67    | 679,655.32      | 0          | 20        
68    | 679,505.56      | 0          | 20        
69    | 679,235.51      | 0          | 20        
70    | 678,498.70      | 0          | 20        
71    | 677,926.37      | 0          | 20        
72    | 677,415.66      | 0          | 20        
73    | 676,399.63      | 0          | 20        
74    | 676,121.80      | 0          | 20        
75    | 675,825.67      | 0          | 20        
76    | 675,488.54      | 0          | 20        
77    | 675,271.26      | 0          | 20        
78    | 674,915.16      | 0          | 20        
79    | 674,652.64      | 0          | 20        
80    | 674,338.32      | 0          | 20        
81    | 674,046.91      | 0          | 20        
82    | 673,277.67      | 0          | 20        
83    | 672,682.29      | 0          | 20        
84    | 672,235.09      | 0          | 20        
85    | 671,740.11      | 0          | 20        
86    | 671,507.06      | 0          | 20        
87    | 671,178.58      | 0          | 20        
88    | 670,729.49      | 0          | 20        
89    | 670,289.06      | 0          | 20        
90    | 670,090.14      | 0          | 20        
91    | 669,797.45      | 0          | 20        
92    | 669,039.75      | 0          | 20        
93    | 668,694.94      | 0          | 20        
94    | 668,410.19      | 0          | 20        
95    | 667,946.96      | 0          | 20        
96    | 667,146.93      | 0          | 20        
97    | 666,634.53      | 0          | 20        
98    | 666,342.40      | 0          | 20        
99    | 666,048.06      | 0          | 20        
100   | 665,737.18      | 0          | 20        
101   | 665,486.98      | 0          | 20        
102   | 665,192.45      | 0          | 20        
103   | 664,971.78      | 0          | 20        
104   | 664,853.16      | 0          | 20        
105   | 664,584.67      | 0          | 20        
106   | 663,858.89      | 0          | 20        
107   | 663,516.32      | 0          | 20        
108   | 662,888.26      | 0          | 20        
109   | 662,589.45      | 0          | 20        
110   | 662,122.51      | 0          | 20        
111   | 661,867.17      | 0          | 20        
112   | 661,750.99      | 0          | 20        
113   | 661,511.13      | 0          | 20        
114   | 661,257.51      | 0          | 20        
115   | 660,802.12      | 0          | 20        
116   | 660,402.15      | 0          | 20        
117   | 660,251.81      | 0          | 20        
118   | 660,055.76      | 0          | 20        
119   | 659,924.54      | 0          | 20        
120   | 659,683.59      | 0          | 20        
121   | 659,582.78      | 0          | 20        
122   | 659,512.62      | 0          | 20        
123   | 659,427.11      | 0          | 20        
124   | 659,321.64      | 0          | 20        
125   | 659,271.66      | 0          | 20        
126   | 659,141.68      | 0          | 20        
127   | 659,083.18      | 0          | 20        
128   | 658,823.16      | 0          | 20        
129   | 658,521.03      | 0          | 20        
130   | 658,325.48      | 0          | 20        
131   | 658,123.52      | 0          | 20        
132   | 657,851.37      | 0          | 20        
133   | 657,655.40      | 0          | 20        
134   | 657,599.60      | 0          | 20        
135   | 657,412.87      | 0          | 20        
136   | 657,291.68      | 0          | 20        
137   | 657,133.57      | 0          | 20        
138   | 657,097.72      | 0          | 20        
139   | 657,044.51      | 0          | 20        
140   | 656,877.75      | 0          | 20        
141   | 656,676.25      | 0          | 20        
142   | 656,567.36      | 0          | 20        
143   | 656,459.53      | 0          | 20        
144   | 656,346.57      | 0          | 20        
145   | 656,270.93      | 0          | 20        
146   | 656,189.53      | 0          | 20        
147   | 655,982.97      | 0          | 20        
148   | 655,838.80      | 0          | 20        
149   | 655,701.78      | 0          | 20        
150   | 655,644.31      | 0          | 20        
151   | 655,560.39      | 0          | 20        
152   | 655,484.44      | 0          | 20        
153   | 655,277.72      | 0          | 20        
154   | 655,214.58      | 0          | 20        
155   | 655,110.38      | 0          | 20        
156   | 654,934.55      | 0          | 20        
157   | 654,794.19      | 0          | 20        
