==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 163,400.00
  RMP Relaxed Value (Root): 154,091.40
  Integrality Gap       : 6.0410 %
  Execution Time  : 276.4185 sec
  Iterations      : 246
  RMP Time  : 152.5613 s
  MIP Time  : 5.7374 s
  Pool Search Time: 71.6477 s
  Graph Search Time: 45.9784 s
  MIP Decision Variables: 1549 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 11024
  Pool Hits (Reused from History)   : 638
  Graph Gen (Newly Created)         : 901
  Pool Hit Rate                     : 41.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 2105 / Total Gen: 2105
       -> Avg Length of Unique Patterns: 46.9 hours
  Type: TypeB  | Unique Patterns: 2210 / Total Gen: 4420
       -> Avg Length of Unique Patterns: 35.9 hours
  Type: TypeC  | Unique Patterns: 2247 / Total Gen: 4494
       -> Avg Length of Unique Patterns: 24.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 33 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 57,059,300.00   | 10         | 0         
3     | 25,138,400.00   | 10         | 0         
4     | 10,442,825.00   | 10         | 0         
5     | 6,568,137.50    | 10         | 0         
6     | 5,571,491.67    | 10         | 0         
7     | 5,039,740.89    | 10         | 0         
8     | 4,396,687.92    | 10         | 0         
9     | 4,203,005.91    | 10         | 0         
10    | 3,966,702.11    | 10         | 0         
11    | 3,755,395.33    | 10         | 0         
12    | 3,427,219.96    | 10         | 0         
13    | 3,298,763.46    | 10         | 0         
14    | 3,196,395.04    | 10         | 0         
15    | 3,107,582.40    | 10         | 0         
16    | 2,977,865.62    | 10         | 0         
17    | 2,933,946.13    | 10         | 0         
18    | 2,809,632.57    | 10         | 0         
19    | 2,702,872.22    | 10         | 0         
20    | 2,630,227.82    | 10         | 0         
21    | 2,604,538.46    | 10         | 0         
22    | 2,589,041.73    | 8          | 0         
23    | 2,587,657.81    | 0          | 5         
24    | 1,859,828.34    | 10         | 0         
25    | 1,662,501.68    | 10         | 0         
26    | 1,621,262.68    | 10         | 0         
27    | 1,544,684.73    | 10         | 0         
28    | 1,503,357.48    | 10         | 0         
29    | 1,496,005.89    | 10         | 0         
30    | 1,496,005.89    | 10         | 0         
31    | 1,495,871.46    | 4          | 5         
32    | 1,075,218.29    | 10         | 0         
33    | 975,181.42      | 10         | 0         
34    | 952,764.97      | 10         | 0         
35    | 935,632.96      | 6          | 0         
36    | 935,629.36      | 0          | 5         
37    | 710,082.22      | 10         | 0         
38    | 660,951.52      | 10         | 0         
39    | 650,573.13      | 10         | 0         
40    | 645,091.38      | 4          | 5         
41    | 426,609.06      | 10         | 0         
