==========================================================
 ANALYSIS REPORT: Week 12
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 4,192,600.00
  RMP Relaxed Value (Root): 2,192,608.33
  Integrality Gap       : 91.2152 %
  Execution Time  : 86.8679 sec
  Iterations      : 120
  RMP Time  : 37.5500 s
  MIP Time  : 4.7409 s
  Pool Search Time: 25.8449 s
  Graph Search Time: 18.5723 s
  MIP Decision Variables: 815 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 9781
  Pool Hits (Reused from History)   : 397
  Graph Gen (Newly Created)         : 408
  Pool Hit Rate                     : 49.3%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 1836 / Total Gen: 1836
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns: 1967 / Total Gen: 3934
       -> Avg Length of Unique Patterns: 36.2 hours
  Type: TypeC  | Unique Patterns: 2003 / Total Gen: 4006
       -> Avg Length of Unique Patterns: 24.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 29 hours worked
  Emp 4  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 114,011,900.00  | 10         | 0         
2     | 80,060,200.00   | 10         | 0         
3     | 40,141,400.00   | 10         | 0         
4     | 21,195,600.00   | 10         | 0         
5     | 18,695,700.00   | 10         | 0         
6     | 16,407,984.17   | 10         | 0         
7     | 15,015,272.73   | 10         | 0         
8     | 13,597,720.00   | 10         | 0         
9     | 12,639,530.29   | 10         | 0         
10    | 11,507,102.59   | 10         | 0         
11    | 10,785,001.54   | 10         | 0         
12    | 10,438,914.97   | 10         | 0         
13    | 10,151,609.81   | 10         | 0         
14    | 10,110,709.38   | 10         | 0         
15    | 9,986,215.91    | 10         | 0         
16    | 9,911,898.20    | 10         | 0         
17    | 9,795,689.70    | 10         | 0         
18    | 9,726,937.19    | 10         | 0         
19    | 9,722,031.06    | 4          | 5         
20    | 7,270,963.50    | 10         | 0         
21    | 6,947,768.08    | 10         | 0         
22    | 6,868,701.27    | 10         | 0         
23    | 6,745,118.21    | 10         | 0         
24    | 6,675,044.43    | 10         | 0         
25    | 6,646,516.31    | 3          | 5         
26    | 5,782,606.39    | 10         | 0         
27    | 5,664,141.57    | 10         | 0         
28    | 5,646,788.86    | 10         | 0         
29    | 5,632,292.50    | 9          | 0         
30    | 5,630,023.34    | 3          | 5         
31    | 5,248,778.39    | 10         | 0         
32    | 5,248,319.89    | 0          | 5         
33    | 4,507,079.01    | 10         | 0         
34    | 4,470,111.26    | 10         | 0         
