==========================================================
 ANALYSIS REPORT: Week 3
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 4,184,800.00
  RMP Relaxed Value (Root): 2,181,825.00
  Integrality Gap       : 91.8027 %
  Execution Time  : 85.6112 sec
  Iterations      : 147
  RMP Time  : 47.8879 s
  MIP Time  : 8.5653 s
  Pool Search Time: 3.6763 s
  Graph Search Time: 25.3351 s
  MIP Decision Variables: 892 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1877
  Pool Hits (Reused from History)   : 269
  Graph Gen (Newly Created)         : 613
  Pool Hit Rate                     : 30.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  366 / Total Gen:  366
       -> Avg Length of Unique Patterns: 47.6 hours
  Type: TypeB  | Unique Patterns:  378 / Total Gen:  756
       -> Avg Length of Unique Patterns: 36.9 hours
  Type: TypeC  | Unique Patterns:  375 / Total Gen:  750
       -> Avg Length of Unique Patterns: 25.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 50 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 35 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 10         | 0         
2     | 82,058,500.00   | 10         | 0         
3     | 42,140,200.00   | 10         | 0         
4     | 21,202,300.00   | 10         | 0         
5     | 16,202,700.00   | 10         | 0         
6     | 14,499,980.00   | 10         | 0         
7     | 12,891,375.39   | 10         | 0         
8     | 12,410,561.98   | 10         | 0         
9     | 12,031,641.69   | 10         | 0         
10    | 11,645,291.81   | 10         | 0         
11    | 11,548,320.07   | 10         | 0         
12    | 11,521,120.86   | 10         | 0         
13    | 11,447,176.43   | 10         | 0         
14    | 11,437,743.13   | 0          | 5         
15    | 9,902,655.92    | 10         | 0         
16    | 9,231,586.53    | 10         | 0         
17    | 9,044,775.57    | 10         | 0         
18    | 8,981,229.24    | 10         | 0         
19    | 8,928,609.57    | 3          | 5         
20    | 8,116,749.99    | 10         | 0         
21    | 8,031,840.87    | 7          | 0         
22    | 8,030,595.74    | 2          | 5         
23    | 7,144,651.61    | 10         | 0         
24    | 7,114,158.02    | 0          | 5         
25    | 6,305,092.06    | 10         | 0         
26    | 6,299,582.04    | 2          | 5         
27    | 5,629,061.20    | 6          | 0         
28    | 5,621,847.68    | 4          | 5         
29    | 5,019,000.70    | 10         | 0         
30    | 4,991,652.92    | 4          | 5         
31    | 4,357,346.82    | 10         | 0         
32    | 4,334,866.02    | 4          | 5         
33    | 3,995,322.32    | 3          | 5         
34    | 3,751,558.89    | 0          | 5         
35    | 3,486,199.79    | 0          | 5         
36    | 3,414,403.72    | 0          | 5         
37    | 3,356,334.63    | 2          | 5         
38    | 3,273,873.69    | 0          | 5         
39    | 3,141,733.42    | 1          | 5         
40    | 2,992,968.64    | 2          | 5         
41    | 2,903,676.36    | 0          | 5         
42    | 2,866,456.66    | 0          | 5         
43    | 2,815,580.85    | 1          | 5         
44    | 2,795,261.53    | 2          | 5         
45    | 2,752,947.90    | 0          | 5         
46    | 2,668,104.29    | 2          | 5         
47    | 2,650,964.62    | 0          | 5         
48    | 2,578,897.52    | 0          | 5         
49    | 2,504,287.69    | 2          | 5         
50    | 2,460,923.96    | 0          | 5         
51    | 2,424,691.17    | 0          | 5         
52    | 2,410,180.91    | 0          | 5         
53    | 2,406,754.91    | 0          | 5         
54    | 2,380,300.19    | 2          | 5         
55    | 2,379,741.25    | 0          | 5         
56    | 2,356,865.26    | 0          | 5         
57    | 2,350,283.68    | 0          | 5         
58    | 2,339,767.87    | 0          | 5         
59    | 2,301,695.02    | 0          | 5         
60    | 2,283,358.46    | 0          | 5         
61    | 2,276,446.37    | 0          | 5         
62    | 2,264,436.43    | 0          | 5         
63    | 2,259,137.53    | 0          | 5         
64    | 2,234,299.60    | 0          | 5         
65    | 2,229,182.10    | 0          | 5         
66    | 2,217,787.66    | 0          | 5         
67    | 2,192,829.07    | 0          | 5         
68    | 2,191,599.69    | 0          | 5         
69    | 2,191,085.99    | 0          | 5         
70    | 2,190,886.04    | 0          | 5         
71    | 2,190,406.63    | 0          | 5         
72    | 2,190,064.24    | 0          | 5         
73    | 2,189,854.86    | 0          | 5         
74    | 2,189,180.32    | 0          | 5         
75    | 2,189,180.32    | 0          | 5         
76    | 2,189,180.33    | 0          | 5         
77    | 2,188,877.68    | 0          | 5         
78    | 2,188,877.68    | 0          | 5         
79    | 2,188,877.68    | 0          | 5         
80    | 2,188,520.32    | 0          | 5         
81    | 2,188,520.32    | 0          | 5         
82    | 2,188,416.04    | 0          | 5         
83    | 2,188,188.07    | 0          | 5         
84    | 2,187,944.48    | 0          | 5         
85    | 2,187,944.48    | 0          | 5         
86    | 2,187,942.06    | 0          | 5         
87    | 2,187,942.03    | 0          | 5         
88    | 2,187,918.75    | 0          | 5         
89    | 2,187,379.10    | 0          | 5         
90    | 2,187,353.84    | 0          | 5         
91    | 2,187,225.34    | 0          | 5         
92    | 2,186,950.17    | 0          | 5         
93    | 2,186,547.61    | 0          | 5         
94    | 2,186,172.13    | 0          | 5         
95    | 2,185,970.28    | 0          | 5         
96    | 2,185,970.28    | 0          | 5         
97    | 2,185,970.28    | 0          | 5         
98    | 2,185,834.90    | 0          | 5         
99    | 2,185,693.93    | 0          | 5         
100   | 2,185,322.95    | 0          | 5         
101   | 2,185,019.20    | 0          | 5         
102   | 2,184,895.95    | 0          | 5         
103   | 2,184,768.27    | 0          | 5         
104   | 2,184,768.27    | 0          | 5         
105   | 2,184,750.62    | 0          | 5         
106   | 2,184,432.77    | 0          | 5         
107   | 2,184,195.21    | 0          | 5         
108   | 2,184,052.10    | 0          | 5         
109   | 2,183,978.31    | 0          | 5         
110   | 2,183,978.31    | 0          | 5         
111   | 2,183,978.31    | 0          | 5         
112   | 2,183,940.40    | 0          | 5         
113   | 2,183,940.40    | 0          | 5         
114   | 2,183,864.95    | 0          | 5         
115   | 2,183,864.95    | 0          | 5         
116   | 2,183,864.95    | 0          | 5         
117   | 2,183,864.95    | 0          | 5         
118   | 2,183,387.66    | 0          | 5         
119   | 2,183,259.80    | 0          | 5         
120   | 2,183,259.80    | 0          | 5         
121   | 2,183,249.18    | 0          | 5         
122   | 2,183,138.98    | 0          | 5         
123   | 2,183,138.98    | 0          | 5         
124   | 2,182,883.76    | 0          | 5         
125   | 2,182,619.22    | 0          | 5         
126   | 2,182,619.22    | 0          | 5         
127   | 2,182,619.22    | 0          | 5         
128   | 2,182,619.22    | 0          | 5         
129   | 2,182,543.96    | 0          | 5         
130   | 2,182,469.10    | 0          | 5         
131   | 2,182,432.80    | 0          | 5         
132   | 2,182,395.92    | 0          | 5         
133   | 2,182,395.92    | 0          | 5         
134   | 2,182,395.92    | 0          | 5         
135   | 2,182,395.92    | 0          | 5         
136   | 2,182,395.92    | 0          | 5         
137   | 2,182,064.20    | 0          | 5         
138   | 2,182,013.89    | 0          | 5         
139   | 2,182,013.89    | 0          | 5         
140   | 2,182,013.89    | 0          | 5         
141   | 2,182,013.89    | 0          | 5         
142   | 2,181,825.00    | 0          | 5         
143   | 2,181,825.00    | 0          | 5         
144   | 2,181,825.00    | 0          | 5         
145   | 2,181,825.00    | 0          | 5         
146   | 2,181,825.00    | 0          | 3         
147   | 2,181,825.00    | 0          | 5         
