==========================================================
 ANALYSIS REPORT: Week 12
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,196,200.00
  RMP Relaxed Value (Root): 2,191,623.35
  Integrality Gap       : 137.0937 %
  Execution Time  : 66.6945 sec
  Iterations      : 115
  RMP Time  : 34.0775 s
  MIP Time  : 1.5122 s
  Pool Search Time: 12.7595 s
  Graph Search Time: 18.2121 s
  MIP Decision Variables: 123 (Columns used in Final MIP)
  MIP Filtered Columns  : 629 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 5075
  Pool Hits (Reused from History)   : 342
  Graph Gen (Newly Created)         : 400
  Pool Hit Rate                     : 46.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 1008 / Total Gen: 1008
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns: 1016 / Total Gen: 2032
       -> Avg Length of Unique Patterns: 36.8 hours
  Type: TypeC  | Unique Patterns: 1015 / Total Gen: 2030
       -> Avg Length of Unique Patterns: 25.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 28 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 114,011,900.00  | 10         | 0         
2     | 79,059,800.00   | 10         | 0         
3     | 40,142,850.00   | 10         | 0         
4     | 15,200,000.00   | 10         | 0         
5     | 13,077,654.51   | 10         | 0         
6     | 12,199,000.04   | 10         | 0         
7     | 11,572,221.75   | 10         | 0         
8     | 10,971,381.85   | 10         | 0         
9     | 10,655,063.30   | 10         | 0         
10    | 10,481,395.03   | 10         | 0         
11    | 10,254,457.21   | 10         | 0         
12    | 10,058,287.12   | 10         | 0         
13    | 10,030,367.85   | 10         | 0         
14    | 10,022,916.69   | 10         | 0         
15    | 9,930,240.59    | 10         | 0         
16    | 9,906,696.22    | 9          | 0         
17    | 9,885,733.75    | 6          | 0         
18    | 9,885,720.04    | 8          | 0         
19    | 9,885,720.04    | 0          | 5         
20    | 8,259,905.36    | 10         | 0         
21    | 8,030,258.21    | 10         | 0         
22    | 7,941,451.38    | 10         | 0         
23    | 7,834,648.27    | 10         | 0         
24    | 7,832,642.86    | 2          | 5         
25    | 7,186,634.24    | 10         | 0         
26    | 7,094,112.36    | 4          | 5         
27    | 6,563,179.79    | 10         | 0         
28    | 6,522,471.89    | 7          | 0         
29    | 6,507,545.88    | 2          | 5         
30    | 5,913,795.96    | 10         | 0         
31    | 5,895,578.39    | 3          | 5         
32    | 5,782,222.31    | 4          | 5         
33    | 5,270,106.61    | 7          | 0         
34    | 5,265,128.28    | 10         | 0         
