==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,161,100.00
  RMP Relaxed Value (Root): 161,100.00
  Integrality Gap       : 620.7325 %
  Execution Time  : 248.9218 sec
  Iterations      : 287
  RMP Time  : 157.5944 s
  MIP Time  : 14.0388 s
  Pool Search Time: 25.6034 s
  Graph Search Time: 51.2481 s
  MIP Decision Variables: 1593 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4655
  Pool Hits (Reused from History)   : 475
  Graph Gen (Newly Created)         : 1108
  Pool Hit Rate                     : 30.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  772 / Total Gen:  772
       -> Avg Length of Unique Patterns: 47.4 hours
  Type: TypeB  | Unique Patterns:  969 / Total Gen: 1938
       -> Avg Length of Unique Patterns: 35.3 hours
  Type: TypeC  | Unique Patterns:  970 / Total Gen: 1940
       -> Avg Length of Unique Patterns: 24.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 28 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 10         | 0         
2     | 66,059,300.00   | 10         | 0         
3     | 30,143,400.00   | 10         | 0         
4     | 13,686,550.00   | 10         | 0         
5     | 13,436,950.00   | 10         | 0         
6     | 9,188,300.00    | 10         | 0         
7     | 9,187,450.00    | 10         | 0         
8     | 8,280,699.99    | 10         | 0         
9     | 7,761,590.48    | 10         | 0         
10    | 7,383,212.18    | 10         | 0         
11    | 7,248,848.46    | 10         | 0         
12    | 6,308,396.62    | 10         | 0         
13    | 5,730,206.89    | 10         | 0         
14    | 5,481,770.36    | 10         | 0         
15    | 5,394,914.24    | 10         | 0         
16    | 5,238,062.86    | 10         | 0         
17    | 5,159,753.51    | 10         | 0         
18    | 5,033,673.85    | 10         | 0         
19    | 4,978,650.30    | 10         | 0         
20    | 4,950,862.35    | 10         | 0         
21    | 4,950,862.35    | 10         | 0         
22    | 4,947,661.61    | 10         | 0         
23    | 4,946,506.87    | 4          | 5         
24    | 3,223,262.79    | 10         | 0         
25    | 3,097,958.66    | 10         | 0         
26    | 3,015,538.31    | 10         | 0         
27    | 2,983,557.44    | 10         | 0         
28    | 2,963,721.06    | 8          | 0         
29    | 2,963,624.40    | 2          | 5         
30    | 2,101,520.91    | 10         | 0         
31    | 1,958,118.01    | 10         | 0         
32    | 1,927,412.14    | 10         | 0         
33    | 1,909,850.39    | 8          | 0         
34    | 1,907,581.51    | 4          | 5         
35    | 1,312,504.00    | 10         | 0         
36    | 1,273,517.16    | 10         | 0         
37    | 1,263,471.56    | 10         | 0         
38    | 1,258,981.59    | 6          | 0         
39    | 1,258,719.09    | 2          | 5         
40    | 1,188,583.13    | 10         | 0         
41    | 1,176,654.22    | 10         | 0         
42    | 1,174,390.21    | 10         | 0         
43    | 1,174,368.27    | 0          | 5         
44    | 1,058,387.95    | 10         | 0         
45    | 1,047,083.37    | 4          | 5         
46    | 883,115.22      | 6          | 0         
47    | 879,881.65      | 2          | 5         
48    | 674,499.06      | 6          | 0         
49    | 669,261.34      | 5          | 5         
50    | 587,624.82      | 6          | 0         
51    | 584,525.06      | 0          | 5         
52    | 344,672.32      | 0          | 5         
53    | 282,221.89      | 0          | 5         
54    | 185,589.01      | 2          | 5         
55    | 182,679.28      | 10         | 0         
56    | 182,515.67      | 4          | 5         
57    | 179,294.11      | 10         | 0         
58    | 179,271.15      | 10         | 0         
