==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,160,800.00
  RMP Relaxed Value (Root): 154,311.30
  Integrality Gap       : 652.2456 %
  MIP Best Bound (Final)  : 1,160,800.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 101.1912 sec
  Iterations      : 174
  RMP Time  : 55.2543 s
  MIP Time  : 6.9598 s
  Pool Search Time: 3.7019 s
  Graph Search Time: 35.1151 s
  MIP Decision Variables: 1020 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1770
  Pool Hits (Reused from History)   : 250
  Graph Gen (Newly Created)         : 760
  Pool Hit Rate                     : 24.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  334 / Total Gen:  334
       -> Avg Length of Unique Patterns: 45.4 hours
  Type: TypeB  | Unique Patterns:  358 / Total Gen:  716
       -> Avg Length of Unique Patterns: 34.4 hours
  Type: TypeC  | Unique Patterns:  358 / Total Gen:  715
       -> Avg Length of Unique Patterns: 23.1 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 43 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 31 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 58,059,600.00   | 10         | 0         
3     | 28,136,400.00   | 10         | 0         
4     | 15,699,050.00   | 10         | 0         
5     | 12,197,700.00   | 10         | 0         
6     | 12,197,700.00   | 10         | 0         
7     | 11,130,400.01   | 10         | 0         
8     | 10,198,150.00   | 10         | 0         
9     | 9,714,628.50    | 10         | 0         
10    | 9,519,432.25    | 10         | 0         
11    | 9,255,636.63    | 10         | 0         
12    | 9,112,444.29    | 10         | 0         
13    | 8,854,822.62    | 7          | 0         
14    | 8,846,965.59    | 4          | 5         
15    | 5,388,218.44    | 10         | 0         
16    | 5,321,025.80    | 7          | 0         
17    | 5,254,383.05    | 6          | 0         
18    | 5,254,383.05    | 0          | 5         
19    | 4,104,239.80    | 10         | 0         
20    | 3,924,761.12    | 4          | 5         
21    | 3,029,984.35    | 9          | 0         
22    | 3,008,311.35    | 4          | 5         
23    | 2,764,785.02    | 10         | 0         
24    | 2,732,148.32    | 4          | 5         
25    | 2,571,832.55    | 4          | 5         
26    | 2,234,296.93    | 5          | 5         
27    | 1,967,051.26    | 10         | 0         
28    | 1,958,881.56    | 2          | 5         
29    | 1,792,760.09    | 2          | 5         
30    | 1,727,465.71    | 2          | 5         
31    | 1,595,447.76    | 0          | 5         
32    | 1,375,558.04    | 0          | 5         
33    | 1,222,408.29    | 4          | 5         
34    | 1,090,657.42    | 0          | 5         
35    | 920,876.42      | 0          | 5         
36    | 830,393.37      | 2          | 5         
37    | 779,712.25      | 4          | 5         
38    | 633,872.73      | 4          | 5         
39    | 493,610.76      | 0          | 5         
