==========================================================
 ANALYSIS REPORT: Week 3
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,184,500.00
  RMP Relaxed Value (Root): 2,180,810.00
  Integrality Gap       : 46.0237 %
  MIP Best Bound (Final)  : 3,184,500.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 211.4415 sec
  Iterations      : 281
  RMP Time  : 136.8652 s
  MIP Time  : 9.5499 s
  Pool Search Time: 10.3224 s
  Graph Search Time: 54.4445 s
  MIP Decision Variables: 1485 (Columns used in Final MIP)
  MIP Filtered Columns  : 41 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2772
  Pool Hits (Reused from History)   : 303
  Graph Gen (Newly Created)         : 1213
  Pool Hit Rate                     : 20.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  533 / Total Gen:  533
       -> Avg Length of Unique Patterns: 47.7 hours
  Type: TypeB  | Unique Patterns:  562 / Total Gen: 1124
       -> Avg Length of Unique Patterns: 36.7 hours
  Type: TypeC  | Unique Patterns:  555 / Total Gen: 1110
       -> Avg Length of Unique Patterns: 25.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 50 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 28 hours worked
  Emp 4  (TypeC): 19 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 10         | 0         
2     | 84,056,200.00   | 10         | 0         
3     | 40,138,700.00   | 10         | 0         
4     | 20,403,480.00   | 10         | 0         
5     | 15,197,900.00   | 10         | 0         
6     | 14,006,896.53   | 10         | 0         
7     | 13,346,911.13   | 10         | 0         
8     | 12,864,383.33   | 10         | 0         
9     | 12,734,491.09   | 10         | 0         
10    | 12,573,298.59   | 10         | 0         
11    | 12,409,467.17   | 10         | 0         
12    | 12,113,133.15   | 10         | 0         
13    | 11,836,192.52   | 10         | 0         
14    | 11,681,149.70   | 10         | 0         
15    | 11,639,665.98   | 10         | 0         
16    | 11,603,333.19   | 10         | 0         
17    | 11,563,908.73   | 10         | 0         
18    | 11,562,053.91   | 3          | 5         
19    | 8,910,975.29    | 10         | 0         
20    | 8,691,052.32    | 10         | 0         
21    | 8,569,752.97    | 10         | 0         
22    | 8,552,181.08    | 10         | 0         
23    | 8,541,144.35    | 6          | 0         
24    | 8,540,790.09    | 0          | 5         
25    | 6,899,104.53    | 7          | 0         
26    | 6,894,787.71    | 1          | 5         
27    | 6,181,052.87    | 10         | 0         
28    | 6,122,069.93    | 6          | 0         
29    | 6,119,444.97    | 4          | 5         
30    | 5,235,660.86    | 9          | 0         
31    | 5,204,332.03    | 3          | 5         
32    | 4,581,340.32    | 10         | 0         
33    | 4,533,488.50    | 6          | 0         
34    | 4,531,859.53    | 8          | 0         
35    | 4,531,630.24    | 0          | 5         
36    | 4,273,514.76    | 2          | 5         
37    | 4,130,441.08    | 0          | 5         
38    | 4,017,342.74    | 4          | 5         
39    | 3,914,633.29    | 2          | 5         
40    | 3,619,003.79    | 6          | 0         
41    | 3,618,508.96    | 2          | 5         
42    | 3,571,647.46    | 0          | 5         
43    | 3,483,512.23    | 0          | 5         
44    | 3,445,950.67    | 0          | 5         
45    | 3,381,232.56    | 2          | 5         
46    | 3,329,747.35    | 0          | 5         
47    | 3,143,739.30    | 0          | 5         
48    | 2,984,307.06    | 2          | 5         
49    | 2,936,710.44    | 0          | 5         
50    | 2,774,900.38    | 0          | 5         
51    | 2,725,477.11    | 0          | 5         
52    | 2,566,864.69    | 0          | 5         
53    | 2,548,353.15    | 0          | 5         
54    | 2,516,424.00    | 0          | 5         
55    | 2,485,660.81    | 0          | 5         
56    | 2,442,794.30    | 0          | 5         
57    | 2,420,807.03    | 0          | 5         
58    | 2,398,390.64    | 0          | 5         
59    | 2,397,876.79    | 0          | 5         
60    | 2,366,690.29    | 0          | 5         
61    | 2,325,619.86    | 0          | 5         
62    | 2,300,755.55    | 0          | 5         
63    | 2,248,113.26    | 0          | 5         
64    | 2,241,144.27    | 0          | 5         
65    | 2,233,184.74    | 0          | 5         
66    | 2,229,049.08    | 0          | 5         
67    | 2,224,519.34    | 0          | 5         
68    | 2,219,056.28    | 0          | 5         
69    | 2,203,962.87    | 0          | 5         
70    | 2,198,921.54    | 0          | 5         
71    | 2,197,186.26    | 0          | 5         
72    | 2,196,930.92    | 0          | 5         
73    | 2,196,173.39    | 0          | 5         
74    | 2,195,900.48    | 0          | 5         
75    | 2,195,254.59    | 0          | 5         
76    | 2,195,254.59    | 0          | 5         
77    | 2,195,254.59    | 0          | 5         
78    | 2,194,632.70    | 0          | 5         
79    | 2,194,546.56    | 0          | 5         
80    | 2,194,546.56    | 0          | 5         
81    | 2,193,809.62    | 0          | 5         
82    | 2,193,496.42    | 0          | 5         
83    | 2,192,860.85    | 0          | 5         
84    | 2,192,730.39    | 0          | 5         
85    | 2,192,195.51    | 0          | 5         
86    | 2,192,146.64    | 0          | 5         
87    | 2,191,828.62    | 0          | 5         
88    | 2,191,828.62    | 0          | 5         
89    | 2,191,028.05    | 0          | 5         
90    | 2,190,684.05    | 0          | 5         
91    | 2,189,793.18    | 0          | 5         
92    | 2,189,684.44    | 0          | 5         
93    | 2,189,444.41    | 0          | 5         
94    | 2,189,401.64    | 0          | 5         
95    | 2,189,182.26    | 0          | 5         
96    | 2,189,067.19    | 0          | 5         
97    | 2,188,841.96    | 0          | 5         
98    | 2,188,492.10    | 0          | 5         
99    | 2,188,492.10    | 0          | 5         
100   | 2,188,162.15    | 0          | 5         
101   | 2,187,772.72    | 0          | 5         
102   | 2,187,285.38    | 0          | 5         
103   | 2,186,612.84    | 0          | 5         
104   | 2,185,729.45    | 0          | 5         
105   | 2,185,274.62    | 0          | 5         
106   | 2,184,962.97    | 0          | 5         
107   | 2,184,749.02    | 0          | 5         
108   | 2,184,746.18    | 0          | 5         
109   | 2,184,746.18    | 0          | 5         
110   | 2,184,639.60    | 0          | 5         
111   | 2,184,639.60    | 0          | 5         
112   | 2,184,562.88    | 0          | 5         
113   | 2,184,562.88    | 0          | 5         
114   | 2,184,562.88    | 0          | 5         
115   | 2,184,464.13    | 0          | 5         
116   | 2,184,328.65    | 0          | 5         
117   | 2,184,315.69    | 0          | 5         
118   | 2,184,315.69    | 0          | 5         
119   | 2,184,261.12    | 0          | 5         
120   | 2,184,251.75    | 0          | 5         
121   | 2,184,251.75    | 0          | 5         
122   | 2,184,185.46    | 0          | 5         
123   | 2,184,185.46    | 0          | 5         
124   | 2,184,124.03    | 0          | 5         
125   | 2,184,124.03    | 0          | 5         
126   | 2,184,124.03    | 0          | 5         
127   | 2,183,990.22    | 0          | 5         
128   | 2,183,990.22    | 0          | 5         
129   | 2,183,949.89    | 0          | 5         
130   | 2,183,914.67    | 0          | 5         
131   | 2,183,914.67    | 0          | 5         
132   | 2,183,878.06    | 0          | 5         
133   | 2,183,878.06    | 0          | 5         
134   | 2,183,878.06    | 0          | 5         
135   | 2,183,715.53    | 0          | 5         
136   | 2,183,640.28    | 0          | 5         
137   | 2,183,367.15    | 0          | 5         
138   | 2,183,218.59    | 0          | 5         
139   | 2,183,147.66    | 0          | 5         
140   | 2,183,147.66    | 0          | 5         
141   | 2,182,882.77    | 0          | 5         
142   | 2,182,882.77    | 0          | 5         
143   | 2,182,882.77    | 0          | 5         
144   | 2,182,642.21    | 0          | 5         
145   | 2,182,611.29    | 0          | 5         
146   | 2,182,544.63    | 0          | 5         
147   | 2,182,451.22    | 0          | 5         
148   | 2,182,451.22    | 0          | 5         
149   | 2,182,437.12    | 0          | 5         
150   | 2,182,400.25    | 0          | 5         
151   | 2,182,363.75    | 0          | 4         
152   | 2,182,363.75    | 0          | 4         
153   | 2,182,363.75    | 0          | 5         
154   | 2,182,363.75    | 0          | 5         
155   | 2,182,305.01    | 0          | 5         
156   | 2,182,237.43    | 0          | 5         
157   | 2,182,212.43    | 0          | 4         
158   | 2,182,212.43    | 0          | 5         
159   | 2,182,212.43    | 0          | 5         
160   | 2,182,212.43    | 0          | 5         
161   | 2,182,105.60    | 0          | 5         
162   | 2,182,050.68    | 0          | 5         
163   | 2,182,050.68    | 0          | 5         
164   | 2,181,780.14    | 0          | 5         
165   | 2,181,780.14    | 0          | 5         
166   | 2,181,751.70    | 0          | 5         
167   | 2,181,751.70    | 0          | 5         
168   | 2,181,751.70    | 0          | 5         
169   | 2,181,724.24    | 0          | 5         
170   | 2,181,713.85    | 0          | 5         
171   | 2,181,713.85    | 0          | 5         
172   | 2,181,713.85    | 0          | 5         
173   | 2,181,713.85    | 0          | 5         
174   | 2,181,667.50    | 0          | 5         
175   | 2,181,667.50    | 0          | 5         
