Method,Threshold,Threshold_Label,Week,ObjVal,Time_Total,Time_IP,Time_RMP,Cols_MIP,Pool_Size
Standard,1e+100,ALL,1,4190000.0,77.16444897651672,11.579998541856185,32.23934196168557,678,678
Standard,1e+100,ALL,2,5199900.0,116.46246194839478,15.310815375065431,57.67600480350666,971,971
Standard,1e+100,ALL,3,3177800.0,89.17807626724243,6.028111916966736,44.54731866624206,836,836
Standard,1e+100,ALL,4,1168400.0,82.79697322845459,15.438129249960184,33.78984479000792,779,779
Standard,1e+100,ALL,5,3193200.0,54.59608435630798,4.434271166101098,23.47199120069854,640,640
Standard,1e+100,ALL,6,3192100.0,62.648443937301636,7.136943249963224,26.70167854311876,680,680
Standard,1e+100,ALL,7,1185600.0,70.9324369430542,6.102499665925279,32.040742406388745,759,759
Standard,1e+100,ALL,8,3194900.0,64.09133005142212,4.6809219578281045,27.866193493828177,663,663
Standard,1e+100,ALL,9,3183900.0,90.01505017280579,7.242349250009283,42.324651752831414,834,834
Standard,1e+100,ALL,10,1192700.0,102.20765376091003,7.903021000092849,52.40903620934114,965,965
Standard,1e+100,ALL,11,2192300.0,99.26113104820251,15.105258540948853,44.5034850446973,826,826
Standard,1e+100,ALL,12,3189200.0,68.64015793800354,5.107452875003219,30.964131591375917,716,716
Standard,1e+100,ALL,13,1183000.0,99.87304091453552,2.4266844999510795,52.28060912596993,952,952
Standard,1e+100,ALL,14,1193000.0,91.30647563934326,9.869777749991044,42.310873251874,836,836
Standard,1e+100,ALL,15,160600.0,75.01366400718689,1.5640109998639673,37.25698837591335,831,831
Accumulation,1e+100,ALL,1,4190000.0,74.53640723228455,11.948224833002314,30.770452914061025,678,678
Accumulation,1e+100,ALL,2,6193600.0,130.2001669406891,20.576306083006784,68.18322900147177,1102,1559
Accumulation,1e+100,ALL,3,3184500.0,218.71953511238098,10.83901495905593,140.40060223685578,1526,2772
Accumulation,1e+100,ALL,4,165400.0,181.02730417251587,2.1399560829158872,113.50805766298436,1472,3801
Accumulation,1e+100,ALL,5,2196000.0,75.5211730003357,1.7927937090862542,39.920745882438496,904,4321
Accumulation,1e+100,ALL,6,3185200.0,172.08878993988037,11.879054958932102,95.57283566542901,1318,5198
Accumulation,1e+100,ALL,7,1192000.0,121.05360507965088,3.697553292149678,61.45637970115058,1088,5925
Accumulation,1e+100,ALL,8,2189300.0,145.20655989646912,3.400861707981676,76.27951842430048,1184,6699
Accumulation,1e+100,ALL,9,3191300.0,164.51276683807373,6.10112691600807,86.27341362531297,1274,7470
Accumulation,1e+100,ALL,10,2198500.0,168.9860122203827,7.3433596671093255,89.8146117858123,1360,8223
Accumulation,1e+100,ALL,11,2195500.0,192.47748804092407,8.099454624811187,101.98178136837669,1320,8947
Accumulation,1e+100,ALL,12,3191300.0,118.25119209289551,2.3505602919030935,54.620275874389336,998,9551
Accumulation,1e+100,ALL,13,1182100.0,179.71370124816895,2.0342736248858273,92.76513441675343,1297,10310
Accumulation,1e+100,ALL,14,2187500.0,88.4068808555603,6.60181491705589,35.341682963306084,885,10690
Accumulation,1e+100,ALL,15,166100.0,146.7343909740448,3.191307707922533,69.81989371357486,1241,11274
Pruning,1e+100,ALL,1,4190000.0,76.08223485946655,11.575324125122279,31.451466447208077,678,678
Pruning,1e+100,ALL,2,6193600.0,134.4229769706726,18.81002033315599,71.93968946440145,1102,1559
Pruning,1e+100,ALL,3,3184500.0,223.61837005615234,10.638512958073989,143.73598616942763,1526,2772
Pruning,1e+100,ALL,4,164800.0,173.36600804328918,1.6145334169268608,112.53204312571324,1458,2165
Pruning,1e+100,ALL,5,2204200.0,53.70003700256348,1.1373720827978104,28.207455629250035,736,1520
Pruning,1e+100,ALL,6,3191700.0,97.76941895484924,6.2709399168379605,53.38729779631831,1008,2265
Pruning,1e+100,ALL,7,1184900.0,80.02217483520508,4.441699083195999,42.91414095181972,908,1699
Pruning,1e+100,ALL,8,2197100.0,103.23973989486694,3.117865333100781,59.042528996942565,1039,2447
Pruning,1e+100,ALL,9,3193200.0,80.87533211708069,5.658715290948749,43.36255278903991,906,1668
Pruning,1e+100,ALL,10,1198400.0,103.4147322177887,2.508125332882628,60.9557066608686,1106,2423
Pruning,1e+100,ALL,11,2191400.0,166.10985589027405,19.361215540906414,94.44787541893311,1229,1990
Pruning,1e+100,ALL,12,4187700.0,46.48212194442749,4.1787255827803165,21.952555872267112,652,2366
Pruning,1e+100,ALL,13,1183200.0,99.01348876953125,1.9280548749957234,54.79591421643272,981,1765
Pruning,1e+100,ALL,14,1188700.0,97.22268605232239,6.496556416153908,50.36129941907711,939,2480
Pruning,1e+100,ALL,15,1160800.0,109.93836688995361,8.484429290983826,58.83906783652492,1020,1770
