==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 158,100.00
  RMP Relaxed Value (Root): 154,000.00
  Integrality Gap       : 2.6623 %
  MIP Best Bound (Final)  : 158,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 595.5986 sec
  Iterations      : 429
  RMP Time  : 314.1717 s
  MIP Time  : 3.2035 s
  Pool Search Time: 197.8799 s
  Graph Search Time: 79.6638 s
  MIP Decision Variables: 2181 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 16769
  Pool Hits (Reused from History)   : 735
  Graph Gen (Newly Created)         : 1436
  Pool Hit Rate                     : 33.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 2860 / Total Gen: 2860
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns: 3308 / Total Gen: 6616
       -> Avg Length of Unique Patterns: 35.7 hours
  Type: TypeC  | Unique Patterns: 3644 / Total Gen: 7288
       -> Avg Length of Unique Patterns: 24.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 31 hours worked
  Emp 2  (TypeB): 32 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 56,062,800.00   | 10         | 0         
3     | 25,140,000.00   | 10         | 0         
4     | 8,856,566.65    | 10         | 0         
5     | 5,694,375.00    | 10         | 0         
6     | 4,192,454.54    | 10         | 0         
7     | 3,860,183.33    | 10         | 0         
8     | 3,691,528.95    | 10         | 0         
9     | 3,452,688.07    | 10         | 0         
10    | 3,240,781.54    | 10         | 0         
11    | 3,047,486.48    | 10         | 0         
12    | 2,877,687.91    | 10         | 0         
13    | 2,677,120.39    | 10         | 0         
14    | 2,521,786.93    | 10         | 0         
15    | 2,515,080.22    | 10         | 0         
16    | 2,400,256.40    | 10         | 0         
17    | 2,316,264.28    | 10         | 0         
18    | 2,195,673.70    | 10         | 0         
19    | 2,063,068.29    | 10         | 0         
20    | 2,038,074.73    | 10         | 0         
21    | 1,972,866.47    | 10         | 0         
22    | 1,941,453.18    | 10         | 0         
23    | 1,925,295.92    | 10         | 0         
24    | 1,923,342.75    | 10         | 0         
25    | 1,920,540.82    | 8          | 0         
26    | 1,916,910.17    | 0          | 5         
27    | 1,463,542.98    | 10         | 0         
28    | 1,412,679.19    | 10         | 0         
29    | 1,390,780.53    | 10         | 0         
30    | 1,353,900.33    | 10         | 0         
31    | 1,336,943.49    | 10         | 0         
32    | 1,304,410.25    | 10         | 0         
33    | 1,301,526.62    | 10         | 0         
34    | 1,299,292.72    | 1          | 5         
35    | 838,627.94      | 10         | 0         
36    | 744,180.51      | 10         | 0         
37    | 714,520.45      | 10         | 0         
38    | 698,907.55      | 10         | 0         
39    | 673,767.48      | 10         | 0         
40    | 671,875.65      | 6          | 0         
41    | 671,487.76      | 0          | 5         
