==========================================================
 ANALYSIS REPORT: Week 1
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 3,191,500.00
  RMP Relaxed Value (Root): 1,679,548.16
  Integrality Gap       : 90.0213 %
  MIP Best Bound (Final)  : 3,191,500.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 1161.3652 sec
  Iterations      : 920
  RMP Time  : 982.4484 s
  MIP Time  : 21.7753 s
  Pool Search Time: 136.7536 s
  Graph Search Time: 19.3678 s
  MIP Decision Variables: 3612 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3612
  Pool Hits (Reused from History)   : 3177
  Graph Gen (Newly Created)         : 425
  Pool Hit Rate                     : 88.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  611 / Total Gen:  611
       -> Avg Length of Unique Patterns: 45.7 hours
  Type: TypeB  | Unique Patterns: 1186 / Total Gen: 1629
       -> Avg Length of Unique Patterns: 34.0 hours
  Type: TypeC  | Unique Patterns: 1063 / Total Gen: 1367
       -> Avg Length of Unique Patterns: 23.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 108,016,000.00  | 5          | 0         
2     | 107,016,000.00  | 3          | 0         
3     | 106,016,300.00  | 3          | 0         
4     | 105,018,500.00  | 2          | 0         
5     | 105,018,400.00  | 0          | 5         
6     | 47,160,000.00   | 5          | 0         
7     | 45,160,000.00   | 5          | 0         
8     | 45,158,700.00   | 3          | 0         
9     | 44,133,600.00   | 5          | 0         
10    | 44,131,000.00   | 5          | 0         
11    | 44,129,700.00   | 5          | 0         
12    | 44,128,400.00   | 5          | 0         
13    | 44,127,400.00   | 4          | 0         
14    | 44,126,100.00   | 5          | 0         
15    | 44,124,800.00   | 5          | 0         
16    | 44,123,500.00   | 5          | 0         
17    | 44,122,500.00   | 5          | 0         
18    | 43,122,600.00   | 5          | 0         
19    | 43,121,600.00   | 5          | 0         
20    | 43,121,600.00   | 4          | 0         
21    | 43,120,300.00   | 5          | 0         
22    | 43,120,300.00   | 5          | 0         
23    | 43,120,000.00   | 5          | 0         
24    | 43,118,700.00   | 5          | 0         
25    | 43,118,700.00   | 5          | 0         
26    | 43,118,700.00   | 5          | 0         
27    | 43,117,700.00   | 5          | 0         
28    | 43,116,400.00   | 5          | 0         
29    | 43,116,400.00   | 5          | 0         
30    | 43,116,400.00   | 4          | 0         
31    | 43,116,400.00   | 5          | 0         
32    | 43,116,400.00   | 4          | 0         
33    | 43,114,100.00   | 4          | 0         
34    | 43,114,100.00   | 5          | 0         
35    | 43,114,100.00   | 5          | 0         
36    | 43,114,100.00   | 5          | 0         
37    | 43,114,100.00   | 5          | 0         
38    | 43,113,100.00   | 5          | 0         
39    | 43,112,100.00   | 5          | 0         
40    | 43,111,100.00   | 5          | 0         
41    | 43,110,100.00   | 5          | 0         
