==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 164,100.00
  RMP Relaxed Value (Root): 153,000.00
  Integrality Gap       : 7.2549 %
  MIP Best Bound (Final)  : 164,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 823.5943 sec
  Iterations      : 615
  RMP Time  : 442.5661 s
  MIP Time  : 12.5964 s
  Pool Search Time: 323.2608 s
  Graph Search Time: 44.4216 s
  MIP Decision Variables: 2456 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 33950
  Pool Hits (Reused from History)   : 1560
  Graph Gen (Newly Created)         : 886
  Pool Hit Rate                     : 63.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 5812 / Total Gen: 5812
       -> Avg Length of Unique Patterns: 47.4 hours
  Type: TypeB  | Unique Patterns: 10731 / Total Gen: 13542
       -> Avg Length of Unique Patterns: 36.6 hours
  Type: TypeC  | Unique Patterns: 11627 / Total Gen: 14591
       -> Avg Length of Unique Patterns: 25.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 43 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 34 hours worked
  Emp 3  (TypeC): 27 hours worked
  Emp 4  (TypeC): 18 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 5          | 0         
2     | 58,060,000.00   | 5          | 0         
3     | 26,127,600.00   | 5          | 0         
4     | 15,151,400.00   | 5          | 0         
5     | 15,151,400.00   | 5          | 0         
6     | 9,187,450.00    | 5          | 0         
7     | 9,187,450.00    | 5          | 0         
8     | 8,858,633.32    | 5          | 0         
9     | 7,192,875.00    | 5          | 0         
10    | 6,653,433.60    | 5          | 0         
11    | 5,845,345.00    | 5          | 0         
12    | 5,585,184.27    | 4          | 0         
13    | 5,282,833.66    | 5          | 0         
14    | 5,052,147.44    | 5          | 0         
15    | 4,418,691.42    | 5          | 0         
16    | 4,055,922.30    | 5          | 0         
17    | 4,044,403.73    | 5          | 0         
18    | 3,897,591.64    | 5          | 0         
19    | 3,746,194.18    | 5          | 0         
20    | 3,644,357.86    | 5          | 0         
21    | 3,473,407.94    | 5          | 0         
22    | 3,342,682.12    | 5          | 0         
23    | 3,246,943.74    | 5          | 0         
24    | 3,128,917.70    | 5          | 0         
25    | 2,901,324.20    | 5          | 0         
26    | 2,839,735.52    | 5          | 0         
27    | 2,776,132.15    | 5          | 0         
28    | 2,737,883.14    | 5          | 0         
29    | 2,621,054.42    | 5          | 0         
30    | 2,530,202.14    | 5          | 0         
31    | 2,503,311.80    | 5          | 0         
32    | 2,453,481.42    | 5          | 0         
33    | 2,314,277.56    | 5          | 0         
34    | 2,211,817.12    | 5          | 0         
35    | 2,169,413.77    | 5          | 0         
36    | 2,027,758.09    | 5          | 0         
37    | 1,784,889.41    | 5          | 0         
38    | 1,724,725.47    | 5          | 0         
39    | 1,714,952.35    | 5          | 0         
40    | 1,629,608.40    | 5          | 0         
41    | 1,593,073.96    | 5          | 0         
