==========================================================
 ANALYSIS REPORT: Week 6
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 4,182,300.00
  RMP Relaxed Value (Root): 1,191,365.18
  Integrality Gap       : 251.0511 %
  MIP Best Bound (Final)  : 4,182,300.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 1646.5489 sec
  Iterations      : 1000
  RMP Time  : 1387.5886 s
  MIP Time  : 92.4045 s
  Pool Search Time: 149.2535 s
  Graph Search Time: 15.3291 s
  MIP Decision Variables: 4445 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4445
  Pool Hits (Reused from History)   : 4115
  Graph Gen (Newly Created)         : 320
  Pool Hit Rate                     : 92.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  673 / Total Gen:  673
       -> Avg Length of Unique Patterns: 45.3 hours
  Type: TypeB  | Unique Patterns: 1884 / Total Gen: 2214
       -> Avg Length of Unique Patterns: 32.8 hours
  Type: TypeC  | Unique Patterns: 1330 / Total Gen: 1553
       -> Avg Length of Unique Patterns: 22.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 108,016,000.00  | 5          | 0         
2     | 105,018,000.00  | 5          | 0         
3     | 104,019,000.00  | 4          | 0         
4     | 103,020,000.00  | 4          | 0         
5     | 102,021,000.00  | 2          | 0         
6     | 102,021,000.00  | 5          | 0         
7     | 102,020,900.00  | 0          | 5         
8     | 48,132,600.00   | 5          | 0         
9     | 47,132,600.00   | 5          | 0         
10    | 47,130,000.00   | 4          | 0         
11    | 47,128,700.00   | 3          | 0         
12    | 47,128,700.00   | 5          | 0         
13    | 47,126,100.00   | 3          | 0         
14    | 46,129,700.00   | 5          | 0         
15    | 46,129,700.00   | 5          | 0         
16    | 46,128,400.00   | 5          | 0         
17    | 46,128,400.00   | 5          | 0         
18    | 46,124,800.00   | 5          | 0         
19    | 45,126,100.00   | 3          | 0         
20    | 45,126,100.00   | 4          | 0         
21    | 45,124,800.00   | 5          | 0         
22    | 45,123,800.00   | 5          | 0         
23    | 45,122,800.00   | 4          | 0         
24    | 45,120,800.00   | 5          | 0         
25    | 45,120,800.00   | 5          | 0         
26    | 45,120,800.00   | 5          | 0         
27    | 45,119,800.00   | 5          | 0         
28    | 45,118,800.00   | 5          | 0         
29    | 45,117,800.00   | 4          | 0         
30    | 45,117,800.00   | 4          | 0         
31    | 45,117,800.00   | 5          | 0         
32    | 45,117,800.00   | 5          | 0         
33    | 45,117,800.00   | 4          | 0         
34    | 45,117,800.00   | 4          | 0         
35    | 45,117,800.00   | 5          | 0         
36    | 45,117,800.00   | 5          | 0         
37    | 45,117,800.00   | 5          | 0         
38    | 45,117,800.00   | 5          | 0         
39    | 45,117,800.00   | 5          | 0         
40    | 45,115,800.00   | 5          | 0         
41    | 45,114,800.00   | 5          | 0         
