==========================================================
 ANALYSIS REPORT: Week 7
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 2,177,000.00
  RMP Relaxed Value (Root): 185,144.62
  Integrality Gap       : 1075.8376 %
  MIP Best Bound (Final)  : 2,177,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 1361.5853 sec
  Iterations      : 1000
  RMP Time  : 1172.4143 s
  MIP Time  : 28.6256 s
  Pool Search Time: 141.0994 s
  Graph Search Time: 17.9913 s
  MIP Decision Variables: 4083 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4083
  Pool Hits (Reused from History)   : 3704
  Graph Gen (Newly Created)         : 369
  Pool Hit Rate                     : 90.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  659 / Total Gen:  659
       -> Avg Length of Unique Patterns: 43.8 hours
  Type: TypeB  | Unique Patterns:  963 / Total Gen: 1131
       -> Avg Length of Unique Patterns: 31.9 hours
  Type: TypeC  | Unique Patterns: 1978 / Total Gen: 2288
       -> Avg Length of Unique Patterns: 22.4 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 43 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 111,012,000.00  | 5          | 0         
2     | 109,013,000.00  | 4          | 0         
3     | 108,013,300.00  | 4          | 0         
4     | 106,016,600.00  | 2          | 0         
5     | 106,016,600.00  | 4          | 0         
6     | 106,016,600.00  | 2          | 0         
7     | 106,016,600.00  | 1          | 0         
8     | 106,016,600.00  | 0          | 5         
9     | 47,104,200.00   | 5          | 0         
10    | 47,103,200.00   | 5          | 0         
11    | 46,104,200.00   | 5          | 0         
12    | 45,105,800.00   | 5          | 0         
13    | 45,105,800.00   | 5          | 0         
14    | 45,105,800.00   | 5          | 0         
15    | 45,105,800.00   | 5          | 0         
16    | 45,105,800.00   | 5          | 0         
17    | 45,105,800.00   | 5          | 0         
18    | 45,105,800.00   | 5          | 0         
19    | 45,105,800.00   | 5          | 0         
20    | 45,105,800.00   | 5          | 0         
21    | 45,105,800.00   | 5          | 0         
22    | 45,104,500.00   | 5          | 0         
23    | 45,104,500.00   | 5          | 0         
24    | 45,103,200.00   | 5          | 0         
25    | 45,101,900.00   | 5          | 0         
26    | 45,100,600.00   | 5          | 0         
27    | 45,100,600.00   | 5          | 0         
28    | 45,100,600.00   | 4          | 0         
29    | 45,100,600.00   | 5          | 0         
30    | 45,100,600.00   | 5          | 0         
31    | 45,100,600.00   | 5          | 0         
32    | 45,100,600.00   | 5          | 0         
33    | 45,100,600.00   | 4          | 0         
34    | 45,099,300.00   | 5          | 0         
35    | 45,099,300.00   | 4          | 0         
36    | 45,099,300.00   | 4          | 0         
37    | 45,099,300.00   | 5          | 0         
38    | 45,099,300.00   | 5          | 0         
39    | 45,099,300.00   | 5          | 0         
40    | 45,099,300.00   | 5          | 0         
41    | 45,099,300.00   | 5          | 0         
42    | 45,099,300.00   | 5          | 0         
43    | 45,099,300.00   | 4          | 0         
44    | 45,099,300.00   | 5          | 0         
45    | 45,099,300.00   | 5          | 0         
46    | 45,099,300.00   | 5          | 0         
47    | 45,099,300.00   | 5          | 0         
48    | 45,099,300.00   | 5          | 0         
49    | 45,099,300.00   | 5          | 0         
50    | 45,099,300.00   | 5          | 0         
51    | 45,099,300.00   | 5          | 0         
52    | 45,099,300.00   | 5          | 0         
53    | 45,099,300.00   | 5          | 0         
54    | 45,099,300.00   | 5          | 0         
55    | 45,099,300.00   | 5          | 0         
56    | 45,099,300.00   | 5          | 0         
57    | 45,099,300.00   | 5          | 0         
58    | 45,099,300.00   | 5          | 0         
59    | 45,099,300.00   | 5          | 0         
60    | 45,098,800.00   | 5          | 0         
61    | 45,098,800.00   | 5          | 0         
62    | 45,098,300.00   | 5          | 0         
63    | 45,098,300.00   | 4          | 0         
64    | 45,098,300.00   | 4          | 0         
65    | 45,098,300.00   | 5          | 0         
66    | 45,097,800.00   | 5          | 0         
67    | 45,097,800.00   | 5          | 0         
68    | 45,097,300.00   | 5          | 0         
69    | 45,096,300.00   | 5          | 0         
70    | 45,096,300.00   | 5          | 0         
71    | 45,096,300.00   | 4          | 0         
72    | 45,095,300.00   | 5          | 0         
73    | 44,108,600.00   | 5          | 0         
74    | 44,106,300.00   | 4          | 0         
75    | 44,106,300.00   | 5          | 0         
76    | 44,105,300.00   | 5          | 0         
77    | 44,105,300.00   | 5          | 0         
78    | 44,104,250.00   | 5          | 0         
79    | 44,104,250.00   | 5          | 0         
80    | 44,104,250.00   | 5          | 0         
81    | 44,103,300.00   | 5          | 0         
82    | 44,102,300.00   | 5          | 0         
83    | 44,102,300.00   | 5          | 0         
84    | 44,102,300.00   | 5          | 0         
85    | 44,102,300.00   | 5          | 0         
86    | 44,101,300.00   | 5          | 0         
87    | 44,101,300.00   | 4          | 0         
88    | 44,100,300.00   | 5          | 0         
89    | 44,100,300.00   | 5          | 0         
90    | 44,100,300.00   | 4          | 0         
91    | 44,100,300.00   | 5          | 0         
92    | 44,100,300.00   | 4          | 0         
93    | 44,100,300.00   | 5          | 0         
94    | 44,100,300.00   | 5          | 0         
95    | 44,100,300.00   | 4          | 0         
96    | 44,100,300.00   | 5          | 0         
97    | 43,104,300.00   | 5          | 0         
98    | 42,104,000.00   | 5          | 0         
99    | 41,104,000.00   | 5          | 0         
100   | 41,104,000.00   | 5          | 0         
101   | 41,101,400.00   | 5          | 0         
102   | 41,100,100.00   | 5          | 0         
103   | 41,100,100.00   | 5          | 0         
104   | 41,100,100.00   | 5          | 0         
105   | 41,100,100.00   | 5          | 0         
106   | 41,100,100.00   | 5          | 0         
107   | 41,100,100.00   | 1          | 0         
108   | 41,100,100.00   | 4          | 0         
109   | 41,100,100.00   | 3          | 0         
110   | 41,100,100.00   | 5          | 0         
111   | 41,100,100.00   | 2          | 0         
112   | 41,100,100.00   | 5          | 0         
113   | 41,100,100.00   | 4          | 0         
114   | 41,099,700.00   | 5          | 0         
115   | 41,099,700.00   | 1          | 0         
116   | 41,099,700.00   | 5          | 0         
117   | 41,099,700.00   | 5          | 0         
118   | 41,099,700.00   | 5          | 0         
119   | 41,099,700.00   | 5          | 0         
120   | 41,099,700.00   | 5          | 0         
121   | 41,099,700.00   | 4          | 0         
122   | 41,099,700.00   | 0          | 5         
123   | 24,148,400.00   | 5          | 0         
124   | 24,148,100.00   | 5          | 0         
125   | 24,146,233.26   | 4          | 0         
126   | 24,146,233.26   | 5          | 0         
127   | 24,145,433.26   | 5          | 0         
128   | 24,144,266.60   | 5          | 0         
129   | 23,158,000.00   | 5          | 0         
130   | 23,156,700.00   | 5          | 0         
131   | 22,156,700.00   | 5          | 0         
132   | 22,156,700.00   | 4          | 0         
133   | 22,155,400.00   | 5          | 0         
134   | 22,154,100.00   | 4          | 0         
135   | 22,154,100.00   | 5          | 0         
136   | 22,153,400.00   | 5          | 0         
137   | 22,153,400.00   | 5          | 0         
138   | 22,152,100.00   | 5          | 0         
139   | 22,150,800.00   | 5          | 0         
140   | 22,149,500.00   | 5          | 0         
141   | 22,149,500.00   | 5          | 0         
142   | 22,148,200.00   | 5          | 0         
143   | 22,146,900.00   | 5          | 0         
144   | 22,145,900.00   | 5          | 0         
145   | 22,144,000.00   | 4          | 0         
146   | 22,142,700.00   | 5          | 0         
147   | 22,142,700.00   | 5          | 0         
148   | 22,142,700.00   | 5          | 0         
149   | 22,141,700.00   | 5          | 0         
150   | 22,141,700.00   | 5          | 0         
151   | 22,141,700.00   | 4          | 0         
152   | 22,141,700.00   | 5          | 0         
153   | 22,141,700.00   | 5          | 0         
154   | 22,139,700.00   | 5          | 0         
155   | 22,138,700.00   | 5          | 0         
156   | 22,138,700.00   | 3          | 0         
157   | 22,138,700.00   | 5          | 0         
158   | 22,137,700.00   | 5          | 0         
159   | 22,136,700.00   | 4          | 0         
160   | 22,136,700.00   | 5          | 0         
161   | 22,136,700.00   | 5          | 0         
162   | 22,135,700.00   | 5          | 0         
163   | 22,135,700.00   | 5          | 0         
164   | 22,135,000.00   | 5          | 0         
165   | 22,134,000.00   | 4          | 0         
166   | 22,134,000.00   | 4          | 0         
167   | 22,134,000.00   | 5          | 0         
168   | 22,134,000.00   | 4          | 0         
169   | 22,132,700.00   | 4          | 0         
170   | 22,132,700.00   | 5          | 0         
171   | 22,132,700.00   | 5          | 0         
172   | 22,132,700.00   | 5          | 0         
173   | 22,132,700.00   | 5          | 0         
174   | 22,131,700.00   | 5          | 0         
175   | 22,131,700.00   | 5          | 0         
176   | 22,130,700.00   | 5          | 0         
177   | 22,130,700.00   | 5          | 0         
178   | 22,130,700.00   | 5          | 0         
179   | 22,130,700.00   | 5          | 0         
180   | 22,129,700.00   | 5          | 0         
181   | 22,129,700.00   | 5          | 0         
182   | 22,129,700.00   | 5          | 0         
183   | 22,129,700.00   | 5          | 0         
184   | 22,129,700.00   | 5          | 0         
185   | 22,129,700.00   | 5          | 0         
186   | 22,129,700.00   | 5          | 0         
187   | 22,129,700.00   | 5          | 0         
188   | 22,129,700.00   | 5          | 0         
189   | 22,129,700.00   | 5          | 0         
190   | 22,129,700.00   | 5          | 0         
191   | 22,129,700.00   | 2          | 0         
192   | 22,129,700.00   | 5          | 0         
193   | 21,637,550.00   | 5          | 0         
194   | 21,636,900.00   | 5          | 0         
195   | 21,137,550.00   | 5          | 0         
196   | 21,136,900.00   | 5          | 0         
197   | 21,136,250.00   | 5          | 0         
198   | 20,474,066.60   | 5          | 0         
199   | 20,474,066.60   | 5          | 0         
200   | 20,473,733.27   | 5          | 0         
201   | 20,473,733.27   | 5          | 0         
202   | 20,473,299.94   | 5          | 0         
203   | 20,393,225.00   | 5          | 0         
204   | 20,285,642.90   | 5          | 0         
