col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
0,3,TypeC,30300,000000001111110000000000000000000000000000111110000000000000000001111000000000000000000000000000000000000000000000000000000000000000000001111110000000000001111110000000,0,0,1980610.9265358727
1,4,TypeC,30300,000000001111110000000000000000000000000000111110000000000000000001111000000000000000000000000000000000000000000000000000000000000000000001111110000000000001111110000000,0,0,1980610.9265358727
2,0,TypeA,52700,000000000000000000000000000001111111110000000000000000011111111000000000000011111111110000000000000011111111110000000000000000111111111100000000000000000000000000000000,0,0,2896809.351281682
3,1,TypeB,44800,000000000000000000000000000000000001111111100000000000011111111000000000000000000000011111111000000000000000000000000000000000111111110000000000000000011111111000000000,1,0,926392.4101389069
4,2,TypeB,44800,000000000000000000000000000000000001111111100000000000011111111000000000000000000000011111111000000000000000000000000000000000111111110000000000000000011111111000000000,1,0,926392.4101389069
5,3,TypeC,28700,000000000000000000000000000000001111110000000000000000011111100000000000000011111000000000001111100000000000000000000000000001111000000000000000000000000000000000000000,0,0,1412833.8966060448
6,4,TypeC,28700,000000000000000000000000000000001111110000000000000000011111100000000000000011111000000000001111100000000000000000000000000001111000000000000000000000000000000000000000,0,0,1412833.8966060448
7,0,TypeA,54700,000000000111111111000000000000000000000000000000000000000000000000000111111111100000000000000111111110000000000000000000111111111000000000000000000000011111111110000000,0,0,2311890.433910923
8,1,TypeB,39600,000000011111111000000000000000000000000000000000000000000000000000011111111000000000000000000111111110000000000000000000000011111000000000000111111100000000000000000000,0,0,3734046.5988829993
9,2,TypeB,39600,000000011111111000000000000000000000000000000000000000000000000000011111111000000000000000000111111110000000000000000000000011111000000000000111111100000000000000000000,0,0,3734046.5988829993
10,3,TypeC,27800,000000000111111000000000001111110000000000000000000000000000000000000000001111100000000000000111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,1590110.2534727203
11,4,TypeC,27800,000000000111111000000000001111110000000000000000000000000000000000000000001111100000000000000111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,1590110.2534727203
12,0,TypeA,52200,111111111100000000000000000000000000000001111111100000000000000000000000000000000000011111111100000000000000000000000000000000011111111100000000000000000000001111111110,0,0,2865541.4148646705
13,1,TypeB,40400,000000000000000000000000000000000000000000011111100000000000000000011111111000000000000011111111000000000111111110000000000000011111111000000000000000000000000000000000,0,0,1010963.4111413397
14,2,TypeB,40400,000000000000000000000000000000000000000000011111100000000000000000011111111000000000000011111111000000000111111110000000000000011111111000000000000000000000000000000000,0,0,1010963.4111413397
15,3,TypeC,25200,000000000000011111000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000011100000000000000000000000000111110000000000000000,0,0,177989.96133466996
16,4,TypeC,25200,000000000000011111000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000011100000000000000000000000000111110000000000000000,0,0,177989.96133466996
17,0,TypeA,57900,111111111100000000000001111111111000000000000000000000000000000001111111111000000000000000000000000000000000000000000000000000011111111100000000000000000000001111111110,0,0,2705069.5832736623
18,1,TypeB,43500,000000111111110000000000000000000000000000000000000000000000111111110000000000000000000000000000000000011111111000000000000000001111111100000000000000000000000011111110,1,0,870951.5967349298
19,2,TypeB,43500,000000111111110000000000000000000000000000000000000000000000111111110000000000000000000000000000000000011111111000000000000000001111111100000000000000000000000011111110,1,0,870951.5967349298
20,3,TypeC,34300,000000000111110000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000111111000000000000011111000000000000000000000000001111110000000,1,0,2230567.3349563237
21,4,TypeC,34300,000000000111110000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000111111000000000000011111000000000000000000000000001111110000000,1,0,2230567.3349563237
22,0,TypeA,54600,000000000000000000000001111111111000000000000000000000000000000000000000000000011111111110000000000000011111111110000000000000000000001111111110000000000000001111111110,1,0,1663970.2992982958
23,1,TypeB,42400,000000000011111111000000000000000000000000000000000000000000001111111100000000011111111000000000000000000111111110000000000000000000000111111110000000000000000000000000,1,0,949998.4533867948
24,2,TypeB,42400,000000000011111111000000000000000000000000000000000000000000001111111100000000011111111000000000000000000111111110000000000000000000000111111110000000000000000000000000,1,0,949998.4533867948
