==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 166,000.00
  RMP Relaxed Value (Root): 161,100.00
  Integrality Gap       : 3.0416 %
  MIP Best Bound (Final)  : 166,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 204.5548 sec
  Iterations      : 289
  RMP Time  : 134.6691 s
  MIP Time  : 4.1637 s
  Pool Search Time: 6.8017 s
  Graph Search Time: 58.6388 s
  MIP Decision Variables: 1555 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2279
  Pool Hits (Reused from History)   : 276
  Graph Gen (Newly Created)         : 1269
  Pool Hit Rate                     : 17.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  375 / Total Gen:  375
       -> Avg Length of Unique Patterns: 46.8 hours
  Type: TypeB  | Unique Patterns:  504 / Total Gen: 1007
       -> Avg Length of Unique Patterns: 32.2 hours
  Type: TypeC  | Unique Patterns:  446 / Total Gen:  892
       -> Avg Length of Unique Patterns: 22.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 32 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 19 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 10         | 0         
2     | 66,059,300.00   | 10         | 0         
3     | 30,140,500.00   | 10         | 0         
4     | 19,197,100.00   | 10         | 0         
5     | 16,694,550.00   | 10         | 0         
6     | 15,393,520.00   | 10         | 0         
7     | 13,860,566.69   | 10         | 0         
8     | 13,717,981.03   | 10         | 0         
9     | 13,237,745.19   | 10         | 0         
10    | 13,039,478.93   | 6          | 0         
11    | 13,013,100.95   | 2          | 5         
12    | 8,294,030.00    | 10         | 0         
13    | 7,492,415.39    | 10         | 0         
14    | 7,432,537.50    | 10         | 0         
15    | 7,283,250.00    | 10         | 0         
16    | 7,283,250.00    | 3          | 5         
17    | 4,907,531.03    | 10         | 0         
18    | 4,529,900.00    | 10         | 0         
19    | 4,445,650.00    | 2          | 5         
20    | 3,284,496.77    | 10         | 0         
21    | 3,214,246.79    | 0          | 5         
22    | 2,598,551.72    | 5          | 5         
23    | 2,405,384.36    | 10         | 0         
24    | 2,389,071.11    | 10         | 0         
25    | 2,385,605.26    | 4          | 5         
26    | 2,174,195.44    | 4          | 5         
27    | 1,949,796.19    | 6          | 0         
28    | 1,925,929.27    | 2          | 5         
29    | 1,783,328.67    | 2          | 5         
30    | 1,597,979.54    | 9          | 0         
31    | 1,597,979.54    | 0          | 5         
32    | 1,380,061.30    | 0          | 5         
33    | 1,195,062.64    | 2          | 5         
34    | 993,852.65      | 7          | 0         
35    | 991,998.10      | 0          | 5         
36    | 916,711.88      | 5          | 5         
37    | 808,464.02      | 2          | 5         
38    | 771,764.08      | 0          | 5         
39    | 627,142.25      | 0          | 5         
40    | 466,452.70      | 0          | 5         
41    | 358,059.13      | 2          | 5         
42    | 313,305.42      | 0          | 5         
43    | 268,178.87      | 0          | 5         
44    | 225,996.00      | 4          | 5         
45    | 181,324.83      | 8          | 0         
46    | 181,283.93      | 0          | 5         
47    | 181,211.85      | 4          | 5         
48    | 179,950.92      | 5          | 5         
49    | 178,312.26      | 0          | 5         
50    | 178,240.43      | 0          | 5         
51    | 176,946.29      | 5          | 5         
52    | 176,294.16      | 2          | 5         
