==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 1,194,700.00
  RMP Relaxed Value (Root): 1,191,275.00
  Integrality Gap       : 0.2875 %
  MIP Best Bound (Final)  : 1,194,700.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 310.3817 sec
  Iterations      : 382
  RMP Time  : 218.0136 s
  MIP Time  : 2.7997 s
  Pool Search Time: 10.5967 s
  Graph Search Time: 78.5707 s
  MIP Decision Variables: 1778 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2578
  Pool Hits (Reused from History)   : 200
  Graph Gen (Newly Created)         : 1568
  Pool Hit Rate                     : 11.3%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  440 / Total Gen:  440
       -> Avg Length of Unique Patterns: 46.8 hours
  Type: TypeB  | Unique Patterns:  494 / Total Gen:  988
       -> Avg Length of Unique Patterns: 33.4 hours
  Type: TypeC  | Unique Patterns:  573 / Total Gen: 1145
       -> Avg Length of Unique Patterns: 22.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 40 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 10         | 0         
2     | 81,060,200.00   | 10         | 0         
3     | 46,124,500.00   | 10         | 0         
4     | 30,166,600.00   | 10         | 0         
5     | 30,166,600.00   | 10         | 0         
6     | 28,670,525.00   | 10         | 0         
7     | 27,839,166.55   | 10         | 0         
8     | 27,169,300.00   | 10         | 0         
9     | 26,171,825.00   | 10         | 0         
10    | 25,852,501.66   | 10         | 0         
11    | 25,632,606.00   | 10         | 0         
12    | 25,622,911.31   | 5          | 5         
13    | 19,012,999.92   | 10         | 0         
14    | 18,511,500.00   | 2          | 5         
15    | 14,307,291.00   | 10         | 0         
16    | 14,099,336.81   | 10         | 0         
17    | 14,067,244.41   | 6          | 0         
18    | 14,067,244.41   | 0          | 5         
19    | 11,232,218.23   | 10         | 0         
20    | 10,604,814.61   | 10         | 0         
21    | 10,571,426.71   | 3          | 5         
22    | 8,714,864.74    | 3          | 5         
23    | 7,409,930.55    | 6          | 0         
24    | 7,386,760.00    | 2          | 5         
25    | 6,766,064.90    | 8          | 0         
26    | 6,766,059.08    | 0          | 5         
27    | 6,447,890.32    | 0          | 5         
28    | 6,054,586.15    | 0          | 5         
29    | 5,799,835.26    | 0          | 5         
30    | 5,286,007.73    | 0          | 5         
31    | 4,848,040.39    | 3          | 5         
32    | 4,686,047.63    | 0          | 5         
33    | 4,540,503.79    | 2          | 5         
34    | 4,497,735.46    | 0          | 5         
35    | 4,369,380.11    | 0          | 5         
36    | 4,281,250.24    | 0          | 5         
37    | 4,210,816.86    | 0          | 5         
38    | 4,163,620.33    | 0          | 5         
39    | 4,033,316.76    | 0          | 5         
40    | 3,950,896.51    | 0          | 5         
41    | 3,803,505.63    | 0          | 5         
42    | 3,722,799.52    | 0          | 5         
43    | 3,560,246.94    | 0          | 5         
44    | 3,420,443.01    | 0          | 5         
45    | 3,372,423.06    | 0          | 5         
46    | 3,341,522.62    | 0          | 5         
47    | 3,299,012.09    | 0          | 5         
48    | 3,135,491.09    | 0          | 5         
49    | 3,074,770.67    | 0          | 5         
50    | 2,962,788.13    | 0          | 5         
51    | 2,901,198.15    | 0          | 5         
52    | 2,856,593.21    | 0          | 5         
53    | 2,814,702.55    | 0          | 5         
54    | 2,789,700.39    | 0          | 5         
55    | 2,721,005.71    | 0          | 5         
56    | 2,644,967.60    | 0          | 5         
57    | 2,610,994.00    | 0          | 5         
58    | 2,548,745.26    | 0          | 5         
59    | 2,512,635.92    | 0          | 5         
60    | 2,469,188.86    | 0          | 5         
61    | 2,469,188.16    | 0          | 5         
62    | 2,449,031.40    | 0          | 5         
63    | 2,405,237.89    | 0          | 5         
64    | 2,393,547.99    | 0          | 5         
65    | 2,369,440.97    | 0          | 5         
66    | 2,328,658.68    | 0          | 5         
67    | 2,261,472.74    | 0          | 5         
68    | 2,202,384.88    | 0          | 5         
69    | 2,116,719.38    | 0          | 5         
70    | 2,013,872.42    | 0          | 5         
71    | 1,935,793.34    | 0          | 5         
72    | 1,890,971.55    | 0          | 5         
73    | 1,879,407.69    | 0          | 5         
74    | 1,778,463.40    | 0          | 5         
75    | 1,774,314.60    | 0          | 5         
76    | 1,748,758.84    | 0          | 5         
77    | 1,742,250.08    | 0          | 5         
78    | 1,730,945.56    | 0          | 5         
79    | 1,717,912.62    | 0          | 5         
80    | 1,709,063.52    | 0          | 5         
81    | 1,669,266.73    | 0          | 5         
82    | 1,659,297.30    | 0          | 5         
83    | 1,647,193.51    | 0          | 5         
84    | 1,636,052.21    | 0          | 5         
85    | 1,617,465.27    | 0          | 5         
86    | 1,617,465.27    | 0          | 5         
87    | 1,612,360.63    | 0          | 5         
88    | 1,602,868.14    | 0          | 5         
89    | 1,602,868.14    | 0          | 5         
90    | 1,596,752.16    | 0          | 5         
91    | 1,595,531.13    | 0          | 5         
92    | 1,590,390.60    | 0          | 5         
93    | 1,578,786.57    | 0          | 5         
94    | 1,578,786.57    | 0          | 5         
95    | 1,571,242.60    | 0          | 5         
96    | 1,550,021.30    | 0          | 5         
97    | 1,540,261.39    | 0          | 5         
98    | 1,535,737.72    | 0          | 5         
99    | 1,527,284.93    | 0          | 5         
100   | 1,519,373.71    | 0          | 5         
101   | 1,467,588.77    | 0          | 5         
102   | 1,460,216.68    | 0          | 5         
103   | 1,458,484.37    | 0          | 5         
104   | 1,445,054.25    | 0          | 5         
105   | 1,428,698.64    | 0          | 5         
106   | 1,392,968.93    | 0          | 5         
107   | 1,391,384.45    | 0          | 5         
108   | 1,391,384.45    | 0          | 5         
109   | 1,388,277.12    | 0          | 5         
110   | 1,383,458.98    | 0          | 5         
111   | 1,377,202.95    | 0          | 5         
112   | 1,377,202.95    | 0          | 5         
113   | 1,352,540.88    | 0          | 5         
114   | 1,352,540.88    | 0          | 5         
115   | 1,352,540.88    | 0          | 5         
116   | 1,348,917.12    | 0          | 5         
117   | 1,285,655.88    | 0          | 5         
118   | 1,285,655.88    | 0          | 5         
119   | 1,284,356.44    | 0          | 5         
120   | 1,269,912.65    | 0          | 5         
121   | 1,268,716.91    | 0          | 5         
122   | 1,267,440.18    | 0          | 5         
123   | 1,250,677.02    | 0          | 5         
124   | 1,247,254.45    | 0          | 5         
125   | 1,247,254.45    | 0          | 5         
126   | 1,242,184.30    | 0          | 5         
127   | 1,237,355.55    | 0          | 5         
128   | 1,226,317.99    | 0          | 5         
129   | 1,195,733.33    | 0          | 5         
130   | 1,195,733.33    | 0          | 5         
131   | 1,195,733.33    | 0          | 5         
132   | 1,195,733.33    | 0          | 5         
133   | 1,195,733.33    | 0          | 5         
134   | 1,195,733.33    | 0          | 5         
135   | 1,195,733.33    | 0          | 5         
136   | 1,195,733.33    | 0          | 5         
137   | 1,195,733.33    | 0          | 5         
138   | 1,195,733.33    | 0          | 5         
139   | 1,194,962.79    | 0          | 5         
140   | 1,194,962.79    | 0          | 5         
141   | 1,194,962.79    | 0          | 5         
142   | 1,194,962.79    | 0          | 5         
143   | 1,194,962.79    | 0          | 5         
144   | 1,194,962.79    | 0          | 5         
145   | 1,194,709.09    | 0          | 5         
146   | 1,194,709.09    | 0          | 5         
147   | 1,194,709.09    | 0          | 5         
148   | 1,194,709.09    | 0          | 5         
149   | 1,194,709.09    | 0          | 5         
150   | 1,194,709.09    | 0          | 5         
151   | 1,194,709.09    | 0          | 5         
152   | 1,194,709.09    | 0          | 5         
153   | 1,194,461.11    | 0          | 5         
154   | 1,194,461.11    | 0          | 5         
155   | 1,194,461.11    | 0          | 5         
156   | 1,194,461.11    | 0          | 5         
157   | 1,194,461.11    | 0          | 5         
158   | 1,194,275.75    | 0          | 5         
159   | 1,194,275.75    | 0          | 5         
160   | 1,194,275.75    | 0          | 5         
161   | 1,194,275.75    | 0          | 5         
162   | 1,194,275.75    | 0          | 5         
163   | 1,194,275.75    | 0          | 5         
164   | 1,194,275.75    | 0          | 5         
165   | 1,194,275.75    | 0          | 5         
166   | 1,194,125.00    | 0          | 5         
167   | 1,194,125.00    | 0          | 5         
168   | 1,193,433.33    | 0          | 5         
169   | 1,193,433.33    | 0          | 5         
170   | 1,193,433.33    | 0          | 5         
