==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 15
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 162,400.00
  RMP Relaxed Value (Root): 154,185.65
  Integrality Gap       : 5.3276 %
  MIP Best Bound (Final)  : 162,400.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 63.9557 sec
  Iterations      : 183
  RMP Time  : 34.9488 s
  MIP Time  : 2.2944 s
  Pool Search Time: 2.1693 s
  Graph Search Time: 24.4166 s
  MIP Decision Variables: 1050 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1770
  Pool Hits (Reused from History)   : 280
  Graph Gen (Newly Created)         : 760
  Pool Hit Rate                     : 26.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  325 / Total Gen:  325
       -> Avg Length of Unique Patterns: 45.8 hours
  Type: TypeB  | Unique Patterns:  358 / Total Gen:  716
       -> Avg Length of Unique Patterns: 34.4 hours
  Type: TypeC  | Unique Patterns:  362 / Total Gen:  724
       -> Avg Length of Unique Patterns: 23.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 33 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 18 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 60,060,500.00   | 10         | 0         
3     | 25,136,700.00   | 10         | 0         
4     | 18,178,350.00   | 10         | 0         
5     | 11,944,075.00   | 10         | 0         
6     | 11,615,526.30   | 10         | 0         
7     | 10,525,714.99   | 10         | 0         
8     | 10,151,357.74   | 10         | 0         
9     | 9,824,239.38    | 10         | 0         
10    | 9,711,198.29    | 10         | 0         
11    | 9,473,730.09    | 10         | 0         
12    | 9,462,699.06    | 8          | 0         
13    | 9,453,495.57    | 0          | 5         
14    | 6,189,199.99    | 10         | 0         
15    | 5,794,712.50    | 10         | 0         
16    | 5,563,737.50    | 10         | 0         
17    | 5,496,975.23    | 10         | 0         
18    | 5,457,222.83    | 6          | 0         
19    | 5,412,643.86    | 5          | 5         
20    | 3,270,359.64    | 10         | 0         
21    | 2,989,020.00    | 10         | 0         
22    | 2,964,347.14    | 1          | 5         
23    | 2,817,936.86    | 2          | 5         
24    | 2,331,798.39    | 10         | 0         
25    | 2,288,097.65    | 6          | 0         
26    | 2,282,033.37    | 0          | 5         
27    | 2,003,172.02    | 10         | 0         
28    | 1,970,201.73    | 3          | 5         
29    | 1,701,841.41    | 7          | 0         
30    | 1,697,362.64    | 2          | 5         
31    | 1,536,167.25    | 10         | 0         
32    | 1,513,826.83    | 0          | 5         
33    | 1,278,976.37    | 10         | 0         
34    | 1,275,178.74    | 1          | 5         
35    | 1,217,024.94    | 2          | 5         
36    | 1,141,815.14    | 0          | 5         
37    | 1,004,300.10    | 8          | 0         
38    | 1,001,949.83    | 3          | 5         
39    | 902,254.29      | 2          | 5         
40    | 835,571.30      | 8          | 0         
