==========================================================
 ANALYSIS REPORT: Week 11
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 5
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 3,192,700.00
  RMP Relaxed Value (Root): 741,260.24
  Integrality Gap       : 330.7124 %
  MIP Best Bound (Final)  : 3,192,700.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 93.2575 sec
  Iterations      : 158
  RMP Time  : 48.9724 s
  MIP Time  : 12.9500 s
  Pool Search Time: 3.0917 s
  Graph Search Time: 28.1118 s
  MIP Decision Variables: 924 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1668
  Pool Hits (Reused from History)   : 256
  Graph Gen (Newly Created)         : 658
  Pool Hit Rate                     : 28.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  315 / Total Gen:  315
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  337 / Total Gen:  674
       -> Avg Length of Unique Patterns: 37.3 hours
  Type: TypeC  | Unique Patterns:  337 / Total Gen:  674
       -> Avg Length of Unique Patterns: 25.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 39 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 109,012,000.00  | 10         | 0         
2     | 76,060,800.00   | 10         | 0         
3     | 38,128,300.00   | 10         | 0         
4     | 21,390,100.00   | 10         | 0         
5     | 16,188,300.00   | 10         | 0         
6     | 14,193,080.00   | 10         | 0         
7     | 12,914,109.01   | 10         | 0         
8     | 11,751,853.98   | 10         | 0         
9     | 11,166,313.75   | 10         | 0         
10    | 10,690,638.33   | 10         | 0         
11    | 10,367,533.32   | 10         | 0         
12    | 10,339,970.44   | 10         | 0         
13    | 10,220,655.10   | 1          | 5         
14    | 7,365,223.65    | 10         | 0         
15    | 7,033,541.67    | 10         | 0         
16    | 6,954,164.14    | 7          | 0         
17    | 6,940,583.41    | 0          | 5         
18    | 5,305,185.68    | 10         | 0         
19    | 5,283,017.80    | 10         | 0         
20    | 5,252,020.72    | 4          | 5         
21    | 4,584,417.76    | 3          | 5         
22    | 4,046,388.48    | 7          | 0         
23    | 4,045,959.96    | 0          | 5         
24    | 3,545,639.29    | 7          | 0         
25    | 3,538,792.04    | 0          | 5         
26    | 3,319,533.26    | 10         | 0         
27    | 3,303,977.46    | 10         | 0         
28    | 3,297,089.64    | 0          | 5         
29    | 3,073,805.71    | 3          | 5         
30    | 2,966,031.23    | 5          | 5         
31    | 2,857,818.46    | 4          | 5         
32    | 2,747,994.14    | 2          | 5         
33    | 2,654,475.60    | 2          | 5         
34    | 2,542,081.18    | 4          | 5         
35    | 2,448,951.96    | 0          | 5         
36    | 2,256,141.06    | 4          | 5         
37    | 2,162,777.88    | 4          | 5         
38    | 2,032,260.65    | 2          | 5         
39    | 1,910,505.05    | 6          | 0         
40    | 1,901,976.26    | 0          | 5         
41    | 1,803,258.41    | 0          | 5         
42    | 1,784,561.14    | 2          | 5         
43    | 1,755,464.78    | 0          | 5         
44    | 1,655,406.24    | 0          | 5         
45    | 1,610,527.36    | 0          | 5         
46    | 1,516,611.96    | 2          | 5         
47    | 1,460,986.67    | 1          | 5         
48    | 1,409,136.00    | 0          | 5         
49    | 1,332,272.37    | 2          | 5         
50    | 1,312,245.07    | 0          | 5         
51    | 1,304,536.42    | 0          | 5         
52    | 1,291,712.07    | 0          | 5         
53    | 1,269,518.09    | 0          | 5         
54    | 1,238,372.54    | 2          | 5         
55    | 1,238,306.78    | 0          | 5         
56    | 1,225,755.46    | 2          | 5         
57    | 1,215,906.15    | 0          | 5         
58    | 1,182,879.48    | 0          | 5         
59    | 1,172,318.23    | 0          | 5         
60    | 1,146,693.82    | 0          | 5         
61    | 1,117,741.46    | 0          | 5         
62    | 1,097,015.00    | 0          | 5         
63    | 1,076,221.58    | 0          | 5         
64    | 1,052,777.33    | 0          | 5         
65    | 1,050,573.98    | 0          | 5         
66    | 1,037,229.26    | 0          | 5         
67    | 1,013,948.18    | 0          | 5         
68    | 988,294.43      | 0          | 5         
69    | 982,308.05      | 0          | 5         
70    | 970,650.87      | 0          | 5         
71    | 939,711.05      | 0          | 5         
72    | 927,301.51      | 0          | 5         
73    | 916,061.15      | 0          | 5         
74    | 903,215.43      | 0          | 5         
75    | 866,567.72      | 0          | 5         
76    | 844,753.10      | 0          | 5         
77    | 839,296.36      | 0          | 5         
78    | 832,759.68      | 0          | 5         
79    | 828,282.24      | 0          | 5         
80    | 821,504.62      | 0          | 5         
81    | 813,439.37      | 0          | 5         
82    | 807,986.44      | 0          | 5         
83    | 793,536.58      | 0          | 5         
84    | 783,945.92      | 0          | 5         
85    | 781,936.29      | 0          | 5         
86    | 780,767.50      | 0          | 5         
87    | 780,767.50      | 0          | 5         
88    | 777,956.34      | 0          | 5         
89    | 767,534.47      | 0          | 5         
90    | 767,438.18      | 0          | 5         
91    | 765,639.40      | 0          | 5         
92    | 762,122.57      | 0          | 5         
93    | 761,844.31      | 0          | 5         
94    | 761,844.31      | 0          | 5         
95    | 761,809.32      | 0          | 5         
96    | 757,688.52      | 0          | 5         
97    | 757,688.52      | 0          | 5         
98    | 754,264.65      | 0          | 5         
99    | 754,264.65      | 0          | 5         
100   | 753,473.47      | 0          | 5         
101   | 753,473.47      | 0          | 5         
102   | 753,473.47      | 0          | 5         
103   | 751,690.40      | 0          | 5         
104   | 750,886.49      | 0          | 5         
105   | 749,778.96      | 0          | 5         
106   | 747,840.52      | 0          | 5         
107   | 747,493.02      | 0          | 5         
108   | 747,493.02      | 0          | 5         
109   | 747,493.02      | 0          | 5         
110   | 744,449.71      | 0          | 5         
111   | 743,952.82      | 0          | 5         
112   | 743,952.82      | 0          | 4         
113   | 743,952.82      | 0          | 5         
114   | 743,681.26      | 0          | 5         
115   | 743,681.26      | 0          | 5         
116   | 743,681.25      | 0          | 4         
117   | 743,621.63      | 0          | 5         
118   | 743,621.63      | 0          | 5         
119   | 743,485.26      | 0          | 4         
120   | 743,485.26      | 0          | 5         
121   | 743,485.26      | 0          | 4         
122   | 743,012.86      | 0          | 5         
123   | 742,833.95      | 0          | 5         
124   | 742,666.04      | 0          | 5         
125   | 742,666.04      | 0          | 5         
126   | 742,666.04      | 0          | 5         
127   | 742,666.04      | 0          | 5         
128   | 742,456.88      | 0          | 5         
129   | 742,456.88      | 0          | 5         
130   | 742,432.01      | 0          | 4         
131   | 742,432.01      | 0          | 4         
132   | 742,432.01      | 0          | 5         
133   | 742,286.88      | 0          | 5         
134   | 742,171.97      | 0          | 5         
135   | 742,171.97      | 0          | 5         
136   | 742,159.80      | 0          | 4         
137   | 742,159.80      | 0          | 4         
138   | 742,123.23      | 0          | 5         
139   | 741,833.49      | 0          | 4         
140   | 741,779.17      | 0          | 5         
141   | 741,501.51      | 0          | 5         
142   | 741,469.29      | 0          | 4         
143   | 741,421.74      | 0          | 4         
144   | 741,356.36      | 0          | 4         
145   | 741,356.36      | 0          | 4         
146   | 741,356.36      | 0          | 4         
147   | 741,356.36      | 0          | 4         
148   | 741,350.68      | 0          | 5         
149   | 741,317.61      | 0          | 4         
150   | 741,317.61      | 0          | 4         
151   | 741,295.64      | 0          | 5         
152   | 741,295.64      | 0          | 4         
153   | 741,260.24      | 0          | 4         
154   | 741,260.24      | 0          | 4         
155   | 741,260.24      | 0          | 4         
156   | 741,260.24      | 0          | 5         
157   | 741,260.24      | 0          | 4         
158   | 741,260.24      | 0          | 5         
