==========================================================
 ANALYSIS REPORT: Week 16
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600.0
  tol                  : 1e-08
  patience             : 5
  mip_rc_threshold     : 10000000000.0
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 1,190,300.00
  RMP Relaxed Value (Root): 685,266.07
  Integrality Gap       : 73.6990 %
  MIP Best Bound (Final)  : 1,190,300.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 62.1846 sec
  Iterations      : 140
  RMP Time  : 28.7664 s
  MIP Time  : 1.4748 s
  Pool Search Time: 0.0008 s
  Graph Search Time: 31.8536 s
  MIP Decision Variables: 710 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 710
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 700
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  141 / Total Gen:  141
       -> Avg Length of Unique Patterns: 45.6 hours
  Type: TypeB  | Unique Patterns:  141 / Total Gen:  282
       -> Avg Length of Unique Patterns: 35.1 hours
  Type: TypeC  | Unique Patterns:  141 / Total Gen:  282
       -> Avg Length of Unique Patterns: 22.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 36 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 24 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 101,016,000.00  | 0          | 5         
2     | 40,130,700.00   | 0          | 5         
3     | 20,185,300.00   | 0          | 5         
4     | 13,182,700.00   | 0          | 5         
5     | 8,181,500.00    | 0          | 5         
6     | 8,176,466.63    | 0          | 5         
7     | 7,508,333.28    | 0          | 5         
8     | 7,508,333.28    | 0          | 5         
9     | 7,066,622.18    | 0          | 5         
10    | 6,476,930.00    | 0          | 5         
11    | 6,236,156.83    | 0          | 5         
12    | 5,738,695.13    | 0          | 5         
13    | 5,602,540.34    | 0          | 5         
14    | 4,967,479.28    | 0          | 5         
15    | 4,715,520.85    | 0          | 5         
16    | 4,264,213.66    | 0          | 5         
17    | 4,004,152.82    | 0          | 5         
18    | 3,874,266.23    | 0          | 5         
19    | 3,754,807.46    | 0          | 5         
20    | 3,626,873.50    | 0          | 5         
21    | 3,505,484.11    | 0          | 5         
22    | 3,246,425.46    | 0          | 5         
23    | 2,976,446.71    | 0          | 5         
24    | 2,753,342.97    | 0          | 5         
25    | 2,607,725.22    | 0          | 5         
26    | 2,539,465.97    | 0          | 5         
27    | 2,462,456.69    | 0          | 5         
28    | 2,445,292.72    | 0          | 5         
29    | 2,306,707.37    | 0          | 5         
30    | 2,063,603.57    | 0          | 5         
31    | 2,002,391.23    | 0          | 5         
32    | 1,936,846.70    | 0          | 5         
33    | 1,816,555.92    | 0          | 5         
34    | 1,735,620.61    | 0          | 5         
35    | 1,691,635.72    | 0          | 5         
36    | 1,644,552.66    | 0          | 5         
37    | 1,568,108.75    | 0          | 5         
38    | 1,543,839.48    | 0          | 5         
39    | 1,505,823.93    | 0          | 5         
40    | 1,492,318.55    | 0          | 5         
41    | 1,480,180.59    | 0          | 5         
42    | 1,421,049.61    | 0          | 5         
43    | 1,366,813.64    | 0          | 5         
44    | 1,321,281.50    | 0          | 5         
45    | 1,249,997.85    | 0          | 5         
46    | 1,233,356.66    | 0          | 5         
47    | 1,193,335.60    | 0          | 5         
48    | 1,131,745.01    | 0          | 5         
49    | 1,127,655.03    | 0          | 5         
50    | 1,111,355.50    | 0          | 5         
51    | 1,094,018.05    | 0          | 5         
52    | 1,083,106.22    | 0          | 5         
53    | 1,061,887.18    | 0          | 5         
54    | 1,060,056.24    | 0          | 5         
55    | 1,048,316.70    | 0          | 5         
56    | 1,036,662.62    | 0          | 5         
57    | 1,034,990.01    | 0          | 5         
58    | 1,034,935.54    | 0          | 5         
59    | 1,025,659.12    | 0          | 5         
60    | 1,018,294.47    | 0          | 5         
61    | 1,005,843.28    | 0          | 5         
62    | 1,004,125.74    | 0          | 5         
63    | 984,246.45      | 0          | 5         
64    | 976,111.15      | 0          | 5         
65    | 929,868.01      | 0          | 5         
66    | 910,311.30      | 0          | 5         
67    | 910,311.30      | 0          | 5         
68    | 898,113.17      | 0          | 5         
69    | 858,401.68      | 0          | 5         
70    | 849,459.83      | 0          | 5         
71    | 794,850.00      | 0          | 5         
72    | 794,850.00      | 0          | 5         
73    | 786,920.68      | 0          | 5         
74    | 786,425.97      | 0          | 5         
75    | 785,447.05      | 0          | 5         
76    | 771,657.44      | 0          | 5         
77    | 757,298.47      | 0          | 5         
78    | 736,139.72      | 0          | 5         
79    | 727,573.47      | 0          | 5         
80    | 723,285.88      | 0          | 5         
81    | 721,425.11      | 0          | 5         
82    | 692,200.72      | 0          | 5         
83    | 692,200.73      | 0          | 5         
84    | 691,671.42      | 0          | 5         
85    | 691,456.52      | 0          | 5         
86    | 691,456.52      | 0          | 5         
87    | 691,456.52      | 0          | 5         
88    | 691,060.60      | 0          | 5         
89    | 690,789.84      | 0          | 5         
90    | 690,789.84      | 0          | 5         
91    | 690,551.08      | 0          | 5         
92    | 690,355.00      | 0          | 5         
93    | 690,355.00      | 0          | 5         
94    | 690,355.00      | 0          | 5         
95    | 690,355.00      | 0          | 5         
96    | 690,352.43      | 0          | 5         
97    | 690,352.43      | 0          | 5         
98    | 690,296.37      | 0          | 5         
99    | 689,924.95      | 0          | 5         
100   | 689,162.86      | 0          | 5         
101   | 689,162.86      | 0          | 5         
102   | 689,162.86      | 0          | 5         
103   | 689,162.86      | 0          | 5         
104   | 689,162.86      | 0          | 5         
105   | 688,712.50      | 0          | 5         
106   | 688,580.91      | 0          | 5         
107   | 688,580.91      | 0          | 5         
108   | 688,305.56      | 0          | 5         
109   | 688,305.56      | 0          | 5         
110   | 688,157.22      | 0          | 5         
111   | 687,695.65      | 0          | 5         
112   | 687,695.65      | 0          | 5         
113   | 687,695.65      | 0          | 5         
114   | 687,695.65      | 0          | 5         
115   | 687,123.02      | 0          | 5         
116   | 687,063.64      | 0          | 5         
117   | 687,063.64      | 0          | 5         
118   | 687,063.64      | 0          | 5         
119   | 686,801.24      | 0          | 5         
120   | 686,801.24      | 0          | 5         
121   | 686,801.24      | 0          | 5         
122   | 686,801.24      | 0          | 5         
123   | 686,801.23      | 0          | 5         
124   | 686,784.51      | 0          | 5         
125   | 686,784.51      | 0          | 5         
126   | 686,784.51      | 0          | 5         
127   | 686,783.92      | 0          | 5         
128   | 686,551.52      | 0          | 5         
129   | 686,126.31      | 0          | 5         
130   | 686,126.31      | 0          | 5         
131   | 685,802.78      | 0          | 5         
132   | 685,802.78      | 0          | 5         
133   | 685,802.78      | 0          | 5         
134   | 685,464.29      | 0          | 5         
135   | 685,266.07      | 0          | 5         
136   | 685,266.07      | 0          | 5         
137   | 685,266.07      | 0          | 5         
138   | 685,266.07      | 0          | 5         
139   | 685,266.07      | 0          | 5         
140   | 685,266.07      | 0          | 5         
