==========================================================
 ANALYSIS REPORT: Week 20
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,193,200.00
  RMP Relaxed Value (Root): 1,024,325.00
  Integrality Gap       : 114.1117 %
  Execution Time  : 258.0467 sec
  Iterations      : 309
  RMP Time  : 170.8235 s
  MIP Time  : 9.8022 s
  Pool Search Time: 7.9403 s
  Graph Search Time: 68.9638 s
  MIP Decision Variables: 1461 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2266
  Pool Hits (Reused from History)   : 195
  Graph Gen (Newly Created)         : 1256
  Pool Hit Rate                     : 13.4%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  408 / Total Gen:  408
       -> Avg Length of Unique Patterns: 47.4 hours
  Type: TypeB  | Unique Patterns:  413 / Total Gen:  826
       -> Avg Length of Unique Patterns: 36.1 hours
  Type: TypeC  | Unique Patterns:  514 / Total Gen: 1027
       -> Avg Length of Unique Patterns: 24.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 26 hours worked
  Emp 4  (TypeC): 29 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 105,016,000.00  | 10         | 0         
2     | 74,061,800.00   | 10         | 0         
3     | 42,138,100.00   | 10         | 0         
4     | 29,183,700.00   | 10         | 0         
5     | 25,685,350.00   | 10         | 0         
6     | 25,325,971.44   | 10         | 0         
7     | 22,653,153.33   | 10         | 0         
8     | 21,625,012.50   | 10         | 0         
9     | 21,298,511.09   | 10         | 0         
10    | 21,008,560.69   | 10         | 0         
11    | 20,734,703.89   | 10         | 0         
12    | 20,718,470.62   | 1          | 5         
13    | 14,552,254.47   | 10         | 0         
14    | 14,189,390.00   | 10         | 0         
15    | 13,989,119.96   | 10         | 0         
16    | 13,968,940.76   | 0          | 5         
17    | 11,730,882.12   | 10         | 0         
18    | 11,562,231.25   | 6          | 0         
19    | 11,401,083.36   | 2          | 5         
20    | 10,217,493.05   | 8          | 0         
21    | 10,185,472.66   | 0          | 5         
22    | 8,977,120.70    | 2          | 5         
23    | 7,616,803.31    | 7          | 0         
24    | 7,598,698.18    | 2          | 5         
25    | 6,892,760.00    | 2          | 5         
26    | 6,741,459.94    | 0          | 5         
27    | 5,970,983.54    | 0          | 5         
28    | 5,627,065.47    | 3          | 5         
29    | 5,331,826.08    | 6          | 0         
30    | 5,316,510.23    | 0          | 5         
31    | 4,963,461.80    | 2          | 5         
32    | 4,639,783.05    | 2          | 5         
33    | 4,505,672.60    | 0          | 5         
34    | 4,238,377.42    | 0          | 5         
35    | 4,030,915.95    | 0          | 5         
36    | 3,906,983.94    | 0          | 5         
37    | 3,819,629.16    | 0          | 5         
38    | 3,699,291.55    | 0          | 5         
39    | 3,578,486.89    | 0          | 5         
40    | 3,513,547.24    | 0          | 5         
41    | 3,457,469.43    | 0          | 5         
42    | 3,372,551.72    | 0          | 5         
43    | 3,349,326.54    | 0          | 5         
44    | 3,192,373.47    | 0          | 5         
45    | 3,051,512.40    | 0          | 5         
46    | 2,980,768.06    | 0          | 5         
47    | 2,920,978.73    | 0          | 5         
48    | 2,872,459.94    | 0          | 5         
49    | 2,824,289.17    | 0          | 5         
50    | 2,717,498.17    | 2          | 5         
51    | 2,656,551.33    | 0          | 5         
52    | 2,616,632.99    | 0          | 5         
53    | 2,512,629.23    | 0          | 5         
54    | 2,427,725.88    | 0          | 5         
55    | 2,347,878.07    | 0          | 5         
56    | 2,258,226.72    | 0          | 5         
57    | 2,202,977.13    | 0          | 5         
58    | 2,145,379.04    | 0          | 5         
59    | 2,124,611.91    | 0          | 5         
60    | 2,060,931.03    | 0          | 5         
61    | 1,992,868.94    | 0          | 5         
62    | 1,921,448.09    | 0          | 5         
63    | 1,868,441.99    | 0          | 5         
64    | 1,828,691.75    | 0          | 5         
65    | 1,739,834.82    | 0          | 5         
66    | 1,713,335.94    | 0          | 5         
67    | 1,650,753.38    | 0          | 5         
68    | 1,604,298.76    | 0          | 5         
69    | 1,577,110.53    | 0          | 5         
70    | 1,537,567.73    | 0          | 5         
71    | 1,517,317.07    | 0          | 5         
72    | 1,480,694.85    | 0          | 5         
73    | 1,468,257.93    | 0          | 5         
74    | 1,458,540.59    | 0          | 5         
75    | 1,457,253.35    | 0          | 5         
76    | 1,400,563.76    | 0          | 5         
77    | 1,380,385.47    | 0          | 5         
78    | 1,360,120.82    | 0          | 5         
79    | 1,356,056.03    | 0          | 5         
80    | 1,348,112.74    | 0          | 5         
81    | 1,335,854.54    | 0          | 5         
82    | 1,323,732.11    | 0          | 5         
83    | 1,311,979.82    | 0          | 5         
84    | 1,299,616.90    | 0          | 5         
85    | 1,250,571.67    | 0          | 5         
86    | 1,240,359.32    | 0          | 5         
87    | 1,240,359.32    | 0          | 5         
88    | 1,187,686.19    | 0          | 5         
89    | 1,186,639.87    | 0          | 5         
90    | 1,165,843.33    | 0          | 5         
91    | 1,135,953.27    | 0          | 5         
92    | 1,118,389.22    | 0          | 5         
93    | 1,097,289.27    | 0          | 5         
94    | 1,082,325.11    | 0          | 5         
95    | 1,079,991.29    | 0          | 5         
96    | 1,078,287.41    | 0          | 5         
97    | 1,078,219.57    | 0          | 5         
98    | 1,076,893.76    | 0          | 5         
99    | 1,074,663.59    | 0          | 5         
100   | 1,073,378.17    | 0          | 5         
101   | 1,063,909.21    | 0          | 5         
102   | 1,059,302.28    | 0          | 5         
103   | 1,054,809.32    | 0          | 5         
104   | 1,050,904.87    | 0          | 5         
105   | 1,048,669.80    | 0          | 5         
106   | 1,048,669.80    | 0          | 5         
107   | 1,031,641.89    | 0          | 5         
108   | 1,031,641.89    | 0          | 5         
109   | 1,031,310.88    | 0          | 5         
110   | 1,030,368.88    | 0          | 5         
111   | 1,030,368.88    | 0          | 5         
112   | 1,030,368.88    | 0          | 5         
113   | 1,029,991.33    | 0          | 5         
114   | 1,029,812.71    | 0          | 5         
115   | 1,029,789.39    | 0          | 5         
116   | 1,029,770.13    | 0          | 5         
117   | 1,029,770.13    | 0          | 5         
118   | 1,029,643.58    | 0          | 5         
119   | 1,029,631.17    | 0          | 5         
120   | 1,029,542.45    | 0          | 5         
121   | 1,029,513.87    | 0          | 5         
122   | 1,029,513.87    | 0          | 5         
123   | 1,029,513.87    | 0          | 5         
124   | 1,029,513.87    | 0          | 5         
125   | 1,029,493.31    | 0          | 5         
126   | 1,029,480.26    | 0          | 5         
127   | 1,028,719.95    | 0          | 5         
128   | 1,028,719.95    | 0          | 5         
129   | 1,027,715.04    | 0          | 5         
130   | 1,027,715.04    | 0          | 5         
131   | 1,027,418.49    | 0          | 5         
132   | 1,027,146.88    | 0          | 5         
133   | 1,027,146.88    | 0          | 5         
134   | 1,027,125.81    | 0          | 5         
135   | 1,027,125.81    | 0          | 5         
136   | 1,027,125.81    | 0          | 5         
137   | 1,027,011.69    | 0          | 5         
138   | 1,027,011.69    | 0          | 5         
139   | 1,027,011.69    | 0          | 5         
140   | 1,027,011.69    | 0          | 5         
141   | 1,026,947.83    | 0          | 5         
142   | 1,026,947.71    | 0          | 5         
143   | 1,026,438.03    | 0          | 5         
144   | 1,026,428.57    | 0          | 5         
145   | 1,026,425.39    | 0          | 4         
146   | 1,026,425.39    | 0          | 5         
147   | 1,026,145.82    | 0          | 5         
148   | 1,026,145.82    | 0          | 5         
149   | 1,026,145.82    | 0          | 4         
150   | 1,025,954.40    | 0          | 5         
151   | 1,025,954.40    | 0          | 5         
152   | 1,025,954.40    | 0          | 4         
153   | 1,025,954.40    | 0          | 4         
154   | 1,025,853.91    | 0          | 5         
155   | 1,025,853.91    | 0          | 5         
156   | 1,025,853.91    | 0          | 5         
157   | 1,025,853.91    | 0          | 5         
158   | 1,025,853.91    | 0          | 5         
159   | 1,025,707.78    | 0          | 5         
160   | 1,025,707.78    | 0          | 5         
161   | 1,025,674.69    | 0          | 3         
162   | 1,025,674.69    | 0          | 3         
163   | 1,025,674.69    | 0          | 5         
164   | 1,025,674.69    | 0          | 3         
165   | 1,025,674.69    | 0          | 3         
166   | 1,025,674.69    | 0          | 5         
167   | 1,025,601.93    | 0          | 5         
168   | 1,025,457.65    | 0          | 5         
169   | 1,025,457.65    | 0          | 5         
170   | 1,025,420.51    | 0          | 5         
171   | 1,025,420.51    | 0          | 5         
172   | 1,025,420.51    | 0          | 5         
173   | 1,025,420.51    | 0          | 5         
174   | 1,025,420.51    | 0          | 5         
175   | 1,025,207.93    | 0          | 5         
176   | 1,025,111.98    | 0          | 5         
177   | 1,025,111.98    | 0          | 5         
178   | 1,025,111.98    | 0          | 5         
179   | 1,025,111.98    | 0          | 5         
180   | 1,025,111.98    | 0          | 5         
181   | 1,025,111.98    | 0          | 5         
182   | 1,025,106.33    | 0          | 5         
183   | 1,025,106.33    | 0          | 5         
184   | 1,025,106.33    | 0          | 4         
185   | 1,025,106.33    | 0          | 5         
186   | 1,025,106.33    | 0          | 4         
187   | 1,025,075.75    | 0          | 5         
188   | 1,025,075.75    | 0          | 5         
189   | 1,024,853.94    | 0          | 4         
190   | 1,024,853.94    | 0          | 4         
191   | 1,024,853.94    | 0          | 5         
192   | 1,024,852.70    | 0          | 5         
193   | 1,024,614.00    | 0          | 5         
194   | 1,024,614.00    | 0          | 5         
195   | 1,024,614.00    | 0          | 5         
196   | 1,024,614.00    | 0          | 4         
197   | 1,024,614.00    | 0          | 4         
198   | 1,024,614.00    | 0          | 5         
199   | 1,024,614.00    | 0          | 4         
200   | 1,024,614.00    | 0          | 5         
201   | 1,024,614.00    | 0          | 4         
202   | 1,024,614.00    | 0          | 5         
203   | 1,024,614.00    | 0          | 5         
204   | 1,024,614.00    | 0          | 5         
205   | 1,024,614.00    | 0          | 4         
206   | 1,024,614.00    | 0          | 4         
207   | 1,024,550.00    | 0          | 3         
208   | 1,024,550.00    | 0          | 5         
209   | 1,024,550.00    | 0          | 3         
210   | 1,024,359.66    | 0          | 4         
211   | 1,024,350.00    | 0          | 2         
212   | 1,024,350.00    | 0          | 2         
213   | 1,024,350.00    | 0          | 2         
214   | 1,024,350.00    | 0          | 2         
215   | 1,024,350.00    | 0          | 4         
216   | 1,024,350.00    | 0          | 3         
217   | 1,024,350.00    | 0          | 5         
218   | 1,024,350.00    | 0          | 3         
219   | 1,024,350.00    | 0          | 5         
220   | 1,024,350.00    | 0          | 2         
221   | 1,024,350.00    | 0          | 2         
222   | 1,024,350.00    | 0          | 2         
223   | 1,024,350.00    | 0          | 2         
224   | 1,024,335.83    | 0          | 5         
225   | 1,024,335.83    | 0          | 3         
226   | 1,024,335.83    | 0          | 3         
227   | 1,024,335.83    | 0          | 2         
228   | 1,024,335.83    | 0          | 3         
229   | 1,024,335.83    | 0          | 3         
230   | 1,024,335.83    | 0          | 5         
231   | 1,024,335.83    | 0          | 2         
232   | 1,024,335.83    | 0          | 3         
233   | 1,024,335.83    | 0          | 2         
234   | 1,024,335.83    | 0          | 5         
235   | 1,024,335.83    | 0          | 2         
236   | 1,024,335.83    | 0          | 5         
237   | 1,024,335.83    | 0          | 4         
238   | 1,024,335.83    | 0          | 2         
239   | 1,024,335.83    | 0          | 5         
240   | 1,024,335.83    | 0          | 2         
241   | 1,024,335.83    | 0          | 5         
242   | 1,024,335.83    | 0          | 3         
243   | 1,024,335.83    | 0          | 2         
244   | 1,024,335.83    | 0          | 5         
245   | 1,024,335.83    | 0          | 5         
246   | 1,024,335.83    | 0          | 5         
247   | 1,024,335.83    | 0          | 5         
248   | 1,024,335.83    | 0          | 4         
249   | 1,024,335.83    | 0          | 2         
250   | 1,024,335.83    | 0          | 4         
251   | 1,024,335.83    | 0          | 2         
252   | 1,024,335.83    | 0          | 5         
253   | 1,024,335.83    | 0          | 4         
254   | 1,024,335.83    | 0          | 4         
255   | 1,024,335.83    | 0          | 4         
256   | 1,024,335.83    | 0          | 2         
257   | 1,024,335.83    | 0          | 2         
258   | 1,024,335.83    | 0          | 2         
259   | 1,024,335.83    | 0          | 5         
260   | 1,024,335.83    | 0          | 2         
261   | 1,024,335.83    | 0          | 2         
262   | 1,024,335.83    | 0          | 5         
263   | 1,024,335.83    | 0          | 3         
264   | 1,024,335.83    | 0          | 2         
265   | 1,024,335.83    | 0          | 5         
266   | 1,024,335.83    | 0          | 2         
267   | 1,024,335.83    | 0          | 4         
268   | 1,024,335.83    | 0          | 5         
269   | 1,024,335.83    | 0          | 2         
270   | 1,024,335.83    | 0          | 5         
271   | 1,024,335.83    | 0          | 2         
272   | 1,024,335.83    | 0          | 5         
273   | 1,024,335.83    | 0          | 2         
274   | 1,024,335.83    | 0          | 2         
275   | 1,024,335.83    | 0          | 2         
276   | 1,024,335.83    | 0          | 4         
277   | 1,024,335.83    | 0          | 3         
278   | 1,024,335.83    | 0          | 2         
279   | 1,024,335.83    | 0          | 2         
280   | 1,024,335.83    | 0          | 2         
281   | 1,024,335.83    | 0          | 2         
282   | 1,024,335.83    | 0          | 4         
283   | 1,024,335.83    | 0          | 4         
284   | 1,024,335.83    | 0          | 4         
285   | 1,024,335.83    | 0          | 2         
286   | 1,024,335.83    | 0          | 5         
287   | 1,024,335.83    | 0          | 2         
288   | 1,024,335.29    | 0          | 5         
289   | 1,024,335.29    | 0          | 4         
290   | 1,024,335.29    | 0          | 5         
291   | 1,024,335.29    | 0          | 4         
292   | 1,024,335.29    | 0          | 4         
293   | 1,024,335.29    | 0          | 5         
294   | 1,024,335.29    | 0          | 4         
295   | 1,024,335.29    | 0          | 5         
296   | 1,024,335.29    | 0          | 5         
297   | 1,024,335.29    | 0          | 4         
298   | 1,024,335.29    | 0          | 4         
299   | 1,024,335.29    | 0          | 4         
300   | 1,024,325.00    | 0          | 4         
301   | 1,024,325.00    | 0          | 2         
302   | 1,024,325.00    | 0          | 2         
303   | 1,024,325.00    | 0          | 4         
304   | 1,024,325.00    | 0          | 3         
305   | 1,024,325.00    | 0          | 4         
306   | 1,024,325.00    | 0          | 4         
307   | 1,024,325.00    | 0          | 2         
308   | 1,024,325.00    | 0          | 2         
309   | 1,024,325.00    | 0          | 0         
