==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,192,500.00
  RMP Relaxed Value (Root): 1,191,200.00
  Integrality Gap       : 0.1091 %
  MIP Best Bound (Final)  : 1,191,200.00
  Final MIP Gap           : 0.1091 %
  Execution Time  : 356.5149 sec
  Iterations      : 390
  RMP Time  : 260.3607 s
  MIP Time  : 2.9480 s
  Pool Search Time: 11.3367 s
  Graph Search Time: 81.2283 s
  MIP Decision Variables: 1954 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2758
  Pool Hits (Reused from History)   : 196
  Graph Gen (Newly Created)         : 1748
  Pool Hit Rate                     : 10.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  491 / Total Gen:  491
       -> Avg Length of Unique Patterns: 47.3 hours
  Type: TypeB  | Unique Patterns:  582 / Total Gen: 1164
       -> Avg Length of Unique Patterns: 34.3 hours
  Type: TypeC  | Unique Patterns:  549 / Total Gen: 1098
       -> Avg Length of Unique Patterns: 23.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 26 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 10         | 0         
2     | 81,059,600.00   | 10         | 0         
3     | 48,120,500.00   | 10         | 0         
4     | 30,177,100.00   | 10         | 0         
5     | 29,171,700.00   | 10         | 0         
6     | 27,932,784.00   | 10         | 0         
7     | 27,314,542.84   | 10         | 0         
8     | 26,673,550.00   | 10         | 0         
9     | 26,171,037.97   | 10         | 0         
10    | 25,398,382.29   | 10         | 0         
11    | 25,249,284.59   | 10         | 0         
12    | 25,234,743.75   | 3          | 5         
13    | 19,609,792.53   | 10         | 0         
14    | 18,933,475.00   | 10         | 0         
15    | 18,909,585.68   | 5          | 5         
16    | 13,261,415.39   | 10         | 0         
17    | 12,896,765.18   | 10         | 0         
18    | 12,830,593.95   | 2          | 5         
19    | 10,471,035.17   | 7          | 0         
20    | 10,460,816.72   | 0          | 5         
21    | 9,298,706.58    | 0          | 5         
22    | 7,447,515.79    | 2          | 5         
23    | 6,640,394.62    | 7          | 0         
24    | 6,634,749.13    | 0          | 5         
25    | 6,167,911.12    | 6          | 0         
26    | 6,166,505.89    | 0          | 5         
27    | 5,704,006.46    | 10         | 0         
28    | 5,684,920.39    | 0          | 5         
29    | 5,385,709.85    | 2          | 5         
30    | 5,084,270.50    | 0          | 5         
31    | 4,876,008.41    | 0          | 5         
32    | 4,748,668.35    | 0          | 5         
33    | 4,678,390.98    | 2          | 5         
34    | 4,644,196.00    | 0          | 5         
35    | 4,548,490.76    | 0          | 5         
36    | 4,515,037.59    | 0          | 5         
37    | 4,447,910.69    | 0          | 5         
38    | 4,215,597.97    | 0          | 5         
39    | 4,127,297.02    | 0          | 5         
40    | 4,008,421.25    | 0          | 5         
41    | 3,992,517.10    | 0          | 5         
42    | 3,839,285.08    | 0          | 5         
43    | 3,671,352.68    | 0          | 5         
44    | 3,589,542.99    | 0          | 5         
45    | 3,569,595.82    | 0          | 5         
46    | 3,330,812.12    | 0          | 5         
47    | 3,175,375.75    | 0          | 5         
48    | 3,090,904.37    | 0          | 5         
49    | 3,000,076.51    | 0          | 5         
50    | 2,873,246.14    | 0          | 5         
51    | 2,850,660.14    | 0          | 5         
52    | 2,800,804.67    | 0          | 5         
53    | 2,776,709.36    | 0          | 5         
54    | 2,701,729.01    | 0          | 5         
55    | 2,655,074.61    | 0          | 5         
56    | 2,610,014.65    | 0          | 5         
57    | 2,529,684.16    | 0          | 5         
58    | 2,528,601.49    | 0          | 5         
59    | 2,508,084.16    | 0          | 5         
60    | 2,504,879.05    | 0          | 5         
61    | 2,421,486.88    | 0          | 5         
62    | 2,347,437.18    | 0          | 5         
63    | 2,280,469.92    | 0          | 5         
64    | 2,270,132.35    | 0          | 5         
65    | 2,223,881.37    | 0          | 5         
66    | 2,165,705.44    | 0          | 5         
67    | 2,134,129.09    | 0          | 5         
68    | 2,095,212.07    | 0          | 5         
69    | 2,044,332.58    | 0          | 5         
70    | 2,012,616.25    | 0          | 5         
71    | 1,979,939.80    | 0          | 5         
72    | 1,849,649.42    | 0          | 5         
73    | 1,804,875.34    | 0          | 5         
74    | 1,786,242.01    | 0          | 5         
75    | 1,757,723.50    | 0          | 5         
76    | 1,755,089.27    | 0          | 5         
77    | 1,722,924.56    | 0          | 5         
78    | 1,683,967.40    | 0          | 5         
79    | 1,642,813.81    | 0          | 5         
80    | 1,599,700.73    | 0          | 5         
81    | 1,596,630.45    | 0          | 5         
82    | 1,596,203.24    | 0          | 5         
83    | 1,591,444.17    | 0          | 5         
84    | 1,585,614.52    | 0          | 5         
85    | 1,501,782.48    | 0          | 5         
86    | 1,475,570.42    | 0          | 5         
87    | 1,475,570.42    | 0          | 5         
88    | 1,457,087.99    | 0          | 5         
89    | 1,447,642.28    | 0          | 5         
90    | 1,446,338.91    | 0          | 5         
91    | 1,446,089.13    | 0          | 5         
92    | 1,446,089.13    | 0          | 5         
93    | 1,446,089.13    | 0          | 5         
94    | 1,442,431.85    | 0          | 5         
95    | 1,440,401.72    | 0          | 5         
96    | 1,440,374.60    | 0          | 5         
97    | 1,438,504.80    | 0          | 5         
98    | 1,438,504.80    | 0          | 5         
99    | 1,438,504.80    | 0          | 5         
100   | 1,428,750.00    | 0          | 5         
101   | 1,428,750.00    | 0          | 5         
102   | 1,404,756.32    | 0          | 5         
103   | 1,391,114.93    | 0          | 5         
104   | 1,376,344.97    | 0          | 5         
105   | 1,376,344.97    | 0          | 5         
106   | 1,374,405.44    | 0          | 5         
107   | 1,371,229.91    | 0          | 5         
108   | 1,293,619.98    | 0          | 5         
109   | 1,279,414.07    | 0          | 5         
110   | 1,279,414.07    | 0          | 5         
111   | 1,260,138.07    | 0          | 5         
112   | 1,248,042.97    | 0          | 5         
113   | 1,248,042.97    | 0          | 5         
114   | 1,247,892.28    | 0          | 5         
115   | 1,237,123.62    | 0          | 5         
116   | 1,237,123.62    | 0          | 5         
117   | 1,231,325.00    | 0          | 5         
118   | 1,231,325.00    | 0          | 5         
119   | 1,231,325.00    | 0          | 5         
120   | 1,231,325.00    | 0          | 5         
121   | 1,231,325.00    | 0          | 5         
122   | 1,219,973.18    | 0          | 5         
123   | 1,219,973.18    | 0          | 5         
124   | 1,219,973.18    | 0          | 5         
125   | 1,219,973.18    | 0          | 5         
126   | 1,217,848.88    | 0          | 5         
127   | 1,195,604.55    | 0          | 5         
128   | 1,195,604.55    | 0          | 5         
129   | 1,195,604.55    | 0          | 5         
130   | 1,195,604.55    | 0          | 5         
131   | 1,195,604.55    | 0          | 5         
132   | 1,195,604.55    | 0          | 5         
133   | 1,195,604.55    | 0          | 5         
134   | 1,195,604.55    | 0          | 5         
135   | 1,195,604.55    | 0          | 5         
136   | 1,195,604.55    | 0          | 5         
137   | 1,195,604.55    | 0          | 5         
138   | 1,195,604.55    | 0          | 5         
139   | 1,195,604.55    | 0          | 5         
140   | 1,195,604.55    | 0          | 5         
141   | 1,195,604.55    | 0          | 5         
142   | 1,195,604.55    | 0          | 5         
143   | 1,195,604.55    | 0          | 5         
144   | 1,195,500.00    | 0          | 5         
145   | 1,195,500.00    | 0          | 5         
146   | 1,195,500.00    | 0          | 5         
147   | 1,195,500.00    | 0          | 5         
148   | 1,195,500.00    | 0          | 5         
149   | 1,195,500.00    | 0          | 5         
150   | 1,195,300.00    | 0          | 5         
151   | 1,194,846.43    | 0          | 5         
152   | 1,194,634.43    | 0          | 5         
153   | 1,194,371.44    | 0          | 5         
154   | 1,194,371.44    | 0          | 5         
155   | 1,194,371.44    | 0          | 5         
156   | 1,194,371.44    | 0          | 5         
157   | 1,194,371.44    | 0          | 5         
158   | 1,194,371.44    | 0          | 5         
159   | 1,194,371.44    | 0          | 5         
160   | 1,194,371.44    | 0          | 5         
161   | 1,194,371.44    | 0          | 5         
162   | 1,194,371.44    | 0          | 5         
163   | 1,194,371.44    | 0          | 5         
164   | 1,194,371.44    | 0          | 5         
165   | 1,194,371.44    | 0          | 5         
166   | 1,194,331.57    | 0          | 5         
167   | 1,194,331.57    | 0          | 5         
168   | 1,194,252.39    | 0          | 5         
169   | 1,194,252.39    | 0          | 5         
170   | 1,194,252.39    | 0          | 5         
171   | 1,194,252.39    | 0          | 5         
172   | 1,194,252.39    | 0          | 5         
173   | 1,194,252.39    | 0          | 5         
174   | 1,194,252.39    | 0          | 5         
175   | 1,194,252.39    | 0          | 5         
