==========================================================
 ANALYSIS REPORT: Week 7
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,177,700.00
  RMP Relaxed Value (Root): 185,125.00
  Integrality Gap       : 536.1648 %
  Execution Time  : 358.1397 sec
  Iterations      : 395
  RMP Time  : 247.2867 s
  MIP Time  : 8.7515 s
  Pool Search Time: 20.5874 s
  Graph Search Time: 80.8895 s
  MIP Decision Variables: 1768 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3421
  Pool Hits (Reused from History)   : 278
  Graph Gen (Newly Created)         : 1480
  Pool Hit Rate                     : 15.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  582 / Total Gen:  582
       -> Avg Length of Unique Patterns: 47.0 hours
  Type: TypeB  | Unique Patterns:  675 / Total Gen: 1350
       -> Avg Length of Unique Patterns: 37.3 hours
  Type: TypeC  | Unique Patterns:  742 / Total Gen: 1484
       -> Avg Length of Unique Patterns: 24.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 21 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 111,012,000.00  | 10         | 0         
2     | 74,062,100.00   | 10         | 0         
3     | 36,136,350.00   | 10         | 0         
4     | 17,699,250.00   | 10         | 0         
5     | 14,488,342.83   | 10         | 0         
6     | 12,953,700.00   | 10         | 0         
7     | 11,985,704.33   | 10         | 0         
8     | 11,495,949.03   | 10         | 0         
9     | 11,296,382.09   | 10         | 0         
10    | 10,973,003.19   | 10         | 0         
11    | 10,622,780.41   | 10         | 0         
12    | 10,607,641.61   | 10         | 0         
13    | 10,599,674.97   | 6          | 0         
14    | 10,596,773.95   | 4          | 5         
15    | 7,433,107.35    | 10         | 0         
16    | 7,136,545.43    | 10         | 0         
17    | 7,075,081.36    | 4          | 5         
18    | 5,732,510.84    | 10         | 0         
19    | 5,593,378.80    | 10         | 0         
20    | 5,529,841.24    | 7          | 0         
21    | 5,488,911.77    | 10         | 0         
22    | 5,480,703.88    | 2          | 5         
23    | 4,392,595.32    | 10         | 0         
24    | 4,343,911.08    | 1          | 5         
25    | 3,336,902.60    | 3          | 5         
26    | 2,955,122.45    | 6          | 0         
27    | 2,942,315.43    | 0          | 5         
28    | 2,705,626.04    | 4          | 5         
29    | 2,480,070.55    | 6          | 0         
30    | 2,426,221.96    | 10         | 0         
31    | 2,426,221.96    | 0          | 5         
32    | 2,138,668.31    | 8          | 0         
33    | 2,116,840.54    | 0          | 5         
34    | 1,836,937.23    | 1          | 5         
35    | 1,736,996.62    | 5          | 5         
36    | 1,711,928.21    | 1          | 5         
37    | 1,598,209.77    | 2          | 5         
38    | 1,523,852.53    | 1          | 5         
39    | 1,318,205.14    | 7          | 0         
40    | 1,317,189.74    | 0          | 5         
41    | 1,150,832.97    | 6          | 0         
42    | 1,150,620.86    | 0          | 5         
43    | 980,340.56      | 0          | 5         
44    | 896,181.23      | 0          | 5         
45    | 789,620.16      | 2          | 5         
46    | 654,653.94      | 1          | 5         
47    | 554,834.85      | 0          | 5         
48    | 480,273.54      | 2          | 5         
49    | 456,841.37      | 0          | 5         
50    | 393,572.92      | 0          | 5         
51    | 383,042.09      | 0          | 5         
52    | 347,742.75      | 0          | 5         
53    | 347,742.75      | 0          | 5         
54    | 307,849.26      | 0          | 5         
55    | 268,439.05      | 0          | 5         
56    | 216,339.15      | 0          | 5         
57    | 208,047.59      | 0          | 5         
58    | 195,484.00      | 0          | 5         
59    | 194,939.44      | 2          | 5         
60    | 193,876.06      | 0          | 5         
61    | 192,970.33      | 2          | 5         
62    | 192,952.75      | 0          | 5         
63    | 192,438.95      | 0          | 5         
64    | 191,950.42      | 0          | 5         
65    | 191,950.42      | 0          | 5         
66    | 191,875.45      | 0          | 5         
67    | 191,775.32      | 0          | 5         
68    | 191,605.01      | 0          | 5         
69    | 191,605.01      | 0          | 5         
70    | 191,560.23      | 0          | 5         
71    | 191,464.08      | 0          | 5         
72    | 191,381.21      | 0          | 5         
73    | 191,321.34      | 0          | 5         
74    | 191,255.95      | 5          | 5         
75    | 191,094.73      | 0          | 5         
76    | 191,024.09      | 0          | 5         
77    | 190,861.84      | 0          | 5         
78    | 190,861.84      | 0          | 5         
79    | 190,838.26      | 0          | 5         
80    | 190,637.40      | 0          | 5         
81    | 190,581.20      | 0          | 5         
82    | 190,557.94      | 0          | 5         
83    | 190,199.70      | 0          | 5         
84    | 189,742.58      | 0          | 5         
85    | 189,601.09      | 0          | 5         
86    | 189,590.31      | 0          | 5         
87    | 189,586.78      | 0          | 5         
88    | 189,586.78      | 0          | 5         
89    | 189,583.65      | 0          | 5         
90    | 189,509.62      | 0          | 5         
91    | 189,462.83      | 0          | 5         
92    | 189,313.08      | 0          | 5         
93    | 189,298.68      | 0          | 5         
94    | 189,105.88      | 0          | 5         
