==========================================================
 ANALYSIS REPORT: Week 8
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,187,700.00
  RMP Relaxed Value (Root): 940,650.00
  Integrality Gap       : 132.5732 %
  Execution Time  : 270.0856 sec
  Iterations      : 327
  RMP Time  : 187.8865 s
  MIP Time  : 8.7499 s
  Pool Search Time: 7.9046 s
  Graph Search Time: 65.0487 s
  MIP Decision Variables: 1540 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2278
  Pool Hits (Reused from History)   : 262
  Graph Gen (Newly Created)         : 1268
  Pool Hit Rate                     : 17.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  375 / Total Gen:  375
       -> Avg Length of Unique Patterns: 46.0 hours
  Type: TypeB  | Unique Patterns:  376 / Total Gen:  752
       -> Avg Length of Unique Patterns: 38.6 hours
  Type: TypeC  | Unique Patterns:  573 / Total Gen: 1146
       -> Avg Length of Unique Patterns: 23.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 28 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 100,016,000.00  | 10         | 0         
2     | 54,130,800.00   | 10         | 0         
3     | 32,160,500.00   | 10         | 0         
4     | 26,186,400.00   | 10         | 0         
5     | 23,990,080.00   | 10         | 0         
6     | 23,190,200.00   | 10         | 0         
7     | 22,364,583.32   | 10         | 0         
8     | 21,796,360.00   | 10         | 0         
9     | 21,340,042.43   | 10         | 0         
10    | 21,093,535.00   | 10         | 0         
11    | 20,943,943.75   | 10         | 0         
12    | 20,818,612.50   | 10         | 0         
13    | 20,791,940.00   | 8          | 0         
14    | 20,791,940.00   | 0          | 5         
15    | 15,594,490.00   | 10         | 0         
16    | 15,191,255.52   | 10         | 0         
17    | 15,041,589.38   | 10         | 0         
18    | 14,858,966.62   | 8          | 0         
19    | 14,857,133.34   | 7          | 0         
20    | 14,857,133.34   | 0          | 5         
21    | 13,497,323.09   | 10         | 0         
22    | 13,414,466.64   | 0          | 5         
23    | 12,230,874.51   | 10         | 0         
24    | 12,230,874.51   | 10         | 0         
25    | 12,208,070.77   | 1          | 5         
26    | 10,411,445.66   | 10         | 0         
27    | 10,384,476.19   | 9          | 0         
28    | 10,367,582.63   | 2          | 5         
29    | 8,943,975.00    | 9          | 0         
30    | 8,943,975.00    | 2          | 5         
31    | 7,779,874.90    | 4          | 5         
32    | 6,873,148.48    | 3          | 5         
33    | 6,482,126.85    | 0          | 5         
34    | 6,028,243.34    | 9          | 0         
35    | 6,024,023.65    | 0          | 5         
36    | 5,211,526.32    | 0          | 5         
37    | 4,684,610.72    | 2          | 5         
38    | 4,548,689.81    | 0          | 5         
39    | 4,088,303.95    | 2          | 5         
40    | 3,864,957.87    | 2          | 5         
41    | 3,676,931.85    | 2          | 5         
42    | 3,548,665.58    | 0          | 5         
43    | 3,466,014.67    | 0          | 5         
44    | 3,370,582.24    | 0          | 5         
45    | 3,211,869.13    | 2          | 5         
46    | 3,161,283.33    | 0          | 5         
47    | 3,036,207.70    | 0          | 5         
48    | 2,972,865.83    | 0          | 5         
49    | 2,872,239.26    | 0          | 5         
50    | 2,704,538.23    | 0          | 5         
51    | 2,623,999.63    | 0          | 5         
52    | 2,586,068.73    | 0          | 5         
53    | 2,460,748.65    | 0          | 5         
54    | 2,323,885.00    | 0          | 5         
55    | 2,287,203.39    | 0          | 5         
56    | 2,155,153.24    | 0          | 5         
57    | 2,024,768.26    | 0          | 5         
58    | 1,983,431.41    | 0          | 5         
59    | 1,966,118.43    | 0          | 5         
60    | 1,907,632.62    | 0          | 5         
61    | 1,822,390.69    | 0          | 5         
62    | 1,742,876.28    | 0          | 5         
63    | 1,721,566.65    | 0          | 5         
64    | 1,707,340.84    | 0          | 5         
65    | 1,693,689.93    | 0          | 5         
66    | 1,672,434.85    | 0          | 5         
67    | 1,642,554.55    | 0          | 5         
68    | 1,566,290.05    | 0          | 5         
69    | 1,553,188.44    | 0          | 5         
70    | 1,523,915.80    | 0          | 5         
71    | 1,448,482.17    | 0          | 5         
72    | 1,420,476.97    | 0          | 5         
73    | 1,387,942.28    | 0          | 5         
74    | 1,384,335.13    | 0          | 5         
