==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,156,200.00
  RMP Relaxed Value (Root): 155,208.05
  Integrality Gap       : 644.9356 %
  MIP Best Bound (Final)  : 1,156,200.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 81.9721 sec
  Iterations      : 143
  RMP Time  : 43.8090 s
  MIP Time  : 9.8198 s
  Pool Search Time: 2.7918 s
  Graph Search Time: 25.3886 s
  MIP Decision Variables: 864 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1615
  Pool Hits (Reused from History)   : 249
  Graph Gen (Newly Created)         : 605
  Pool Hit Rate                     : 29.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  322 / Total Gen:  322
       -> Avg Length of Unique Patterns: 46.0 hours
  Type: TypeB  | Unique Patterns:  321 / Total Gen:  642
       -> Avg Length of Unique Patterns: 33.7 hours
  Type: TypeC  | Unique Patterns:  323 / Total Gen:  646
       -> Avg Length of Unique Patterns: 22.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 35 hours worked
  Emp 3  (TypeC): 21 hours worked
  Emp 4  (TypeC): 15 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 59,060,600.00   | 10         | 0         
3     | 28,125,700.00   | 10         | 0         
4     | 16,785,820.00   | 10         | 0         
5     | 15,188,500.00   | 10         | 0         
6     | 11,882,438.16   | 10         | 0         
7     | 10,419,815.49   | 10         | 0         
8     | 9,897,375.58    | 10         | 0         
9     | 9,308,859.02    | 10         | 0         
10    | 8,818,687.50    | 10         | 0         
11    | 8,560,420.75    | 10         | 0         
12    | 8,223,108.12    | 10         | 0         
13    | 8,008,504.97    | 4          | 5         
14    | 5,106,205.61    | 10         | 0         
15    | 4,679,414.44    | 10         | 0         
16    | 4,454,147.43    | 10         | 0         
17    | 4,391,139.03    | 4          | 5         
18    | 3,174,145.69    | 8          | 0         
19    | 3,156,843.27    | 3          | 5         
20    | 2,323,345.43    | 10         | 0         
21    | 2,271,638.60    | 7          | 0         
22    | 2,267,497.68    | 2          | 5         
23    | 2,034,326.26    | 0          | 5         
24    | 1,845,198.08    | 10         | 0         
25    | 1,833,399.45    | 0          | 5         
26    | 1,672,899.50    | 1          | 5         
27    | 1,458,042.67    | 4          | 5         
28    | 1,390,224.59    | 7          | 0         
29    | 1,388,033.74    | 0          | 5         
30    | 1,283,067.02    | 6          | 0         
31    | 1,279,451.52    | 0          | 5         
32    | 1,221,421.79    | 1          | 5         
33    | 1,178,773.26    | 0          | 5         
34    | 1,072,810.60    | 0          | 5         
35    | 993,547.43      | 1          | 5         
36    | 898,279.20      | 0          | 5         
37    | 762,950.52      | 0          | 5         
38    | 685,085.49      | 4          | 5         
39    | 621,165.91      | 4          | 5         
