==========================================================
 ANALYSIS REPORT: Week 5
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,188,400.00
  RMP Relaxed Value (Root): 1,196,927.27
  Integrality Gap       : 166.3821 %
  MIP Best Bound (Final)  : 3,188,400.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 61.7691 sec
  Iterations      : 123
  RMP Time  : 32.9046 s
  MIP Time  : 3.7048 s
  Pool Search Time: 2.4636 s
  Graph Search Time: 22.5709 s
  MIP Decision Variables: 734 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1530
  Pool Hits (Reused from History)   : 204
  Graph Gen (Newly Created)         : 520
  Pool Hit Rate                     : 28.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  287 / Total Gen:  287
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  310 / Total Gen:  620
       -> Avg Length of Unique Patterns: 34.0 hours
  Type: TypeC  | Unique Patterns:  309 / Total Gen:  618
       -> Avg Length of Unique Patterns: 23.3 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 35 hours worked
  Emp 2  (TypeB): 39 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 26 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 117,012,000.00  | 10         | 0         
2     | 80,060,300.00   | 10         | 0         
3     | 45,139,100.00   | 10         | 0         
4     | 27,196,700.00   | 10         | 0         
5     | 22,847,333.37   | 10         | 0         
6     | 20,888,860.00   | 10         | 0         
7     | 19,635,544.42   | 10         | 0         
8     | 19,166,244.68   | 10         | 0         
9     | 18,932,958.68   | 10         | 0         
10    | 18,890,495.20   | 5          | 5         
11    | 16,165,392.82   | 10         | 0         
12    | 15,687,400.78   | 8          | 0         
13    | 15,675,404.23   | 2          | 5         
14    | 12,055,033.30   | 10         | 0         
15    | 11,544,960.89   | 10         | 0         
16    | 11,438,872.67   | 10         | 0         
17    | 11,436,202.97   | 0          | 5         
18    | 9,541,370.00    | 6          | 0         
19    | 9,449,473.45    | 4          | 5         
20    | 7,794,479.88    | 10         | 0         
21    | 7,710,152.65    | 6          | 0         
22    | 7,700,429.37    | 0          | 5         
23    | 6,839,876.76    | 4          | 5         
24    | 6,189,066.18    | 8          | 0         
25    | 6,188,943.46    | 3          | 5         
26    | 5,712,976.21    | 1          | 5         
27    | 5,411,302.56    | 0          | 5         
28    | 5,290,713.83    | 0          | 5         
29    | 5,146,617.18    | 0          | 5         
30    | 4,931,552.33    | 1          | 5         
31    | 4,619,961.15    | 10         | 0         
32    | 4,618,090.58    | 0          | 5         
33    | 4,564,587.24    | 4          | 5         
34    | 4,510,345.58    | 0          | 5         
35    | 4,404,600.85    | 0          | 5         
36    | 4,189,390.08    | 0          | 5         
37    | 4,071,428.96    | 0          | 5         
38    | 4,052,431.44    | 0          | 5         
39    | 4,011,598.58    | 0          | 5         
40    | 3,849,206.03    | 2          | 5         
41    | 3,767,056.94    | 0          | 5         
42    | 3,633,352.94    | 0          | 5         
43    | 3,316,393.19    | 0          | 5         
44    | 3,266,723.55    | 0          | 5         
45    | 3,224,787.87    | 0          | 5         
46    | 3,170,983.90    | 0          | 5         
47    | 3,069,624.00    | 0          | 5         
48    | 2,921,954.64    | 0          | 5         
49    | 2,841,655.75    | 0          | 5         
50    | 2,727,617.85    | 0          | 5         
51    | 2,683,526.16    | 0          | 5         
52    | 2,617,393.01    | 0          | 5         
53    | 2,594,510.15    | 0          | 5         
54    | 2,575,229.79    | 0          | 5         
55    | 2,544,945.39    | 0          | 5         
56    | 2,533,286.79    | 0          | 5         
57    | 2,515,110.80    | 0          | 5         
58    | 2,432,174.73    | 0          | 5         
59    | 2,259,820.64    | 0          | 5         
60    | 2,204,626.40    | 0          | 5         
61    | 2,175,929.44    | 0          | 5         
62    | 2,113,361.20    | 0          | 5         
63    | 2,057,163.08    | 0          | 5         
64    | 2,039,589.13    | 0          | 5         
65    | 2,017,347.94    | 0          | 5         
66    | 2,000,178.74    | 0          | 5         
67    | 1,987,053.44    | 0          | 5         
68    | 1,958,514.90    | 0          | 5         
69    | 1,843,627.52    | 0          | 5         
70    | 1,819,488.08    | 0          | 5         
71    | 1,777,492.60    | 0          | 5         
72    | 1,772,144.35    | 0          | 5         
73    | 1,759,171.54    | 0          | 5         
74    | 1,737,575.65    | 0          | 5         
75    | 1,722,507.79    | 0          | 5         
76    | 1,720,363.60    | 0          | 5         
77    | 1,720,292.66    | 0          | 5         
78    | 1,702,088.10    | 0          | 5         
79    | 1,664,330.22    | 0          | 5         
80    | 1,660,505.48    | 0          | 5         
81    | 1,637,196.13    | 0          | 5         
82    | 1,599,112.48    | 0          | 5         
83    | 1,565,455.99    | 0          | 5         
84    | 1,564,476.14    | 0          | 5         
85    | 1,525,032.89    | 0          | 5         
86    | 1,496,436.31    | 0          | 5         
87    | 1,491,432.65    | 0          | 5         
88    | 1,491,432.65    | 0          | 5         
89    | 1,461,674.74    | 0          | 5         
90    | 1,461,674.74    | 0          | 5         
91    | 1,461,674.74    | 0          | 5         
92    | 1,447,759.42    | 0          | 5         
93    | 1,404,812.49    | 0          | 5         
94    | 1,404,812.49    | 0          | 5         
95    | 1,404,812.49    | 0          | 5         
96    | 1,404,812.49    | 0          | 5         
97    | 1,404,812.49    | 0          | 5         
98    | 1,394,460.12    | 0          | 5         
99    | 1,394,460.12    | 0          | 5         
100   | 1,362,866.67    | 0          | 5         
101   | 1,362,866.67    | 0          | 5         
102   | 1,295,367.13    | 0          | 5         
103   | 1,272,564.30    | 0          | 5         
104   | 1,266,463.52    | 0          | 5         
105   | 1,266,463.52    | 0          | 5         
106   | 1,266,463.52    | 0          | 5         
107   | 1,266,463.52    | 0          | 5         
108   | 1,266,463.52    | 0          | 5         
109   | 1,260,700.07    | 0          | 5         
110   | 1,260,700.07    | 0          | 5         
111   | 1,260,700.07    | 0          | 5         
112   | 1,238,273.05    | 0          | 5         
113   | 1,238,273.05    | 0          | 5         
114   | 1,238,273.05    | 0          | 5         
115   | 1,216,992.64    | 0          | 5         
116   | 1,216,992.64    | 0          | 5         
117   | 1,216,992.64    | 0          | 5         
118   | 1,196,927.27    | 0          | 5         
119   | 1,196,927.27    | 0          | 5         
120   | 1,196,927.27    | 0          | 5         
121   | 1,196,927.27    | 0          | 5         
122   | 1,196,927.27    | 0          | 5         
123   | 1,196,927.27    | 0          | 5         
