==========================================================
 ANALYSIS REPORT: Week 9
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,198,100.00
  RMP Relaxed Value (Root): 1,681,302.45
  Integrality Gap       : 90.2156 %
  MIP Best Bound (Final)  : 3,198,100.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 81.1037 sec
  Iterations      : 141
  RMP Time  : 47.2140 s
  MIP Time  : 5.9414 s
  Pool Search Time: 5.7183 s
  Graph Search Time: 22.0737 s
  MIP Decision Variables: 898 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2497
  Pool Hits (Reused from History)   : 339
  Graph Gen (Newly Created)         : 549
  Pool Hit Rate                     : 38.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  494 / Total Gen:  494
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns:  499 / Total Gen:  998
       -> Avg Length of Unique Patterns: 37.0 hours
  Type: TypeC  | Unique Patterns:  500 / Total Gen: 1000
       -> Avg Length of Unique Patterns: 24.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 39 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 29 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 102,012,000.00  | 10         | 0         
2     | 67,061,200.00   | 10         | 0         
3     | 34,139,900.00   | 10         | 0         
4     | 18,196,100.00   | 10         | 0         
5     | 16,195,850.00   | 10         | 0         
6     | 13,496,007.50   | 10         | 0         
7     | 11,824,768.75   | 10         | 0         
8     | 11,275,953.89   | 10         | 0         
9     | 10,569,621.09   | 10         | 0         
10    | 10,555,299.79   | 10         | 0         
11    | 9,915,171.45    | 10         | 0         
12    | 9,763,748.34    | 10         | 0         
13    | 9,696,993.45    | 10         | 0         
14    | 9,618,793.77    | 10         | 0         
15    | 9,580,432.78    | 4          | 5         
16    | 7,973,402.43    | 10         | 0         
17    | 7,906,870.27    | 10         | 0         
18    | 7,879,148.70    | 5          | 5         
19    | 6,666,429.94    | 10         | 0         
20    | 6,361,695.13    | 10         | 0         
21    | 6,201,137.39    | 5          | 5         
22    | 5,753,986.73    | 10         | 0         
23    | 5,620,100.12    | 10         | 0         
24    | 5,541,092.31    | 7          | 0         
25    | 5,540,768.13    | 0          | 5         
26    | 5,151,576.67    | 10         | 0         
27    | 5,062,780.59    | 10         | 0         
28    | 5,011,296.05    | 3          | 5         
29    | 4,335,561.35    | 10         | 0         
30    | 4,213,157.09    | 9          | 0         
31    | 4,210,186.80    | 0          | 5         
32    | 3,923,797.79    | 4          | 5         
33    | 3,577,337.76    | 10         | 0         
34    | 3,555,256.89    | 0          | 5         
35    | 3,383,895.37    | 4          | 5         
36    | 3,224,045.48    | 2          | 5         
37    | 2,951,411.47    | 3          | 5         
38    | 2,838,385.55    | 4          | 5         
