==========================================================
 ANALYSIS REPORT: Week 19
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,181,000.00
  RMP Relaxed Value (Root): 1,181,271.07
  Integrality Gap       : 169.2862 %
  Execution Time  : 140.3860 sec
  Iterations      : 156
  RMP Time  : 62.7604 s
  MIP Time  : 12.9446 s
  Pool Search Time: 41.1082 s
  Graph Search Time: 23.3178 s
  MIP Decision Variables: 703 (Columns used in Final MIP)
  MIP Filtered Columns  : 366 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 11173
  Pool Hits (Reused from History)   : 544
  Graph Gen (Newly Created)         : 515
  Pool Hit Rate                     : 51.4%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns: 2172 / Total Gen: 2172
       -> Avg Length of Unique Patterns: 47.0 hours
  Type: TypeB  | Unique Patterns: 2236 / Total Gen: 4472
       -> Avg Length of Unique Patterns: 36.0 hours
  Type: TypeC  | Unique Patterns: 2262 / Total Gen: 4524
       -> Avg Length of Unique Patterns: 24.4 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 35 hours worked
  Emp 2  (TypeB): 34 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 106,012,000.00  | 10         | 0         
2     | 70,060,600.00   | 10         | 0         
3     | 38,144,600.00   | 10         | 0         
4     | 22,191,700.00   | 10         | 0         
5     | 14,191,700.00   | 10         | 0         
6     | 12,440,775.00   | 10         | 0         
7     | 10,860,616.68   | 10         | 0         
8     | 8,691,130.67    | 10         | 0         
9     | 7,932,123.06    | 10         | 0         
10    | 7,383,776.64    | 10         | 0         
11    | 6,515,431.51    | 10         | 0         
12    | 5,664,084.98    | 10         | 0         
13    | 5,164,135.61    | 10         | 0         
14    | 5,082,952.53    | 10         | 0         
15    | 5,011,473.17    | 10         | 0         
16    | 4,926,527.45    | 10         | 0         
17    | 4,834,393.09    | 10         | 0         
18    | 4,782,478.45    | 10         | 0         
19    | 4,757,681.85    | 10         | 0         
20    | 4,748,109.12    | 10         | 0         
21    | 4,723,244.47    | 10         | 0         
22    | 4,706,925.54    | 10         | 0         
23    | 4,705,716.13    | 3          | 5         
24    | 4,260,907.25    | 10         | 0         
25    | 4,249,678.69    | 10         | 0         
26    | 4,233,641.66    | 10         | 0         
27    | 4,197,853.85    | 10         | 0         
28    | 4,184,265.93    | 10         | 0         
29    | 4,163,852.68    | 4          | 5         
30    | 3,423,732.82    | 10         | 0         
31    | 3,378,836.11    | 10         | 0         
32    | 3,358,286.39    | 10         | 0         
33    | 3,337,861.79    | 8          | 0         
34    | 3,336,358.35    | 1          | 5         
