==========================================================
 ANALYSIS REPORT: Week 2
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 6,203,300.00
  RMP Relaxed Value (Root): 2,370,318.00
  Integrality Gap       : 161.7075 %
  Execution Time  : 47.9425 sec
  Iterations      : 137
  RMP Time  : 23.9786 s
  MIP Time  : 6.6893 s
  Pool Search Time: 0.7312 s
  Graph Search Time: 16.4583 s
  MIP Decision Variables: 487 (Columns used in Final MIP)
  MIP Filtered Columns  : 322 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1143
  Pool Hits (Reused from History)   : 214
  Graph Gen (Newly Created)         : 585
  Pool Hit Rate                     : 26.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  218 / Total Gen:  218
       -> Avg Length of Unique Patterns: 47.3 hours
  Type: TypeB  | Unique Patterns:  232 / Total Gen:  464
       -> Avg Length of Unique Patterns: 37.5 hours
  Type: TypeC  | Unique Patterns:  228 / Total Gen:  456
       -> Avg Length of Unique Patterns: 26.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 49 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 40 hours worked
  Emp 3  (TypeC): 28 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 127,012,000.00  | 10         | 0         
2     | 93,055,800.00   | 10         | 0         
3     | 59,137,400.00   | 10         | 0         
4     | 38,194,700.00   | 10         | 0         
5     | 29,698,750.00   | 10         | 0         
6     | 27,595,220.00   | 10         | 0         
7     | 26,198,391.85   | 10         | 0         
8     | 25,131,467.60   | 10         | 0         
9     | 24,327,075.00   | 10         | 0         
10    | 23,804,120.00   | 10         | 0         
11    | 23,700,615.09   | 10         | 0         
12    | 23,552,215.93   | 5          | 5         
13    | 16,709,054.70   | 10         | 0         
14    | 16,277,349.11   | 10         | 0         
15    | 16,048,174.33   | 7          | 0         
16    | 16,009,855.02   | 0          | 5         
17    | 12,976,845.01   | 10         | 0         
18    | 12,625,093.09   | 8          | 0         
19    | 12,522,926.37   | 4          | 5         
20    | 10,547,941.68   | 10         | 0         
21    | 10,479,853.74   | 0          | 5         
22    | 9,065,337.57    | 10         | 0         
23    | 8,903,033.74    | 9          | 0         
24    | 8,893,466.95    | 5          | 5         
25    | 8,326,276.13    | 10         | 0         
26    | 8,324,819.49    | 0          | 5         
27    | 7,885,182.65    | 0          | 5         
28    | 7,582,887.49    | 1          | 5         
29    | 6,866,658.61    | 0          | 5         
30    | 6,406,234.03    | 0          | 5         
31    | 6,017,320.86    | 0          | 5         
32    | 5,674,196.53    | 0          | 5         
33    | 5,565,121.00    | 0          | 5         
34    | 5,481,790.91    | 3          | 5         
35    | 5,223,486.58    | 2          | 5         
36    | 5,087,353.70    | 0          | 5         
37    | 4,882,045.89    | 0          | 5         
38    | 4,777,815.67    | 0          | 5         
39    | 4,565,434.11    | 0          | 5         
40    | 4,507,096.17    | 0          | 5         
41    | 4,439,707.40    | 0          | 5         
42    | 4,353,644.59    | 0          | 5         
43    | 4,290,824.94    | 0          | 5         
44    | 4,234,269.82    | 0          | 5         
45    | 4,158,432.83    | 0          | 5         
46    | 4,087,322.17    | 0          | 5         
47    | 3,980,902.10    | 0          | 5         
48    | 3,904,982.47    | 0          | 5         
49    | 3,883,957.35    | 0          | 5         
50    | 3,863,436.61    | 0          | 5         
51    | 3,824,932.43    | 0          | 5         
52    | 3,784,359.52    | 0          | 5         
53    | 3,685,443.70    | 0          | 5         
54    | 3,653,216.89    | 0          | 5         
55    | 3,572,994.12    | 0          | 5         
56    | 3,524,337.91    | 0          | 5         
57    | 3,362,733.73    | 0          | 5         
58    | 3,325,064.78    | 0          | 5         
59    | 3,301,812.53    | 0          | 5         
60    | 3,259,710.00    | 0          | 5         
61    | 3,211,392.04    | 0          | 5         
62    | 3,173,739.59    | 0          | 5         
63    | 3,168,679.49    | 0          | 5         
64    | 3,147,301.64    | 0          | 5         
65    | 3,118,303.18    | 0          | 5         
66    | 3,064,240.89    | 0          | 5         
67    | 3,053,087.06    | 0          | 5         
68    | 3,025,406.33    | 0          | 5         
69    | 2,992,090.70    | 0          | 5         
70    | 2,977,852.74    | 0          | 5         
71    | 2,961,542.80    | 0          | 5         
72    | 2,953,426.46    | 0          | 5         
73    | 2,932,902.57    | 0          | 5         
74    | 2,922,458.44    | 0          | 5         
75    | 2,893,071.47    | 0          | 5         
76    | 2,878,228.80    | 0          | 5         
77    | 2,848,058.11    | 0          | 5         
78    | 2,784,448.21    | 0          | 5         
79    | 2,784,448.21    | 0          | 5         
80    | 2,770,515.85    | 0          | 5         
81    | 2,768,763.96    | 0          | 5         
82    | 2,766,554.56    | 0          | 5         
83    | 2,757,029.55    | 0          | 5         
84    | 2,741,076.04    | 0          | 5         
85    | 2,726,911.31    | 0          | 5         
86    | 2,725,470.57    | 0          | 5         
87    | 2,707,977.37    | 0          | 5         
88    | 2,703,931.04    | 0          | 5         
89    | 2,682,889.15    | 0          | 5         
90    | 2,680,421.25    | 0          | 5         
91    | 2,656,445.57    | 0          | 5         
92    | 2,652,104.31    | 0          | 5         
93    | 2,626,648.54    | 0          | 5         
94    | 2,616,378.07    | 0          | 5         
95    | 2,595,741.26    | 0          | 5         
96    | 2,593,312.08    | 0          | 5         
97    | 2,587,755.29    | 0          | 5         
98    | 2,583,228.20    | 0          | 5         
99    | 2,583,051.95    | 0          | 5         
100   | 2,568,651.20    | 0          | 5         
101   | 2,562,953.84    | 0          | 5         
102   | 2,550,151.29    | 0          | 5         
103   | 2,544,368.53    | 0          | 5         
104   | 2,534,694.85    | 0          | 5         
105   | 2,531,795.84    | 0          | 5         
106   | 2,519,564.56    | 0          | 5         
107   | 2,517,946.74    | 0          | 5         
108   | 2,517,946.74    | 0          | 5         
109   | 2,513,927.42    | 0          | 5         
110   | 2,493,563.55    | 0          | 5         
111   | 2,458,337.82    | 0          | 5         
112   | 2,444,707.30    | 0          | 5         
113   | 2,442,857.78    | 0          | 5         
114   | 2,422,063.61    | 0          | 5         
115   | 2,415,030.91    | 0          | 5         
116   | 2,415,030.91    | 0          | 5         
117   | 2,411,961.94    | 0          | 5         
118   | 2,395,465.41    | 0          | 5         
119   | 2,384,034.99    | 0          | 5         
120   | 2,379,715.32    | 0          | 5         
121   | 2,377,222.80    | 0          | 5         
122   | 2,376,423.20    | 0          | 5         
123   | 2,374,149.94    | 0          | 5         
124   | 2,373,416.98    | 0          | 5         
125   | 2,371,046.51    | 0          | 5         
126   | 2,371,046.51    | 0          | 5         
127   | 2,370,731.45    | 0          | 5         
128   | 2,370,669.57    | 0          | 5         
129   | 2,370,669.57    | 0          | 5         
130   | 2,370,586.14    | 0          | 5         
131   | 2,370,352.32    | 0          | 5         
132   | 2,370,318.00    | 0          | 5         
133   | 2,370,318.00    | 0          | 5         
134   | 2,370,318.00    | 0          | 5         
135   | 2,370,318.00    | 0          | 5         
136   | 2,370,318.00    | 0          | 5         
137   | 2,370,318.00    | 0          | 5         
