==========================================================
 ANALYSIS REPORT: Week 25
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,189,500.00
  RMP Relaxed Value (Root): 2,183,625.65
  Integrality Gap       : 137.6552 %
  Execution Time  : 67.9195 sec
  Iterations      : 110
  RMP Time  : 33.8782 s
  MIP Time  : 8.4267 s
  Pool Search Time: 4.8613 s
  Graph Search Time: 20.6048 s
  MIP Decision Variables: 498 (Columns used in Final MIP)
  MIP Filtered Columns  : 233 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2277
  Pool Hits (Reused from History)   : 326
  Graph Gen (Newly Created)         : 395
  Pool Hit Rate                     : 45.2%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  436 / Total Gen:  436
       -> Avg Length of Unique Patterns: 46.8 hours
  Type: TypeB  | Unique Patterns:  457 / Total Gen:  914
       -> Avg Length of Unique Patterns: 36.0 hours
  Type: TypeC  | Unique Patterns:  461 / Total Gen:  922
       -> Avg Length of Unique Patterns: 23.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 29 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 112,016,000.00  | 10         | 0         
2     | 77,059,000.00   | 10         | 0         
3     | 42,137,800.00   | 10         | 0         
4     | 20,693,800.00   | 10         | 0         
5     | 16,691,100.00   | 10         | 0         
6     | 13,863,316.68   | 10         | 0         
7     | 12,680,681.31   | 10         | 0         
8     | 11,868,895.01   | 10         | 0         
9     | 11,299,313.33   | 10         | 0         
10    | 10,959,367.26   | 10         | 0         
11    | 10,710,779.42   | 10         | 0         
12    | 10,619,561.20   | 10         | 0         
13    | 10,617,899.71   | 10         | 0         
14    | 10,594,586.01   | 8          | 0         
15    | 10,593,738.68   | 0          | 5         
16    | 8,799,793.51    | 10         | 0         
17    | 8,711,805.82    | 10         | 0         
18    | 8,624,140.69    | 10         | 0         
19    | 8,609,364.10    | 3          | 5         
20    | 6,563,376.36    | 10         | 0         
21    | 6,414,398.35    | 6          | 0         
22    | 6,411,006.81    | 4          | 5         
23    | 5,378,902.80    | 6          | 0         
24    | 5,361,795.56    | 0          | 5         
25    | 4,482,580.02    | 10         | 0         
26    | 4,406,450.94    | 10         | 0         
27    | 4,403,115.26    | 9          | 0         
28    | 4,402,499.43    | 4          | 5         
29    | 4,152,429.68    | 10         | 0         
30    | 4,120,166.83    | 10         | 0         
31    | 4,116,467.03    | 8          | 0         
32    | 4,115,082.56    | 0          | 5         
33    | 3,854,525.86    | 9          | 0         
34    | 3,848,589.01    | 0          | 5         
