==========================================================
 ANALYSIS REPORT: Week 4
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 1,170,500.00
  RMP Relaxed Value (Root): 162,480.28
  Integrality Gap       : 620.3951 %
  Execution Time  : 83.7789 sec
  Iterations      : 200
  RMP Time  : 50.0309 s
  MIP Time  : 4.4199 s
  Pool Search Time: 6.1077 s
  Graph Search Time: 23.0309 s
  MIP Decision Variables: 1219 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3107
  Pool Hits (Reused from History)   : 436
  Graph Gen (Newly Created)         : 773
  Pool Hit Rate                     : 36.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  590 / Total Gen:  590
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  631 / Total Gen: 1262
       -> Avg Length of Unique Patterns: 35.2 hours
  Type: TypeC  | Unique Patterns:  625 / Total Gen: 1250
       -> Avg Length of Unique Patterns: 25.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 47 hours worked
  Emp 1  (TypeB): 35 hours worked
  Emp 2  (TypeB): 32 hours worked
  Emp 3  (TypeC): 23 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 99,016,000.00   | 10         | 0         
2     | 65,060,800.00   | 10         | 0         
3     | 28,140,300.00   | 10         | 0         
4     | 11,864,799.96   | 10         | 0         
5     | 11,197,733.25   | 10         | 0         
6     | 9,199,300.00    | 10         | 0         
7     | 7,976,999.95    | 10         | 0         
8     | 7,339,774.43    | 10         | 0         
9     | 6,891,907.35    | 10         | 0         
10    | 6,329,354.86    | 10         | 0         
11    | 6,139,868.39    | 10         | 0         
12    | 6,018,642.47    | 10         | 0         
13    | 5,986,503.96    | 10         | 0         
14    | 5,977,949.69    | 10         | 0         
15    | 5,914,547.57    | 6          | 0         
16    | 5,897,523.93    | 2          | 5         
17    | 4,523,876.00    | 10         | 0         
18    | 4,293,889.66    | 10         | 0         
19    | 3,983,914.72    | 10         | 0         
20    | 3,895,161.36    | 10         | 0         
21    | 3,818,726.48    | 10         | 0         
22    | 3,810,745.80    | 0          | 5         
23    | 2,338,944.40    | 10         | 0         
24    | 2,209,844.02    | 10         | 0         
25    | 2,099,972.73    | 10         | 0         
26    | 2,080,678.89    | 2          | 5         
27    | 1,395,048.40    | 10         | 0         
28    | 1,339,375.39    | 10         | 0         
29    | 1,328,411.62    | 6          | 0         
30    | 1,327,193.98    | 2          | 5         
31    | 1,287,693.03    | 0          | 5         
32    | 1,166,673.27    | 10         | 0         
33    | 1,155,570.29    | 8          | 0         
34    | 1,155,282.36    | 0          | 5         
35    | 888,790.52      | 5          | 5         
36    | 754,311.99      | 2          | 5         
37    | 579,631.23      | 10         | 0         
38    | 577,099.62      | 6          | 0         
39    | 576,413.79      | 0          | 5         
40    | 348,149.79      | 10         | 0         
41    | 344,512.23      | 6          | 0         
42    | 340,871.24      | 2          | 5         
43    | 187,828.96      | 10         | 0         
44    | 187,206.51      | 6          | 0         
45    | 187,140.52      | 0          | 5         
46    | 184,944.06      | 10         | 0         
47    | 184,786.68      | 10         | 0         
48    | 184,699.13      | 10         | 0         
49    | 184,695.27      | 2          | 5         
50    | 183,989.59      | 8          | 0         
51    | 183,846.62      | 2          | 5         
52    | 183,245.22      | 4          | 5         
53    | 183,091.40      | 5          | 5         
54    | 182,159.18      | 10         | 0         
55    | 182,137.74      | 0          | 5         
56    | 181,560.06      | 4          | 5         
57    | 180,930.57      | 10         | 0         
58    | 180,928.79      | 2          | 5         
59    | 179,409.67      | 4          | 5         
