==========================================================
 ANALYSIS REPORT: Week 11
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,191,100.00
  RMP Relaxed Value (Root): 741,041.21
  Integrality Gap       : 195.6786 %
  Execution Time  : 90.9667 sec
  Iterations      : 200
  RMP Time  : 51.5784 s
  MIP Time  : 7.5012 s
  Pool Search Time: 4.9324 s
  Graph Search Time: 26.7674 s
  MIP Decision Variables: 787 (Columns used in Final MIP)
  MIP Filtered Columns  : 357 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2685
  Pool Hits (Reused from History)   : 341
  Graph Gen (Newly Created)         : 793
  Pool Hit Rate                     : 30.1%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  486 / Total Gen:  486
       -> Avg Length of Unique Patterns: 46.9 hours
  Type: TypeB  | Unique Patterns:  532 / Total Gen: 1064
       -> Avg Length of Unique Patterns: 36.7 hours
  Type: TypeC  | Unique Patterns:  565 / Total Gen: 1130
       -> Avg Length of Unique Patterns: 24.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 109,012,000.00  | 10         | 0         
2     | 77,063,900.00   | 10         | 0         
3     | 37,633,750.00   | 10         | 0         
4     | 17,191,500.00   | 10         | 0         
5     | 14,533,499.95   | 10         | 0         
6     | 12,742,681.76   | 10         | 0         
7     | 12,493,156.59   | 10         | 0         
8     | 11,583,322.72   | 10         | 0         
9     | 10,564,494.32   | 10         | 0         
10    | 10,245,054.29   | 10         | 0         
11    | 10,035,175.19   | 10         | 0         
12    | 9,803,857.19    | 10         | 0         
13    | 9,699,062.03    | 10         | 0         
14    | 9,560,384.38    | 10         | 0         
15    | 9,540,426.69    | 10         | 0         
16    | 9,536,412.89    | 1          | 5         
17    | 7,408,666.81    | 10         | 0         
18    | 7,070,598.04    | 10         | 0         
19    | 6,957,652.31    | 9          | 0         
20    | 6,918,366.49    | 2          | 5         
21    | 5,585,506.48    | 10         | 0         
22    | 5,343,910.54    | 10         | 0         
23    | 5,179,252.24    | 10         | 0         
24    | 5,166,080.92    | 1          | 5         
25    | 4,415,834.75    | 10         | 0         
26    | 4,388,205.72    | 5          | 5         
27    | 3,995,747.15    | 10         | 0         
28    | 3,924,944.99    | 8          | 0         
29    | 3,906,811.42    | 4          | 5         
30    | 3,484,511.31    | 10         | 0         
31    | 3,446,625.58    | 5          | 5         
32    | 3,124,798.73    | 10         | 0         
33    | 3,085,418.51    | 0          | 5         
34    | 2,735,966.57    | 10         | 0         
35    | 2,731,769.12    | 1          | 5         
36    | 2,536,692.82    | 10         | 0         
37    | 2,535,392.29    | 6          | 0         
38    | 2,534,519.35    | 2          | 5         
39    | 2,370,996.95    | 7          | 0         
40    | 2,370,434.81    | 0          | 5         
41    | 2,294,476.97    | 4          | 5         
42    | 2,183,364.57    | 2          | 5         
43    | 2,088,584.15    | 0          | 5         
44    | 2,000,123.91    | 0          | 5         
45    | 1,916,324.67    | 0          | 5         
46    | 1,811,892.89    | 0          | 5         
47    | 1,771,473.10    | 0          | 5         
48    | 1,710,379.24    | 2          | 5         
49    | 1,699,174.49    | 0          | 5         
50    | 1,656,570.87    | 4          | 5         
51    | 1,650,939.57    | 2          | 5         
52    | 1,634,494.68    | 6          | 0         
53    | 1,634,375.13    | 0          | 5         
54    | 1,623,787.68    | 0          | 5         
55    | 1,584,899.58    | 2          | 5         
56    | 1,555,444.10    | 2          | 5         
57    | 1,539,687.57    | 0          | 5         
58    | 1,474,867.08    | 0          | 5         
59    | 1,420,600.09    | 0          | 5         
60    | 1,342,245.83    | 4          | 5         
61    | 1,318,886.78    | 0          | 5         
62    | 1,268,344.46    | 0          | 5         
63    | 1,262,107.45    | 0          | 5         
64    | 1,242,486.09    | 0          | 5         
65    | 1,205,714.72    | 0          | 5         
66    | 1,148,013.45    | 2          | 5         
67    | 1,136,241.13    | 0          | 5         
68    | 1,131,315.70    | 0          | 5         
69    | 1,109,850.17    | 0          | 5         
70    | 1,080,232.49    | 0          | 5         
71    | 1,037,148.09    | 0          | 5         
72    | 1,013,871.90    | 0          | 5         
73    | 1,004,962.67    | 0          | 5         
74    | 992,126.54      | 0          | 5         
75    | 981,869.45      | 0          | 5         
76    | 957,813.94      | 0          | 5         
77    | 936,954.11      | 0          | 5         
78    | 922,968.36      | 0          | 5         
79    | 886,124.02      | 0          | 5         
80    | 879,827.10      | 0          | 5         
81    | 876,163.64      | 0          | 5         
82    | 860,890.58      | 0          | 5         
83    | 853,195.75      | 0          | 5         
84    | 846,903.52      | 0          | 5         
85    | 841,296.52      | 0          | 5         
86    | 836,058.57      | 0          | 5         
87    | 836,058.57      | 0          | 5         
88    | 834,819.98      | 0          | 5         
89    | 829,496.89      | 0          | 5         
90    | 822,479.52      | 0          | 5         
91    | 822,479.52      | 0          | 5         
92    | 820,462.11      | 0          | 5         
93    | 820,462.11      | 0          | 5         
94    | 814,539.20      | 0          | 5         
95    | 813,796.54      | 0          | 5         
96    | 808,605.35      | 0          | 5         
97    | 807,087.02      | 0          | 5         
98    | 801,140.04      | 0          | 5         
99    | 800,435.25      | 0          | 5         
100   | 797,450.81      | 0          | 5         
101   | 793,597.47      | 0          | 5         
102   | 793,597.47      | 0          | 5         
103   | 793,497.97      | 0          | 4         
104   | 793,497.97      | 0          | 4         
105   | 789,652.74      | 0          | 5         
106   | 787,572.39      | 0          | 5         
107   | 782,005.81      | 0          | 5         
108   | 780,750.90      | 0          | 5         
109   | 777,741.05      | 0          | 5         
110   | 769,978.61      | 0          | 5         
111   | 766,064.07      | 0          | 5         
112   | 760,637.41      | 0          | 5         
113   | 759,762.24      | 0          | 5         
114   | 753,201.97      | 0          | 5         
115   | 751,007.65      | 0          | 5         
116   | 750,602.45      | 0          | 5         
117   | 750,602.45      | 0          | 4         
118   | 746,218.58      | 0          | 5         
119   | 745,955.30      | 0          | 5         
120   | 745,955.30      | 0          | 5         
121   | 745,589.33      | 0          | 5         
122   | 743,837.30      | 0          | 5         
123   | 743,803.87      | 0          | 5         
124   | 742,543.32      | 0          | 5         
125   | 742,543.32      | 0          | 5         
126   | 742,543.32      | 0          | 5         
127   | 742,507.66      | 0          | 5         
128   | 742,507.66      | 0          | 5         
129   | 742,507.66      | 0          | 4         
130   | 742,504.21      | 0          | 4         
131   | 742,308.34      | 0          | 5         
132   | 742,308.34      | 0          | 5         
133   | 742,308.34      | 0          | 5         
134   | 742,308.34      | 0          | 5         
135   | 742,308.34      | 0          | 4         
136   | 742,308.34      | 0          | 5         
137   | 742,306.44      | 0          | 4         
138   | 742,306.44      | 0          | 5         
139   | 742,306.44      | 0          | 4         
140   | 742,306.44      | 0          | 4         
141   | 742,306.44      | 0          | 4         
142   | 742,212.71      | 0          | 5         
143   | 742,212.71      | 0          | 5         
144   | 742,206.50      | 0          | 5         
145   | 742,206.50      | 0          | 4         
146   | 742,206.50      | 0          | 5         
147   | 742,206.50      | 0          | 4         
148   | 741,571.67      | 0          | 4         
149   | 741,493.26      | 0          | 4         
150   | 741,493.26      | 0          | 4         
151   | 741,493.26      | 0          | 4         
152   | 741,493.26      | 0          | 4         
153   | 741,425.25      | 0          | 4         
154   | 741,416.66      | 0          | 4         
155   | 741,416.66      | 0          | 4         
156   | 741,416.66      | 0          | 5         
157   | 741,416.66      | 0          | 4         
158   | 741,399.35      | 0          | 5         
159   | 741,325.52      | 0          | 5         
160   | 741,285.98      | 0          | 3         
161   | 741,285.98      | 0          | 5         
162   | 741,285.98      | 0          | 4         
163   | 741,285.98      | 0          | 5         
164   | 741,285.98      | 0          | 2         
165   | 741,285.98      | 0          | 3         
166   | 741,285.98      | 0          | 5         
167   | 741,285.98      | 0          | 3         
168   | 741,227.27      | 0          | 4         
169   | 741,227.27      | 0          | 5         
170   | 741,176.76      | 0          | 4         
171   | 741,170.30      | 0          | 4         
172   | 741,170.30      | 0          | 4         
173   | 741,170.30      | 0          | 4         
174   | 741,170.30      | 0          | 4         
175   | 741,170.30      | 0          | 4         
176   | 741,170.30      | 0          | 5         
177   | 741,170.30      | 0          | 4         
178   | 741,170.30      | 0          | 4         
179   | 741,135.26      | 0          | 4         
180   | 741,135.26      | 0          | 4         
181   | 741,126.10      | 0          | 5         
182   | 741,126.10      | 0          | 4         
183   | 741,126.10      | 0          | 4         
184   | 741,107.68      | 0          | 5         
185   | 741,093.93      | 0          | 4         
