==========================================================
 ANALYSIS REPORT: Week 14
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 197,300.00
  RMP Relaxed Value (Root): 193,500.00
  Integrality Gap       : 1.9638 %
  Execution Time  : 33.8765 sec
  Iterations      : 114
  RMP Time  : 17.3350 s
  MIP Time  : 0.5957 s
  Pool Search Time: 1.3222 s
  Graph Search Time: 14.5386 s
  MIP Decision Variables: 684 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1485
  Pool Hits (Reused from History)   : 199
  Graph Gen (Newly Created)         : 475
  Pool Hit Rate                     : 29.5%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  271 / Total Gen:  271
       -> Avg Length of Unique Patterns: 46.8 hours
  Type: TypeB  | Unique Patterns:  303 / Total Gen:  606
       -> Avg Length of Unique Patterns: 34.8 hours
  Type: TypeC  | Unique Patterns:  302 / Total Gen:  603
       -> Avg Length of Unique Patterns: 23.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 29 hours worked
  Emp 4  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 106,012,000.00  | 10         | 0         
2     | 77,054,000.00   | 10         | 0         
3     | 40,123,900.00   | 10         | 0         
4     | 20,382,320.00   | 10         | 0         
5     | 18,682,150.00   | 10         | 0         
6     | 16,352,730.96   | 10         | 0         
7     | 15,236,242.50   | 10         | 0         
8     | 14,642,733.18   | 10         | 0         
9     | 14,327,589.65   | 10         | 0         
10    | 14,260,828.32   | 10         | 0         
11    | 14,228,802.37   | 2          | 5         
12    | 10,481,930.04   | 10         | 0         
13    | 9,725,939.99    | 10         | 0         
14    | 9,458,884.41    | 10         | 0         
15    | 9,384,278.78    | 6          | 0         
16    | 9,382,995.20    | 0          | 5         
17    | 7,959,192.23    | 10         | 0         
18    | 7,927,803.31    | 6          | 0         
19    | 7,917,954.60    | 4          | 5         
20    | 6,409,978.25    | 10         | 0         
21    | 6,248,432.39    | 0          | 5         
22    | 5,430,040.71    | 7          | 0         
23    | 5,405,056.35    | 2          | 5         
24    | 4,324,727.37    | 6          | 0         
25    | 4,307,487.11    | 2          | 5         
26    | 4,022,724.31    | 2          | 5         
27    | 3,648,659.32    | 1          | 5         
28    | 3,249,610.15    | 2          | 5         
29    | 2,784,959.13    | 2          | 5         
30    | 2,557,917.30    | 5          | 5         
31    | 2,503,662.41    | 2          | 5         
32    | 2,190,096.60    | 0          | 5         
33    | 2,018,562.34    | 0          | 5         
34    | 1,974,894.50    | 0          | 5         
