==========================================================
 ANALYSIS REPORT: Week 10
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,193,600.00
  RMP Relaxed Value (Root): 571,540.09
  Integrality Gap       : 283.8051 %
  Execution Time  : 121.1662 sec
  Iterations      : 172
  RMP Time  : 72.8580 s
  MIP Time  : 6.1572 s
  Pool Search Time: 15.3228 s
  Graph Search Time: 26.5723 s
  MIP Decision Variables: 536 (Columns used in Final MIP)
  MIP Filtered Columns  : 609 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4449
  Pool Hits (Reused from History)   : 495
  Graph Gen (Newly Created)         : 640
  Pool Hit Rate                     : 43.6%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  888 / Total Gen:  888
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  889 / Total Gen: 1778
       -> Avg Length of Unique Patterns: 36.6 hours
  Type: TypeC  | Unique Patterns:  889 / Total Gen: 1778
       -> Avg Length of Unique Patterns: 25.1 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeB): 36 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 25 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 105,011,900.00  | 10         | 0         
2     | 76,056,700.00   | 10         | 0         
3     | 39,135,800.00   | 10         | 0         
4     | 18,528,966.66   | 10         | 0         
5     | 15,796,600.00   | 10         | 0         
6     | 14,775,257.84   | 10         | 0         
7     | 13,198,199.99   | 10         | 0         
8     | 12,425,504.07   | 10         | 0         
9     | 11,611,057.94   | 10         | 0         
10    | 10,641,806.59   | 10         | 0         
11    | 10,064,208.63   | 10         | 0         
12    | 9,220,616.85    | 10         | 0         
13    | 9,029,945.85    | 10         | 0         
14    | 8,842,256.61    | 10         | 0         
15    | 8,593,037.52    | 10         | 0         
16    | 8,490,386.69    | 10         | 0         
17    | 8,427,497.66    | 10         | 0         
18    | 8,275,127.02    | 10         | 0         
19    | 8,242,286.42    | 10         | 0         
20    | 8,213,758.54    | 10         | 0         
21    | 8,211,160.23    | 2          | 5         
22    | 6,425,759.54    | 10         | 0         
23    | 6,162,457.70    | 10         | 0         
24    | 5,950,888.25    | 10         | 0         
25    | 5,915,844.66    | 10         | 0         
26    | 5,890,694.30    | 10         | 0         
27    | 5,862,062.99    | 10         | 0         
28    | 5,852,793.65    | 0          | 5         
29    | 4,966,975.53    | 10         | 0         
30    | 4,860,932.65    | 10         | 0         
31    | 4,840,965.39    | 10         | 0         
32    | 4,835,073.77    | 5          | 5         
33    | 4,059,272.42    | 10         | 0         
34    | 3,892,108.78    | 10         | 0         
