==========================================================
 ANALYSIS REPORT: Week 2
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 6,200,000.00
  RMP Relaxed Value (Root): 2,375,232.60
  Integrality Gap       : 161.0271 %
  Execution Time  : 69.8519 sec
  Iterations      : 126
  RMP Time  : 35.9810 s
  MIP Time  : 8.1479 s
  Pool Search Time: 0.9511 s
  Graph Search Time: 24.6391 s
  MIP Decision Variables: 379 (Columns used in Final MIP)
  MIP Filtered Columns  : 370 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1012
  Pool Hits (Reused from History)   : 199
  Graph Gen (Newly Created)         : 540
  Pool Hit Rate                     : 26.9%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  201 / Total Gen:  201
       -> Avg Length of Unique Patterns: 47.1 hours
  Type: TypeB  | Unique Patterns:  202 / Total Gen:  404
       -> Avg Length of Unique Patterns: 37.6 hours
  Type: TypeC  | Unique Patterns:  201 / Total Gen:  402
       -> Avg Length of Unique Patterns: 26.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeB): 40 hours worked
  Emp 2  (TypeB): 40 hours worked
  Emp 3  (TypeC): 29 hours worked
  Emp 4  (TypeC): 25 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 127,012,000.00  | 10         | 0         
2     | 93,055,800.00   | 10         | 0         
3     | 59,137,400.00   | 10         | 0         
4     | 37,396,580.00   | 10         | 0         
5     | 31,191,800.00   | 10         | 0         
6     | 30,197,175.00   | 10         | 0         
7     | 27,642,877.62   | 10         | 0         
8     | 26,863,788.88   | 10         | 0         
9     | 25,866,566.57   | 10         | 0         
10    | 24,985,892.76   | 10         | 0         
11    | 24,204,500.00   | 10         | 0         
12    | 23,820,721.47   | 10         | 0         
13    | 23,798,416.12   | 10         | 0         
14    | 23,789,612.19   | 3          | 5         
15    | 16,167,576.17   | 10         | 0         
16    | 15,849,001.17   | 10         | 0         
17    | 15,773,594.49   | 2          | 5         
18    | 12,904,861.39   | 10         | 0         
19    | 12,825,291.22   | 0          | 5         
20    | 11,226,145.00   | 10         | 0         
21    | 11,116,795.86   | 2          | 5         
22    | 10,088,513.86   | 10         | 0         
23    | 10,005,508.78   | 2          | 5         
24    | 8,694,235.67    | 0          | 5         
25    | 8,346,188.10    | 2          | 5         
26    | 7,638,566.07    | 0          | 5         
27    | 7,020,429.04    | 0          | 5         
28    | 6,521,623.36    | 1          | 5         
29    | 6,406,402.41    | 1          | 5         
30    | 6,059,546.88    | 1          | 5         
31    | 5,710,179.13    | 1          | 5         
32    | 5,570,487.85    | 0          | 5         
33    | 5,481,780.80    | 0          | 5         
34    | 5,185,822.08    | 2          | 5         
35    | 5,085,516.18    | 2          | 5         
36    | 4,923,083.05    | 0          | 5         
37    | 4,771,999.86    | 0          | 5         
38    | 4,686,203.02    | 0          | 5         
39    | 4,628,364.32    | 0          | 5         
40    | 4,470,613.96    | 0          | 5         
41    | 4,395,372.85    | 0          | 5         
42    | 4,302,966.20    | 0          | 5         
43    | 4,225,412.97    | 0          | 5         
44    | 4,124,543.45    | 0          | 5         
45    | 4,083,880.51    | 0          | 5         
46    | 4,034,793.92    | 0          | 5         
47    | 3,957,486.90    | 0          | 5         
48    | 3,856,173.77    | 0          | 5         
49    | 3,778,674.68    | 0          | 5         
50    | 3,724,517.93    | 0          | 5         
51    | 3,638,298.66    | 0          | 5         
52    | 3,584,595.20    | 0          | 5         
53    | 3,539,172.47    | 0          | 5         
54    | 3,523,622.85    | 0          | 5         
55    | 3,482,402.47    | 0          | 5         
56    | 3,448,483.00    | 0          | 5         
57    | 3,393,241.98    | 0          | 5         
58    | 3,379,899.69    | 0          | 5         
59    | 3,370,887.80    | 0          | 5         
60    | 3,357,326.29    | 0          | 5         
61    | 3,344,871.55    | 0          | 5         
62    | 3,332,511.52    | 0          | 5         
63    | 3,327,743.14    | 0          | 5         
64    | 3,318,978.72    | 0          | 5         
65    | 3,303,057.32    | 0          | 5         
66    | 3,241,387.40    | 0          | 5         
67    | 3,194,727.38    | 0          | 5         
68    | 3,145,672.40    | 0          | 5         
69    | 3,134,141.64    | 0          | 5         
70    | 3,120,561.19    | 0          | 5         
71    | 3,119,466.19    | 0          | 5         
72    | 3,059,047.33    | 0          | 5         
73    | 3,023,962.16    | 0          | 5         
74    | 2,998,806.98    | 0          | 5         
75    | 2,964,694.44    | 0          | 5         
76    | 2,953,922.06    | 0          | 5         
77    | 2,924,537.69    | 0          | 5         
78    | 2,911,104.34    | 0          | 5         
79    | 2,886,121.74    | 0          | 5         
80    | 2,870,471.86    | 0          | 5         
81    | 2,847,141.49    | 0          | 5         
82    | 2,830,986.84    | 0          | 5         
83    | 2,803,137.82    | 0          | 5         
84    | 2,774,418.99    | 0          | 5         
85    | 2,758,301.59    | 0          | 5         
86    | 2,734,249.61    | 0          | 5         
87    | 2,705,134.75    | 0          | 5         
88    | 2,691,260.43    | 0          | 5         
89    | 2,656,963.03    | 0          | 5         
90    | 2,633,720.64    | 0          | 5         
91    | 2,614,885.17    | 0          | 5         
92    | 2,609,322.69    | 0          | 5         
93    | 2,608,918.05    | 0          | 5         
94    | 2,607,551.36    | 0          | 5         
95    | 2,601,227.05    | 0          | 5         
96    | 2,597,752.27    | 0          | 5         
97    | 2,591,205.29    | 0          | 5         
98    | 2,571,104.75    | 0          | 5         
99    | 2,551,169.80    | 0          | 5         
100   | 2,532,886.07    | 0          | 5         
101   | 2,502,071.39    | 0          | 5         
102   | 2,490,182.87    | 0          | 5         
103   | 2,482,079.49    | 0          | 5         
104   | 2,472,876.74    | 0          | 5         
105   | 2,463,693.28    | 0          | 5         
106   | 2,417,862.56    | 0          | 5         
107   | 2,403,554.93    | 0          | 5         
108   | 2,397,615.82    | 0          | 5         
109   | 2,397,493.22    | 0          | 5         
110   | 2,397,493.22    | 0          | 5         
111   | 2,388,793.47    | 0          | 5         
112   | 2,388,605.47    | 0          | 5         
113   | 2,388,605.47    | 0          | 5         
114   | 2,384,347.16    | 0          | 5         
115   | 2,380,393.52    | 0          | 5         
116   | 2,380,393.52    | 0          | 5         
117   | 2,380,393.52    | 0          | 5         
118   | 2,379,137.57    | 0          | 5         
119   | 2,376,159.58    | 0          | 5         
120   | 2,376,159.58    | 0          | 5         
121   | 2,375,634.18    | 0          | 5         
122   | 2,375,634.18    | 0          | 5         
123   | 2,375,363.27    | 0          | 5         
124   | 2,375,363.27    | 0          | 5         
125   | 2,375,363.27    | 0          | 5         
126   | 2,375,232.60    | 0          | 5         
