==========================================================
 ANALYSIS REPORT: Week 18
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 4,183,400.00
  RMP Relaxed Value (Root): 1,181,783.93
  Integrality Gap       : 253.9903 %
  Execution Time  : 50.3048 sec
  Iterations      : 105
  RMP Time  : 27.4832 s
  MIP Time  : 4.1020 s
  Pool Search Time: 3.1996 s
  Graph Search Time: 15.4010 s
  MIP Decision Variables: 378 (Columns used in Final MIP)
  MIP Filtered Columns  : 346 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1928
  Pool Hits (Reused from History)   : 354
  Graph Gen (Newly Created)         : 360
  Pool Hit Rate                     : 49.6%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  383 / Total Gen:  383
       -> Avg Length of Unique Patterns: 46.2 hours
  Type: TypeB  | Unique Patterns:  385 / Total Gen:  770
       -> Avg Length of Unique Patterns: 35.5 hours
  Type: TypeC  | Unique Patterns:  385 / Total Gen:  770
       -> Avg Length of Unique Patterns: 23.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 26 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 113,012,000.00  | 10         | 0         
2     | 79,061,500.00   | 10         | 0         
3     | 40,141,000.00   | 10         | 0         
4     | 23,908,514.33   | 10         | 0         
5     | 17,400,600.00   | 10         | 0         
6     | 14,364,383.32   | 10         | 0         
7     | 13,824,570.31   | 10         | 0         
8     | 13,041,456.84   | 10         | 0         
9     | 12,405,259.24   | 10         | 0         
10    | 11,848,755.46   | 10         | 0         
11    | 11,390,491.34   | 10         | 0         
12    | 11,345,327.67   | 6          | 0         
13    | 11,331,658.30   | 10         | 0         
14    | 11,330,944.47   | 6          | 0         
15    | 11,330,490.80   | 4          | 5         
16    | 9,342,660.94    | 10         | 0         
17    | 8,570,364.02    | 10         | 0         
18    | 8,356,586.22    | 10         | 0         
19    | 8,192,626.17    | 10         | 0         
20    | 8,180,383.36    | 10         | 0         
21    | 8,157,526.68    | 1          | 5         
22    | 6,557,427.93    | 10         | 0         
23    | 6,267,429.47    | 10         | 0         
24    | 6,186,817.86    | 10         | 0         
25    | 6,132,650.91    | 6          | 0         
26    | 6,129,166.31    | 0          | 5         
27    | 5,076,044.00    | 10         | 0         
28    | 5,036,137.61    | 6          | 0         
29    | 4,993,302.86    | 2          | 5         
30    | 4,333,882.56    | 9          | 0         
31    | 4,332,910.82    | 4          | 5         
32    | 4,000,524.68    | 2          | 5         
33    | 3,283,616.57    | 6          | 0         
34    | 3,279,288.54    | 2          | 5         
35    | 2,708,677.12    | 2          | 5         
36    | 2,662,207.96    | 8          | 0         
37    | 2,659,245.13    | 2          | 5         
38    | 2,399,974.83    | 10         | 0         
39    | 2,395,843.92    | 10         | 0         
40    | 2,394,018.79    | 0          | 5         
41    | 2,133,624.44    | 4          | 5         
42    | 2,036,275.75    | 2          | 5         
43    | 1,908,322.41    | 10         | 0         
44    | 1,894,194.91    | 2          | 5         
45    | 1,854,352.39    | 4          | 5         
46    | 1,817,894.36    | 10         | 0         
47    | 1,817,894.36    | 0          | 5         
48    | 1,760,111.71    | 10         | 0         
49    | 1,754,878.21    | 2          | 5         
50    | 1,703,627.52    | 2          | 5         
51    | 1,668,045.87    | 0          | 5         
52    | 1,645,107.51    | 4          | 5         
53    | 1,628,824.98    | 0          | 5         
54    | 1,609,367.20    | 0          | 5         
55    | 1,584,715.69    | 2          | 5         
56    | 1,540,285.48    | 0          | 5         
57    | 1,525,486.09    | 0          | 5         
58    | 1,512,812.20    | 0          | 5         
59    | 1,512,812.20    | 2          | 5         
60    | 1,512,812.20    | 0          | 5         
61    | 1,490,830.22    | 0          | 5         
62    | 1,477,922.32    | 0          | 5         
63    | 1,472,768.22    | 0          | 5         
64    | 1,461,333.75    | 0          | 5         
65    | 1,455,503.44    | 2          | 5         
66    | 1,417,543.74    | 0          | 5         
67    | 1,381,469.22    | 0          | 5         
68    | 1,337,051.78    | 2          | 5         
69    | 1,317,156.68    | 0          | 5         
70    | 1,276,217.62    | 0          | 5         
71    | 1,264,157.86    | 0          | 5         
72    | 1,251,253.22    | 0          | 5         
73    | 1,244,916.49    | 0          | 5         
74    | 1,244,916.49    | 0          | 5         
75    | 1,228,718.14    | 0          | 5         
76    | 1,218,713.10    | 0          | 5         
77    | 1,204,714.23    | 0          | 5         
78    | 1,201,326.57    | 0          | 5         
79    | 1,195,530.24    | 0          | 5         
80    | 1,191,636.97    | 0          | 5         
81    | 1,190,599.94    | 0          | 5         
82    | 1,189,022.11    | 0          | 5         
83    | 1,187,646.76    | 0          | 5         
84    | 1,187,404.89    | 0          | 5         
85    | 1,186,617.64    | 0          | 5         
86    | 1,186,585.36    | 0          | 5         
87    | 1,186,373.13    | 0          | 5         
88    | 1,186,373.13    | 0          | 5         
89    | 1,186,138.11    | 0          | 5         
90    | 1,185,867.13    | 0          | 5         
91    | 1,185,867.13    | 0          | 5         
92    | 1,184,830.21    | 0          | 5         
93    | 1,184,830.21    | 0          | 5         
94    | 1,183,874.95    | 0          | 5         
95    | 1,183,874.95    | 0          | 5         
96    | 1,183,874.95    | 0          | 5         
97    | 1,183,536.92    | 0          | 5         
98    | 1,183,177.08    | 0          | 5         
99    | 1,182,194.53    | 0          | 5         
100   | 1,182,053.69    | 0          | 5         
101   | 1,182,053.69    | 0          | 5         
102   | 1,181,850.02    | 0          | 5         
103   | 1,181,850.02    | 0          | 5         
104   | 1,181,830.00    | 0          | 5         
105   | 1,181,783.93    | 0          | 5         
