col_id,emp_id,emp_type,cost,schedule_pattern
0,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,3,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,3,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,4,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,0,TypeA,49000,000000000000000000000000000000001111111110000000000000000111111111000000000000001111111110000000000001111111110000000000000001111111111000000000000000000000000000000000
7,1,TypeB,38100,000000000000000000000000000000000011111110000000000000000011111111000000000000001111111000000000000000011111110000000000000000001111111000000000000000000000000000000000
8,2,TypeB,38100,000000000000000000000000000000000011111110000000000000000011111111000000000000001111111000000000000000011111110000000000000000001111111000000000000000000000000000000000
9,3,TypeC,36600,000000000000000000000000000000000000000000000000000000000000111111000000000000001111110000000000000000011111100000000000000001111110000000000000000000000111111000000000
10,4,TypeC,36600,000000000000000000000000000000000000000000000000000000000000111111000000000000001111110000000000000000011111100000000000000001111110000000000000000000000111111000000000
11,0,TypeA,51700,000000011111111110000000000000000000000011111111110000000000000011111111000000000000000000000000000000000000000000000000000000000000111111110000000000000000011111111110
12,1,TypeB,32600,000000000001111110000000000000000000001111110000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000001111111100000000011110
13,2,TypeB,32600,000000000001111110000000000000000000001111110000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000001111111100000000011110
14,3,TypeC,28000,000000000001111110000000000000000000001111110000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000011110
15,4,TypeC,28000,000000000001111110000000000000000000001111110000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000011110
16,1,TypeB,30100,000111111000000000011111100000000000000000000000000000111110000000000000000000000000011110000000000000000000000000000000000000000000000000000000000000011111110000000000
17,3,TypeC,26700,000111111000000000011111100000000000000000000000000000111110000000000000000000000000011110000000000000000000000000000000000000000000000000000000000000000000111000000000
18,4,TypeC,26700,000111111000000000011111100000000000000000000000000000111110000000000000000000000000011110000000000000000000000000000000000000000000000000000000000000000000111000000000
19,0,TypeA,47500,000000001111111110000000000000000000000000000000111111111100000000000000000000111111110000000000000000000000000000000000000000000011111111000000000000011111111000000000
20,1,TypeB,32100,000000000001111110000000000111111000000000000000111111100000000000000000000000111100000000000000000000000000000000000000000000000011111110000000000000000000000000000000
21,2,TypeB,32100,000000000001111110000000000111111000000000000000111111100000000000000000000000111100000000000000000000000000000000000000000000000011111110000000000000000000000000000000
22,3,TypeC,24300,000000000001111110000000000000000000000000000000111000000000000000000000000000111000000000000000000000000000000000000011110000000000111110000000000000000000000000000000
