==========================================================
 ANALYSIS REPORT: Week 15
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 3,159,600.00
  RMP Relaxed Value (Root): 158,400.23
  Integrality Gap       : 1894.6940 %
  Execution Time  : 57.7288 sec
  Iterations      : 111
  RMP Time  : 31.9720 s
  MIP Time  : 1.4809 s
  Pool Search Time: 8.2380 s
  Graph Search Time: 15.9194 s
  MIP Decision Variables: 112 (Columns used in Final MIP)
  MIP Filtered Columns  : 674 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 3713
  Pool Hits (Reused from History)   : 401
  Graph Gen (Newly Created)         : 375
  Pool Hit Rate                     : 51.7%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  746 / Total Gen:  746
       -> Avg Length of Unique Patterns: 47.2 hours
  Type: TypeB  | Unique Patterns:  814 / Total Gen: 1476
       -> Avg Length of Unique Patterns: 36.4 hours
  Type: TypeC  | Unique Patterns:  831 / Total Gen: 1486
       -> Avg Length of Unique Patterns: 25.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 44 hours worked
  Emp 1  (TypeB): 30 hours worked
  Emp 2  (TypeB): 34 hours worked
  Emp 3  (TypeC): 22 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 90,016,000.00   | 10         | 0         
2     | 57,059,300.00   | 10         | 0         
3     | 23,638,100.00   | 10         | 0         
4     | 10,195,566.65   | 10         | 0         
5     | 7,795,440.00    | 10         | 0         
6     | 7,052,085.71    | 10         | 0         
7     | 5,846,391.93    | 10         | 0         
8     | 5,045,265.52    | 10         | 0         
9     | 4,448,380.80    | 10         | 0         
10    | 4,124,305.90    | 10         | 0         
11    | 3,538,402.58    | 10         | 0         
12    | 3,429,759.11    | 10         | 0         
13    | 3,247,833.43    | 10         | 0         
14    | 3,147,272.93    | 10         | 0         
15    | 3,074,743.98    | 10         | 0         
16    | 3,055,259.20    | 5          | 5         
17    | 2,291,530.47    | 10         | 0         
18    | 2,111,760.03    | 10         | 0         
19    | 2,054,695.30    | 10         | 0         
20    | 1,987,912.78    | 10         | 0         
21    | 1,975,873.93    | 4          | 5         
22    | 1,298,823.07    | 10         | 0         
23    | 1,228,533.39    | 10         | 0         
24    | 1,178,618.65    | 7          | 0         
25    | 1,170,589.60    | 5          | 5         
26    | 776,015.52      | 10         | 0         
27    | 757,024.30      | 10         | 0         
28    | 753,372.43      | 5          | 5         
29    | 653,130.73      | 10         | 0         
30    | 637,258.34      | 4          | 5         
31    | 485,686.17      | 10         | 0         
32    | 470,454.04      | 6          | 0         
33    | 441,769.81      | 6          | 0         
34    | 440,221.30      | 0          | 5         
35    | 414,715.14      | 10         | 0         
36    | 406,847.13      | 0          | 5         
37    | 256,051.28      | 10         | 0         
38    | 253,451.96      | 0          | 5         
39    | 192,032.96      | 10         | 0         
40    | 191,923.80      | 10         | 0         
41    | 191,788.30      | 7          | 0         
42    | 191,743.90      | 0          | 5         
