==========================================================
 ANALYSIS REPORT: Week 22
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 4,185,700.00
  RMP Relaxed Value (Root): 1,530,923.36
  Integrality Gap       : 173.4102 %
  Execution Time  : 46.7013 sec
  Iterations      : 91
  RMP Time  : 22.8594 s
  MIP Time  : 1.3404 s
  Pool Search Time: 8.8404 s
  Graph Search Time: 13.5621 s
  MIP Decision Variables: 98 (Columns used in Final MIP)
  MIP Filtered Columns  : 551 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 4704
  Pool Hits (Reused from History)   : 334
  Graph Gen (Newly Created)         : 305
  Pool Hit Rate                     : 52.3%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  936 / Total Gen:  936
       -> Avg Length of Unique Patterns: 47.5 hours
  Type: TypeB  | Unique Patterns: 1054 / Total Gen: 1885
       -> Avg Length of Unique Patterns: 37.0 hours
  Type: TypeC  | Unique Patterns: 1065 / Total Gen: 1878
       -> Avg Length of Unique Patterns: 25.6 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 39 hours worked
  Emp 2  (TypeB): 36 hours worked
  Emp 3  (TypeC): 26 hours worked
  Emp 4  (TypeC): 21 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 100,016,000.00  | 10         | 0         
2     | 68,060,300.00   | 10         | 0         
3     | 31,142,599.97   | 10         | 0         
4     | 12,197,900.00   | 10         | 0         
5     | 10,112,233.35   | 10         | 0         
6     | 9,548,282.38    | 10         | 0         
7     | 8,913,291.78    | 10         | 0         
8     | 8,751,666.65    | 10         | 0         
9     | 8,291,587.87    | 10         | 0         
10    | 8,137,401.85    | 10         | 0         
11    | 8,016,955.99    | 10         | 0         
12    | 7,801,190.60    | 10         | 0         
13    | 7,667,311.49    | 10         | 0         
14    | 7,634,179.95    | 3          | 5         
15    | 6,150,212.47    | 10         | 0         
16    | 5,952,866.36    | 10         | 0         
17    | 5,675,126.04    | 10         | 0         
18    | 5,547,200.29    | 10         | 0         
19    | 5,511,385.73    | 10         | 0         
20    | 5,482,970.36    | 10         | 0         
21    | 5,477,741.89    | 5          | 5         
22    | 5,013,135.94    | 10         | 0         
23    | 4,975,798.81    | 10         | 0         
24    | 4,959,869.83    | 4          | 5         
25    | 4,313,043.34    | 10         | 0         
26    | 4,303,019.29    | 10         | 0         
27    | 4,302,204.81    | 1          | 5         
28    | 4,077,127.14    | 10         | 0         
29    | 3,979,919.55    | 10         | 0         
30    | 3,969,495.75    | 4          | 5         
31    | 3,799,068.04    | 5          | 5         
32    | 3,531,097.18    | 10         | 0         
33    | 3,515,220.01    | 4          | 5         
34    | 3,394,575.14    | 4          | 5         
35    | 3,278,022.75    | 10         | 0         
36    | 3,276,591.54    | 5          | 5         
37    | 3,208,664.12    | 1          | 5         
38    | 3,088,116.80    | 2          | 5         
39    | 3,023,464.03    | 8          | 0         
40    | 3,017,293.45    | 0          | 5         
41    | 2,894,713.16    | 2          | 5         
42    | 2,856,633.23    | 8          | 0         
43    | 2,856,633.23    | 0          | 5         
44    | 2,803,872.09    | 0          | 5         
45    | 2,667,347.01    | 3          | 5         
46    | 2,560,373.61    | 0          | 5         
47    | 2,558,414.82    | 0          | 5         
48    | 2,460,259.71    | 4          | 5         
49    | 2,387,122.85    | 0          | 5         
50    | 2,283,717.98    | 0          | 5         
51    | 2,229,642.08    | 1          | 5         
52    | 2,223,784.74    | 0          | 5         
53    | 2,119,969.67    | 0          | 5         
54    | 2,082,591.25    | 0          | 5         
55    | 2,009,029.58    | 0          | 5         
56    | 2,006,734.08    | 0          | 5         
57    | 1,929,208.80    | 0          | 5         
58    | 1,878,435.97    | 0          | 5         
59    | 1,846,724.01    | 0          | 5         
60    | 1,820,444.69    | 0          | 5         
61    | 1,809,906.80    | 0          | 5         
62    | 1,788,996.64    | 0          | 5         
63    | 1,748,352.07    | 0          | 5         
64    | 1,736,048.52    | 0          | 5         
65    | 1,712,658.75    | 0          | 4         
66    | 1,702,940.98    | 0          | 5         
67    | 1,692,811.23    | 0          | 5         
68    | 1,683,667.08    | 0          | 5         
69    | 1,676,439.01    | 0          | 5         
70    | 1,654,134.74    | 0          | 5         
71    | 1,650,137.84    | 0          | 5         
72    | 1,632,970.44    | 0          | 5         
73    | 1,630,814.97    | 0          | 5         
74    | 1,610,155.14    | 0          | 5         
75    | 1,610,155.14    | 0          | 5         
76    | 1,598,376.78    | 0          | 5         
77    | 1,593,783.57    | 0          | 4         
78    | 1,583,416.04    | 0          | 5         
79    | 1,583,416.04    | 0          | 5         
80    | 1,562,758.93    | 0          | 5         
81    | 1,562,758.93    | 0          | 4         
82    | 1,555,651.27    | 0          | 5         
83    | 1,551,231.54    | 0          | 5         
84    | 1,539,864.17    | 0          | 4         
85    | 1,539,686.33    | 0          | 4         
86    | 1,536,310.74    | 0          | 5         
87    | 1,536,310.74    | 0          | 5         
88    | 1,530,923.36    | 0          | 5         
89    | 1,530,923.36    | 0          | 5         
90    | 1,530,923.36    | 0          | 5         
91    | 1,530,923.36    | 0          | 5         
