==========================================================
 ANALYSIS REPORT: Week 3
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 3
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 3,269,600.00
  RMP Relaxed Value (Root): 264,504.65
  Integrality Gap       : 1136.1219 %
  MIP Best Bound (Final)  : 3,269,600.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 171.3112 sec
  Iterations      : 261
  RMP Time  : 97.1828 s
  MIP Time  : 25.2092 s
  Pool Search Time: 6.7079 s
  Graph Search Time: 41.9875 s
  MIP Decision Variables: 555 (Columns used in Final MIP)
  MIP Filtered Columns  : 2223 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 2778
  Pool Hits (Reused from History)   : 747
  Graph Gen (Newly Created)         : 1341
  Pool Hit Rate                     : 35.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  358 / Total Gen:  716
       -> Avg Length of Unique Patterns: 45.3 hours
  Type: TypeB  | Unique Patterns:  349 / Total Gen: 1046
       -> Avg Length of Unique Patterns: 34.4 hours
  Type: TypeC  | Unique Patterns:  336 / Total Gen: 1008
       -> Avg Length of Unique Patterns: 23.0 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeA): 46 hours worked
  Emp 2  (TypeB): 31 hours worked
  Emp 3  (TypeB): 36 hours worked
  Emp 4  (TypeB): 36 hours worked
  Emp 5  (TypeC): 23 hours worked
  Emp 6  (TypeC): 21 hours worked
  Emp 7  (TypeC): 22 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 198,020,000.00  | 8          | 0         
2     | 82,266,500.00   | 8          | 0         
3     | 42,322,300.00   | 8          | 0         
4     | 23,820,400.00   | 8          | 0         
5     | 19,815,700.00   | 8          | 0         
6     | 17,713,330.00   | 8          | 0         
7     | 15,981,283.35   | 8          | 0         
8     | 14,191,078.04   | 8          | 0         
9     | 12,931,775.02   | 8          | 0         
10    | 12,495,548.45   | 8          | 0         
11    | 11,339,790.30   | 8          | 0         
12    | 10,710,150.71   | 8          | 0         
13    | 10,148,703.40   | 8          | 0         
14    | 9,984,674.89    | 8          | 0         
15    | 9,559,160.86    | 8          | 0         
16    | 9,400,530.80    | 8          | 0         
17    | 9,173,573.45    | 8          | 0         
18    | 9,016,098.09    | 8          | 0         
19    | 8,886,897.82    | 8          | 0         
20    | 8,841,777.27    | 8          | 0         
21    | 8,800,292.11    | 8          | 0         
22    | 8,758,741.59    | 8          | 0         
23    | 8,655,439.75    | 8          | 0         
24    | 8,619,343.90    | 8          | 0         
25    | 8,602,429.43    | 8          | 0         
26    | 8,565,271.65    | 8          | 0         
27    | 8,536,260.26    | 6          | 2         
28    | 7,171,399.65    | 8          | 0         
29    | 7,039,996.57    | 8          | 0         
30    | 6,751,239.40    | 8          | 0         
31    | 6,658,193.49    | 8          | 0         
32    | 6,570,572.22    | 8          | 0         
33    | 6,521,701.44    | 6          | 2         
34    | 5,542,455.32    | 6          | 2         
35    | 4,871,483.01    | 6          | 2         
36    | 4,508,817.41    | 8          | 0         
37    | 4,502,128.73    | 6          | 2         
38    | 3,832,760.41    | 6          | 2         
39    | 3,721,769.94    | 6          | 2         
40    | 3,677,640.84    | 6          | 2         
41    | 3,605,846.32    | 6          | 2         
42    | 3,510,820.24    | 3          | 5         
43    | 2,375,088.64    | 6          | 2         
